uid,model,dev,gen,fam_class,year,Cmp,M,Mstar_ref,M_over_Mstar,w_ref,w_sig060,sigma_meta_line,w_meta_line,sigma_pi_lower,w_pi_upper,s_ref,s_sig060,s_meta_line,s_pi_upper
B:microsoft/phi-1_5,phi-1_5,Microsoft,Phi-1.5,singleton,2023,1.27644e+21,105.763,22.6288,4.67381,1.93306,2.79542,0.646919,2.32006,0.589559,2.92559,0.482686,0.642272,0.568976,0.658188
B:mosaicml/mpt-30b,mpt-30b,MosaicML,MPT,common-D,2023,1.8e+23,33.3333,21.8351,1.52659,1.19821,1.32581,0.577107,1.36342,0.464781,1.62767,0.165419,0.245746,0.266549,0.385626
B:mosaicml/mpt-7b,mpt-7b,MosaicML,MPT,common-D,2023,4.2e+22,142.857,22.0656,6.47422,2.22196,3.47369,0.597636,3.51673,0.501474,6.40352,0.549947,0.712122,0.715645,0.843836
B:deepseek-ai/deepseek-llm-67b-base,deepseek-llm-67b-base,DeepSeek,DeepSeek-LLM,common-D,2024,8.04e+23,29.8507,21.6006,1.38194,1.14829,1.24068,0.555995,1.29477,0.427046,1.54344,0.129139,0.19399,0.227661,0.352098
B:deepseek-ai/deepseek-llm-7b-base,deepseek-llm-7b-base,DeepSeek,DeepSeek-LLM,common-D,2024,8.4e+22,285.714,21.9555,13.0133,2.99459,5.53256,0.587858,6.04347,0.483997,15.4199,0.666065,0.819252,0.834532,0.935149
B:stabilityai/stablelm-base-alpha-3b,stablelm-base-alpha-3b,Stability AI,StableLM-alpha,common-D,2023,2.7e+22,500,22.136,22.5876,3.79055,7.99062,0.603869,7.72899,0.512614,19.3749,0.736186,0.874853,0.870617,0.948387
B:stabilityai/stablelm-base-alpha-7b-v2,stablelm-base-alpha-7b-v2,Stability AI,StableLM-alpha-v2,singleton,2023,4.54701e+22,159.665,22.0529,7.2401,2.33073,3.74251,0.596517,3.81532,0.499472,7.27044,0.570949,0.7328,0.737899,0.862457
B:stabilityai/stablelm-2-1_6b,stablelm-2-1_6b,Stability AI,StableLM-2,singleton,2024,1.97342e+22,1216.16,22.1861,54.8164,5.53713,14.4302,0.608291,13.1756,0.520518,39.9779,0.819401,0.930701,0.924102,0.974986
B:stabilityai/stablelm-base-alpha-7b,stablelm-base-alpha-7b,Stability AI,StableLM-alpha,common-D,2023,6.3e+22,214.286,22.0011,9.73977,2.64575,4.56071,0.591917,4.80322,0.491251,10.5624,0.622035,0.780736,0.791806,0.905324
B:HuggingFaceTB/SmolLM-135M,SmolLM-135M,Hugging Face,SmolLM,size-specific-D,2024,4.84254e+20,4460.47,22.7876,195.741,9.54033,33.7123,0.660591,15.0472,0.595713,35.9147,0.895182,0.970337,0.933542,0.972156
B:HuggingFaceTB/SmolLM-360M,SmolLM-360M,Hugging Face,SmolLM,size-specific-D,2024,1.30256e+21,1658.28,22.6255,73.2925,6.26912,17.5135,0.646633,10.4521,0.589049,20.0061,0.840488,0.942901,0.904325,0.950015
B:HuggingFaceTB/SmolLM-1.7B,SmolLM-1.7B,Hugging Face,SmolLM,size-specific-D,2024,1.02683e+22,584.325,22.2909,26.2136,4.0396,8.82438,0.617507,7.56233,0.53699,16.7147,0.752451,0.886678,0.867766,0.940173
B:cerebras/btlm-3b-8k-base,btlm-3b-8k-base,Cerebras,BTLM,singleton,2023,1.1286e+22,209,22.2757,9.3824,2.60381,4.44846,0.616174,4.03341,0.534607,7.02152,0.615947,0.775203,0.752071,0.857581
B:h2oai/h2o-danube-1.8b-base,h2o-danube-1.8b-base,H2O.ai,H2O-Danube1,singleton,2024,1.09872e+22,546.09,22.2801,24.5102,3.92524,8.43785,0.616552,7.3125,0.535284,16.0764,0.745239,0.881486,0.863248,0.937797
B:h2oai/h2o-danube3-500m-base,h2o-danube3-500m-base,H2O.ai,H2O-Danube3,size-specific-D,2024,1.23262e+22,7788.3,22.2616,349.854,12.2283,49.6506,0.61493,39.1727,0.532384,171.555,0.918223,0.979859,0.974472,0.994171
B:h2oai/h2o-danube3-4b-base,h2o-danube3-4b-base,H2O.ai,H2O-Danube3,size-specific-D,2024,1.42626e+23,1514.45,21.8718,69.2421,6.11862,16.8622,0.58039,21.4066,0.470649,117.466,0.836564,0.940696,0.953285,0.991487
B:allenai/OLMo-1B-hf,OLMo-1B-hf,AI2,OLMo-1,size-specific-D,2024,2.11818e+22,2549.36,22.1748,114.967,7.59936,23.6437,0.607293,21.5017,0.518733,81.61,0.86841,0.957705,0.953492,0.987747
B:allenai/OLMo-7B-hf,OLMo-7B-hf,AI2,OLMo-1,size-specific-D,2024,1.03321e+23,362.945,21.9227,16.5557,3.31917,6.49578,0.584938,7.32729,0.478777,21.2329,0.69872,0.846054,0.863524,0.952903
B:allenai/OLMo-7B-0424-hf,OLMo-7B-0424-hf,AI2,OLMo-1.7,singleton,2024,8.47236e+22,297.615,21.9541,13.5562,3.04737,5.68537,0.587737,6.22483,0.483781,16.1454,0.671848,0.82411,0.839353,0.938063
B:TinyLlama/TinyLlama_v1.1,TinyLlama_v1.1,TinyLlama,TinyLlama,singleton,2024,1.32e+22,1818.18,22.2506,81.7139,6.56746,18.8306,0.613964,15.9358,0.530657,49.1293,0.847734,0.946895,0.937248,0.979646
B:Qwen/Qwen2.5-0.5B,Qwen2.5-0.5B,Alibaba,Qwen2.5,common-D,2024,5.33555e+22,36434.8,22.0275,1654.06,23.7546,139.862,0.594261,157.583,0.49544,1895.82,0.957903,0.99285,0.993654,0.999473
B:Qwen/Qwen2.5-1.5B,Qwen2.5-1.5B,Alibaba,Qwen2.5,common-D,2024,1.66721e+23,11660.2,21.8472,533.716,14.6477,65.7971,0.578188,97.6524,0.466713,1307.2,0.93173,0.984802,0.98976,0.999235
B:Qwen/Qwen2.5-3B,Qwen2.5-3B,Alibaba,Qwen2.5,common-D,2024,3.33281e+23,5832.91,21.7383,268.325,10.9173,41.6013,0.568417,69.8251,0.449249,949.261,0.908402,0.975962,0.985679,0.998947
B:Qwen/Qwen2.5-7B,Qwen2.5-7B,Alibaba,Qwen2.5,common-D,2024,8.22487e+23,2363.56,21.597,109.439,7.44098,22.8796,0.555674,42.7125,0.426473,552.478,0.865609,0.956293,0.976588,0.99819
B:Qwen/Qwen2.5-14B,Qwen2.5-14B,Alibaba,Qwen2.5,common-D,2024,1.59516e+24,1218.68,21.4941,56.6986,5.61761,14.7587,0.54633,28.5863,0.409771,335.6,0.821989,0.932243,0.965018,0.99702
B:Qwen/Qwen2.5-32B,Qwen2.5-32B,Alibaba,Qwen2.5,common-D,2024,3.5385e+24,549.386,21.3709,25.7072,4.00606,8.71037,0.535091,16.7924,0.389683,161.589,0.750378,0.885194,0.940449,0.993811
B:Qwen/Qwen2.5-72B,Qwen2.5-72B,Alibaba,Qwen2.5,common-D,2024,7.85227e+24,247.572,21.2483,11.6513,2.85637,5.13946,0.523847,9.31727,0.369585,65.9106,0.649906,0.805427,0.892672,0.984828
B:Qwen/Qwen3-0.6B-Base,Qwen3-0.6B-Base,Alibaba,Qwen3,common-D,2025,1.28747e+23,60397.6,21.8879,2759.4,29.5632,196.733,0.581835,297.112,0.47323,6762.28,0.966174,0.994917,0.996634,0.999852
B:Qwen/Qwen3-1.7B-Base,Qwen3-1.7B-Base,Alibaba,Qwen3,common-D,2025,3.71644e+23,20923.2,21.7212,963.264,18.853,97.5357,0.56688,190.416,0.446502,4997.42,0.946958,0.989747,0.994748,0.9998
B:Qwen/Qwen3-4B-Base,Qwen3-4B-Base,Alibaba,Qwen3,common-D,2025,8.68853e+23,8949.73,21.5885,414.56,13.1483,55.5979,0.554901,125.786,0.42509,3468.5,0.923944,0.982014,0.99205,0.999712
B:Qwen/Qwen3-8B-Base,Qwen3-8B-Base,Alibaba,Qwen3,common-D,2025,1.7692e+24,4395.21,21.478,204.638,9.72331,34.7262,0.544869,85.1868,0.40716,2316.73,0.897154,0.971203,0.988261,0.999568
