mx,mc,hx,hc,loocv_rmse,design,hc_min
2,1,4.85315,1.39357,0.00617223,"Marin, Comma",0.549306
2,1.3,4.85315,1.81164,0.00614586,"Marin, Comma",0.549306
2,1.6,4.85315,2.22971,0.00613199,"Marin, Comma",0.549306
2,2,4.85315,2.78714,0.00612262,"Marin, Comma",0.549306
2,3,4.85315,4.18071,0.00611396,"Marin, Comma",0.549306
3,0.45,7.27972,0.627106,0.00701373,"Marin, Comma",0.549306
3,0.6,7.27972,0.836142,0.00678748,"Marin, Comma",0.549306
3,0.8,7.27972,1.11486,0.00668226,"Marin, Comma",0.549306
3,1,7.27972,1.39357,0.00664131,"Marin, Comma",0.549306
3,1.3,7.27972,1.81164,0.00660571,"Marin, Comma",0.549306
3,1.6,7.27972,2.22971,0.00658457,"Marin, Comma",0.549306
3,2,7.27972,2.78714,0.00656885,"Marin, Comma",0.549306
3,3,7.27972,4.18071,0.00655286,"Marin, Comma",0.549306
0.15,0.45,0.353504,0.627836,0.0085644,"Marin, DCLM",0.549306
0.15,0.6,0.353504,0.837114,0.00825693,"Marin, DCLM",0.549306
0.15,0.8,0.353504,1.11615,0.0080035,"Marin, DCLM",0.549306
0.15,1,0.353504,1.39519,0.0078738,"Marin, DCLM",0.549306
0.15,1.3,0.353504,1.81375,0.00777376,"Marin, DCLM",0.549306
0.15,1.6,0.353504,2.2323,0.00772164,"Marin, DCLM",0.549306
0.15,2,0.353504,2.79038,0.00768459,"Marin, DCLM",0.549306
0.15,3,0.353504,4.18557,0.00764826,"Marin, DCLM",0.549306
0.2,0.45,0.471339,0.627836,0.00805573,"Marin, DCLM",0.549306
0.2,0.6,0.471339,0.837114,0.00782284,"Marin, DCLM",0.549306
0.2,0.8,0.471339,1.11615,0.00759628,"Marin, DCLM",0.549306
0.2,1,0.471339,1.39519,0.0074637,"Marin, DCLM",0.549306
0.2,1.3,0.471339,1.81375,0.00734847,"Marin, DCLM",0.549306
0.2,1.6,0.471339,2.2323,0.00728205,"Marin, DCLM",0.549306
0.2,2,0.471339,2.79038,0.00723052,"Marin, DCLM",0.549306
0.2,3,0.471339,4.18557,0.00717477,"Marin, DCLM",0.549306
0.3,0.45,0.707009,0.627836,0.00537493,"Marin, DCLM",0.549306
0.3,0.6,0.707009,0.837114,0.00609635,"Marin, DCLM",0.549306
0.3,0.8,0.707009,1.11615,0.00622359,"Marin, DCLM",0.549306
0.3,1,0.707009,1.39519,0.00615293,"Marin, DCLM",0.549306
0.3,1.3,0.707009,1.81375,0.00600601,"Marin, DCLM",0.549306
0.3,1.6,0.707009,2.2323,0.0058863,"Marin, DCLM",0.549306
0.3,2,0.707009,2.79038,0.00577815,"Marin, DCLM",0.549306
0.3,3,0.707009,4.18557,0.00564871,"Marin, DCLM",0.549306
0.45,0.45,1.06051,0.627836,0.00412081,"Marin, DCLM",0.549306
0.45,0.6,1.06051,0.837114,0.00399373,"Marin, DCLM",0.549306
0.45,0.8,1.06051,1.11615,0.00392666,"Marin, DCLM",0.549306
0.45,1,1.06051,1.39519,0.00382888,"Marin, DCLM",0.549306
0.45,1.3,1.06051,1.81375,0.00372766,"Marin, DCLM",0.549306
0.45,1.6,1.06051,2.2323,0.00367385,"Marin, DCLM",0.549306
0.45,2,1.06051,2.79038,0.00363729,"Marin, DCLM",0.549306
0.45,3,1.06051,4.18557,0.00360378,"Marin, DCLM",0.549306
0.6,0.45,1.41402,0.627836,0.0040472,"Marin, DCLM",0.549306
0.6,0.6,1.41402,0.837114,0.00382297,"Marin, DCLM",0.549306
0.6,0.8,1.41402,1.11615,0.00370598,"Marin, DCLM",0.549306
0.6,1,1.41402,1.39519,0.00366497,"Marin, DCLM",0.549306
0.6,1.3,1.41402,1.81375,0.00365487,"Marin, DCLM",0.549306
0.6,1.6,1.41402,2.2323,0.00366037,"Marin, DCLM",0.549306
0.6,2,1.41402,2.79038,0.00366945,"Marin, DCLM",0.549306
0.6,3,1.41402,4.18557,0.00368313,"Marin, DCLM",0.549306
0.8,0.45,1.88536,0.627836,0.00409581,"Marin, DCLM",0.549306
0.8,0.6,1.88536,0.837114,0.00394937,"Marin, DCLM",0.549306
0.8,0.8,1.88536,1.11615,0.00388107,"Marin, DCLM",0.549306
0.8,1,1.88536,1.39519,0.00387081,"Marin, DCLM",0.549306
0.8,1.3,1.88536,1.81375,0.00388656,"Marin, DCLM",0.549306
0.8,1.6,1.88536,2.2323,0.00390468,"Marin, DCLM",0.549306
0.8,2,1.88536,2.79038,0.00392194,"Marin, DCLM",0.549306
0.8,3,1.88536,4.18557,0.00394253,"Marin, DCLM",0.549306
1,0.45,2.3567,0.627836,0.00420707,"Marin, DCLM",0.549306
1,0.6,2.3567,0.837114,0.00407153,"Marin, DCLM",0.549306
1,0.8,2.3567,1.11615,0.00401745,"Marin, DCLM",0.549306
1,1,2.3567,1.39519,0.0040168,"Marin, DCLM",0.549306
1,1.3,2.3567,1.81375,0.00403765,"Marin, DCLM",0.549306
1,1.6,2.3567,2.2323,0.00405637,"Marin, DCLM",0.549306
1,2,2.3567,2.79038,0.00407313,"Marin, DCLM",0.549306
1,3,2.3567,4.18557,0.00409257,"Marin, DCLM",0.549306
1.3,0.45,3.0637,0.627836,0.00450884,"Marin, DCLM",0.549306
1.3,0.6,3.0637,0.837114,0.00434272,"Marin, DCLM",0.549306
1.3,0.8,3.0637,1.11615,0.004275,"Marin, DCLM",0.549306
1.3,1,3.0637,1.39519,0.00426725,"Marin, DCLM",0.549306
1.3,1.3,3.0637,1.81375,0.00427771,"Marin, DCLM",0.549306
1.3,1.6,3.0637,2.2323,0.00428879,"Marin, DCLM",0.549306
1.3,2,3.0637,2.79038,0.00429942,"Marin, DCLM",0.549306
1.3,3,3.0637,4.18557,0.00431244,"Marin, DCLM",0.549306
1.6,0.45,3.77071,0.627836,0.00479623,"Marin, DCLM",0.549306
1.6,0.6,3.77071,0.837114,0.00460753,"Marin, DCLM",0.549306
1.6,0.8,3.77071,1.11615,0.00452707,"Marin, DCLM",0.549306
1.6,1,3.77071,1.39519,0.00451049,"Marin, DCLM",0.549306
1.6,1.3,3.77071,1.81375,0.00450934,"Marin, DCLM",0.549306
1.6,1.6,3.77071,2.2323,0.00451252,"Marin, DCLM",0.549306
1.6,2,3.77071,2.79038,0.00451683,"Marin, DCLM",0.549306
1.6,3,3.77071,4.18557,0.0045231,"Marin, DCLM",0.549306
2,0.45,4.71339,0.627836,0.00507565,"Marin, DCLM",0.549306
2,0.6,4.71339,0.837114,0.0048717,"Marin, DCLM",0.549306
2,0.8,4.71339,1.11615,0.00478193,"Marin, DCLM",0.549306
2,1,4.71339,1.39519,0.00475761,"Marin, DCLM",0.549306
2,1.3,4.71339,1.81375,0.0047459,"Marin, DCLM",0.549306
2,1.6,4.71339,2.2323,0.00474179,"Marin, DCLM",0.549306
2,2,4.71339,2.79038,0.00474016,"Marin, DCLM",0.549306
2,3,4.71339,4.18557,0.00473991,"Marin, DCLM",0.549306
3,0.45,7.07009,0.627836,0.00543278,"Marin, DCLM",0.549306
3,0.6,7.07009,0.837114,0.00521666,"Marin, DCLM",0.549306
3,0.8,7.07009,1.11615,0.00511869,"Marin, DCLM",0.549306
3,1,7.07009,1.39519,0.00508577,"Marin, DCLM",0.549306
3,1.3,7.07009,1.81375,0.00506184,"Marin, DCLM",0.549306
3,1.6,7.07009,2.2323,0.0050491,"Marin, DCLM",0.549306
