spec,k,n_designs,slope,se_model,se_cr2_design,df_cr2_design,lo_cr2_design,hi_cr2_design,p_cr2_design,tau_design,tau_within,se_cr2_study,df_cr2_study,p_cr2_study,p_wcr_design,sample,spec_key
"3-level RE, inverse-variance (primary)",37,5,-0.0345576,0.0108804,0.0140921,2.83203,-0.0809481,0.0118329,0.0965511,0.0134605,0.0351103,0.0142259,2.66823,0.104041,0.03,"leave out Marin, DCLM",weighted
"Design RE, unweighted (LMM)",37,5,-0.0352242,0.00961823,0.00997208,3.62511,-0.0640778,-0.00637069,0.0284211,0.00385463,0.0468519,0.0107724,2.86152,0.0500551,0.0195,"leave out Marin, DCLM",unweighted
"Design FE, inverse-variance",37,5,-0.0217501,0.0101996,0.0249095,1.46927,-0.176093,0.132593,0.501756,,,0.0249107,1.46557,0.502016,0.323,"leave out Marin, DCLM",fe_weighted
"3-level RE, inverse-variance (primary)",37,5,-0.033898,0.0110718,0.0144465,2.74275,-0.0824116,0.0146156,0.108793,0.0135835,0.0356238,0.0146376,2.61471,0.116355,0.057,"leave out Marin, Nemotron-CC",weighted
"Design RE, unweighted (LMM)",37,5,-0.0323224,0.0100125,0.0115144,3.62113,-0.065655,0.00101016,0.0543109,0.00835989,0.0485367,0.012933,2.86807,0.0916477,0.055,"leave out Marin, Nemotron-CC",unweighted
"Design FE, inverse-variance",37,5,-0.0213857,0.0102502,0.0250826,1.4268,-0.183634,0.140863,0.512969,,,0.0250848,1.4244,0.513161,0.3675,"leave out Marin, Nemotron-CC",fe_weighted
"3-level RE, inverse-variance (primary)",36,5,-0.0461038,0.011244,0.00859641,2.32722,-0.0785283,-0.0136793,0.0235559,0,0.027901,0.0104997,1.82655,0.0565802,0.041,leave out Farseer (local path),weighted
"Design RE, unweighted (LMM)",36,5,-0.034281,0.0101071,0.0118216,3.45681,-0.0692406,0.000678498,0.0526469,0.00729621,0.0477547,0.0161749,1.86634,0.177228,0.0895,leave out Farseer (local path),unweighted
"Design FE, inverse-variance",36,5,-0.0506868,0.00942618,0.010283,1.49341,-0.11294,0.0115663,0.0672505,,,0.0116565,1.37935,0.0910217,0.242,leave out Farseer (local path),fe_weighted
"3-level RE, inverse-variance (primary)",38,6,-0.0290849,0.0129708,0.0178838,3.24957,-0.0836046,0.0254347,0.195359,0.00886131,0.0364571,0.017963,2.84283,0.208817,0.2885,leave out each design's largest budget,weighted
"Design RE, unweighted (LMM)",38,6,-0.0272515,0.0105538,0.0106339,4.40982,-0.0557248,0.00122176,0.056846,0,0.045819,0.011536,2.70494,0.108655,0.112,leave out each design's largest budget,unweighted
"Design FE, inverse-variance",38,6,-0.0103041,0.0110919,0.0380116,1.5057,-0.237799,0.217191,0.818815,,,0.0380094,1.49881,0.81893,0.6235,leave out each design's largest budget,fe_weighted
"3-level RE, inverse-variance (primary)",24,2,0.040289,0.00608833,0.00101111,1.00513,0.0275955,0.0529825,0.0156902,0,0,,,,,"Porian et al. (unannealed), reported separately",weighted
"Design FE, inverse-variance",24,2,0.0398208,0.00611865,0.00116973,1,0.0249579,0.0546837,0.0186953,,,,,,,"Porian et al. (unannealed), reported separately",fe_weighted
