pi_set,curvature,n,share_w_gt1_identified,median_s_lo,median_s_hi,median_w_lo,median_w_hi
"PI-1 IsoFLOP anchors, e from A2/published paths","ra2: k in [0.40, 0.52] (in-design sigma* 0.66-0.71)",77,0.857143,0.588907,0.932938,2.43254,14.9115
"PI-1 IsoFLOP anchors, e from A2/published paths","k in [0.40, k(0.60)]: adds the top-budget value",77,0.857143,0.588907,0.969475,2.43254,32.7603
"PI-1 IsoFLOP anchors, e from A2/published paths","drift-agnostic: k in [0.40, k(sigma_lin(C_i))], drift of Chinchilla and Llama 3 (design FE, inverse variance)",77,0.857143,0.588907,0.997652,2.43254,425.848
"PI-1 IsoFLOP anchors, e from A2/published paths","drift maintained: k in [k(sigma_top), k(sigma_lin(C_i))], drift of Chinchilla and Llama 3 (design FE, inverse variance)",77,0.857143,0.775918,0.997652,4.46264,425.848
"PI-1 IsoFLOP anchors, e from A2/published paths","drift maintained, sigma_top at its 95% upper limit: k in [k(sigma_top_hi), k(sigma_lin(C_i))], drift of Chinchilla and Llama 3 (design FE, inverse variance)",77,0.857143,0.73437,0.997652,3.76463,425.848
"PI-1 IsoFLOP anchors, e from A2/published paths","drift-agnostic: k in [0.40, k(sigma_lin(C_i))], pooled drift (primary three-level meta-regression)",77,0.857143,0.588907,0.991603,2.43254,119.088
"PI-1 IsoFLOP anchors, e from A2/published paths","drift maintained: k in [k(sigma_top), k(sigma_lin(C_i))], pooled drift (primary three-level meta-regression)",77,0.857143,0.775918,0.991603,4.46264,119.088
"PI-1 IsoFLOP anchors, e from A2/published paths","drift maintained, sigma_top at its 95% upper limit: k in [k(sigma_top_hi), k(sigma_lin(C_i))], pooled drift (primary three-level meta-regression)",77,0.857143,0.73437,0.991603,3.76463,119.088
PI-2 PI-1 + M* nondecreasing in C,"ra2: k in [0.40, 0.52] (in-design sigma* 0.66-0.71)",77,0.857143,0.588907,0.887293,2.43254,8.87253
PI-2 PI-1 + M* nondecreasing in C,"k in [0.40, k(0.60)]: adds the top-budget value",77,0.857143,0.588907,0.940324,2.43254,16.757
PI-2 PI-1 + M* nondecreasing in C,"drift-agnostic: k in [0.40, k(sigma_lin(C_i))], drift of Chinchilla and Llama 3 (design FE, inverse variance)",77,0.857143,0.588907,0.992351,2.43254,130.739
PI-2 PI-1 + M* nondecreasing in C,"drift maintained: k in [k(sigma_top), k(sigma_lin(C_i))], drift of Chinchilla and Llama 3 (design FE, inverse variance)",77,0.857143,0.775918,0.992351,4.46264,130.739
