C_b,cc,u,M,N,D,lnw_local,neff,lnw_chin_full,lnw_chin_M100,lnw_kappa_full,lnw_kappa_M100,design
1e+20,46.0517,1.93244,6.90632,1.55346e+09,1.07287e+10,-0.356006,42.0495,-0.247594,-0.292386,-0.32304,-0.346769,Llama 3
1e+20,46.0517,2.39866,11.0084,1.23044e+09,1.35452e+10,-0.106363,41.428,-0.107919,-0.156048,-0.116174,-0.127627,Llama 3
1e+20,46.0517,2.86488,17.547,9.74593e+08,1.71012e+10,0.130961,40.1009,0.0317547,-0.01971,0.0906915,0.0915155,Llama 3
1e+20,46.0517,3.33111,27.9692,7.71941e+08,2.15906e+10,0.365725,38.2289,0.171429,0.116628,0.297557,0.310658,Llama 3
1e+20,46.0517,3.79733,44.5819,6.11428e+08,2.72586e+10,0.607495,35.863,0.311103,0.252965,0.504423,0.5298,Llama 3
1e+20,46.0517,4.26355,71.0619,4.84291e+08,3.44146e+10,0.867451,32.967,0.450777,0.389303,0.711289,0.748942,Llama 3
1e+20,46.0517,4.72977,113.27,3.8359e+08,4.34492e+10,1.16115,29.4889,0.590451,0.525641,0.918155,0.968084,Llama 3
1e+20,46.0517,5.196,180.548,3.03828e+08,5.48556e+10,1.5147,25.4738,0.730126,0.661979,1.12502,1.18723,Llama 3
1e+20,46.0517,5.66222,287.787,2.40652e+08,6.92564e+10,1.98364,21.1576,0.8698,0.798317,1.33189,1.40637,Llama 3
3e+20,47.1503,0.699957,2.01367,4.983e+09,1.00341e+10,-1.61209,28.3865,-0.599174,-0.65386,-0.857714,-0.940764,Llama 3
3e+20,47.1503,0.972443,2.6444,4.34832e+09,1.14987e+10,-1.26797,30.3313,-0.517541,-0.574177,-0.736811,-0.812686,Llama 3
3e+20,47.1503,1.24493,3.47269,3.79448e+09,1.3177e+10,-0.990469,32.0714,-0.435908,-0.494494,-0.615907,-0.684607,Llama 3
3e+20,47.1503,1.51741,4.56042,3.31118e+09,1.51004e+10,-0.754047,33.5135,-0.354275,-0.414811,-0.495003,-0.556529,Llama 3
3e+20,47.1503,1.7899,5.98886,2.88944e+09,1.73044e+10,-0.545204,34.5923,-0.272641,-0.335128,-0.3741,-0.42845,Llama 3
3e+20,47.1503,2.06239,7.86471,2.52141e+09,1.98302e+10,-0.355865,35.2807,-0.191008,-0.255445,-0.253196,-0.300372,Llama 3
3e+20,47.1503,2.33487,10.3281,2.20026e+09,2.27246e+10,-0.180751,35.5896,-0.109375,-0.175761,-0.132292,-0.172293,Llama 3
3e+20,47.1503,2.60736,13.5632,1.92001e+09,2.60415e+10,-0.0161555,35.5597,-0.027742,-0.0960783,-0.0113888,-0.0442146,Llama 3
3e+20,47.1503,2.87984,17.8115,1.67546e+09,2.98425e+10,0.140701,35.2492,0.0538911,-0.0163951,0.109515,0.083864,Llama 3
3e+20,47.1503,3.15233,23.3905,1.46206e+09,3.41983e+10,0.29203,34.7219,0.135524,0.0632881,0.230419,0.211943,Llama 3
3e+20,47.1503,3.42482,30.717,1.27584e+09,3.91899e+10,0.439697,34.0377,0.217157,0.142971,0.351322,0.340021,Llama 3
3e+20,47.1503,3.6973,40.3383,1.11334e+09,4.49101e+10,0.585367,33.2485,0.298791,0.222654,0.472226,0.4681,Llama 3
