design,log10C,budget_C,y,se,nleft,nright,Mstar,source,study,porian
"Porian, RefinedWeb",18.8062,6.4e+18,0.528524,0.0336389,4,3,17.2269,IsoFLOP budget,Porian et al. (2024),True
"Porian, RefinedWeb",19.1072,1.28e+19,0.56065,0.0215134,3,2,15.022,IsoFLOP budget,Porian et al. (2024),True
"Porian, RefinedWeb",19.4082,2.56e+19,0.575443,0.0229229,3,2,13.3795,IsoFLOP budget,Porian et al. (2024),True
"Porian, OpenWebText2",16.0969,1.25e+16,0.405575,0.030771,3,2,16.7457,IsoFLOP budget,Porian et al. (2024),True
"Porian, OpenWebText2",16.3979,2.5e+16,0.433629,0.0559957,3,3,16.7843,IsoFLOP budget,Porian et al. (2024),True
"Porian, OpenWebText2",16.699,5e+16,0.483396,0.0336129,3,2,16.4295,IsoFLOP budget,Porian et al. (2024),True
"Porian, OpenWebText2",17,1e+17,0.477016,0.0463111,3,2,18.1652,IsoFLOP budget,Porian et al. (2024),True
"Porian, OpenWebText2",17.301,2e+17,0.503506,0.0389884,4,3,18.8083,IsoFLOP budget,Porian et al. (2024),True
"Porian, OpenWebText2",17.6021,4e+17,0.502883,0.0356366,4,3,19.2962,IsoFLOP budget,Porian et al. (2024),True
"Porian, OpenWebText2",17.9031,8e+17,0.532026,0.0463584,3,3,17.6241,IsoFLOP budget,Porian et al. (2024),True
"Porian, OpenWebText2",18.2041,1.6e+18,0.564339,0.0778702,3,2,15.352,IsoFLOP budget,Porian et al. (2024),True
"Porian, OpenWebText2",18.5051,3.2e+18,0.536305,0.062355,3,2,15.8671,IsoFLOP budget,Porian et al. (2024),True
"Porian, OpenWebText2",18.8062,6.4e+18,0.509817,0.047566,3,3,17.5283,IsoFLOP budget,Porian et al. (2024),True
"Porian, OpenWebText2",19.1072,1.28e+19,0.522702,0.0347523,3,3,17.0476,IsoFLOP budget,Porian et al. (2024),True
"Porian, OpenWebText2",19.4082,2.56e+19,0.578034,0.0506411,3,2,14.0206,IsoFLOP budget,Porian et al. (2024),True
Farseer (local path),18.699,5e+18,0.761163,0.0371222,,,45.1883,Farseer local path,Li et al. (2025),False
Farseer (local path),19,1e+19,0.715248,0.0250805,,,27.3889,Farseer local path,Li et al. (2025),False
Farseer (local path),19.301,2e+19,0.660812,0.012258,,,31.3468,Farseer local path,Li et al. (2025),False
Farseer (local path),19.699,5e+19,0.686902,0.021634,,,34.3619,Farseer local path,Li et al. (2025),False
Farseer (local path),20,1e+20,0.713002,0.01687,,,31.411,Farseer local path,Li et al. (2025),False
Farseer (local path),20.301,2e+20,0.736041,0.0118929,,,29.2211,Farseer local path,Li et al. (2025),False
Farseer (local path),20.699,5e+20,0.72213,0.00829902,,,25.0024,Farseer local path,Li et al. (2025),False
Farseer (local path),21,1e+21,0.657597,0.0106159,,,26.9959,Farseer local path,Li et al. (2025),False
