uid,unit,unit_type,reading,bound,unit_kind,id_class,own_cap,syn_protocol,syn_fixlist,R_CO,R_INF,R_DEV,deployment_rationale,model,gen,dev,date,year,N,D,M,Cmp,tier,serve_model,emb_share,w_ref,s_ref,W_unit,s_unit,unit_year,C_unit,codes_file
B:HuggingFaceTB/SmolLM2-360M,B:HuggingFaceTB/SmolLM2-360M,model,,point (member),size-specific member,point,0,1,1,0,1,1,1,SmolLM2-360M,SmolLM2,Hugging Face,2024-10-31 00:43:11,2024,361821120.0,4000000000000.0,11055.186607127853,8.68370688e+21,0,0,0.1304122877072515,14.187999867403722,0.929517901794075,14.187999867403722,0.929517901794075,2024,8.68370688e+21,readings_final.csv
B:HuggingFaceTB/SmolLM2-1.7B,B:HuggingFaceTB/SmolLM2-1.7B,model,,lower bound,size-specific member,lower bound,1,1,1,0,1,1,1,SmolLM2-1.7B,SmolLM2,Hugging Face,2024-10-30 22:50:10,2024,1711376384.0,11000000000000.0,6427.574964128989,1.12950841344e+23,0,0,0.0588200801069368,11.341912093495042,0.9118314450194396,11.341912093495042,0.9118314450194397,2024,1.12950841344e+23,readings_final.csv
B:HuggingFaceTB/SmolLM3-3B-Base,B:HuggingFaceTB/SmolLM3-3B-Base,model,,point (member),singleton,point,0,1,1,0,1,0,1,SmolLM3-3B-Base,SmolLM3,Hugging Face,2025-06-19 11:33:11,2025,3075098624.0,11200000000000.0,3642.1596083417194,2.066466275328e+23,1,0,0.0854178418701669,8.913539383807574,0.887811120034247,8.913539383807574,0.887811120034247,2025,2.066466275328e+23,readings_final.csv
B:tiiuae/Falcon3-7B-Base,B:tiiuae/Falcon3-7B-Base,model,,point (member),singleton,point,0,0,0,0,0,0,0,Falcon3-7B-Base,Falcon3,TII,2024-12-17 00:00:00,2024,7455550464.0,14000000000000.0,1877.7956191968176,6.26266238976e+23,1,0,0.1080143407101213,6.7383767726828285,0.8515963066870987,6.7383767726828285,0.8515963066870987,2024,6.26266238976e+23,readings_final.csv
B:tiiuae/falcon-11B,B:tiiuae/falcon-11B,model,,point (member),singleton,point,0,0,0,0,1,1,1,falcon-11B,Falcon2,TII,2024-05-09 00:00:00,2024,11102822400.0,5500000000000.0,495.3695377492483,3.663931392e+23,0,0,0.0479766845590541,3.805993143498089,0.7372564893585437,3.805993143498089,0.7372564893585437,2024,3.663931392e+23,readings_final.csv
B:ibm-granite/granite-3.0-2b-base,Granite-3.0,family,cap or choice,lower bound (point if choice),common-budget,lower bound (point if choice),0,1,0,0,1,1,1,granite-3.0-2b-base,Granite-3.0,IBM,2024-10-21 00:00:00,2024,2533525504.0,12000000000000.0,4736.482810634458,1.82413836288e+23,1,1,0.0397324975971506,9.969034078997668,0.8996893789232041,6.684818764034058,0.8504073131525657,2024,7.70714025984e+23,readings_final.csv
B:ibm-granite/granite-3.0-8b-base,Granite-3.0,family,cap or choice,lower bound (point if choice),common-budget,lower bound (point if choice),0,1,0,0,1,1,1,granite-3.0-8b-base,Granite-3.0,IBM,2024-10-21 00:00:00,2024,8170835968.0,12000000000000.0,1468.6379762115423,5.88300189696e+23,1,1,0.0246396565527039,6.065254501907896,0.8351264568229678,6.684818764034058,0.8504073131525657,2024,7.70714025984e+23,readings_final.csv
B:swiss-ai/Apertus-8B-2509,Apertus,family,choice,point (family share),common-budget,point,0,1,0,0,0,0,0,Apertus-8B-2509,Apertus,Swiss AI,2025-09-02 00:50:39,2025,8053338176.0,15000000000000.0,1862.5816614409612,7.2480043584e+23,1,0,0.1333287887003045,6.718012933819263,0.8511464610367326,2.849525401212539,0.6490643671488323,2025,7.07878823904e+24,readings_final.csv
B:swiss-ai/Apertus-70B-2509,Apertus,family,choice,point (family share),common-budget,point,0,1,0,0,0,0,0,Apertus-70B-2509,Apertus,Swiss AI,2025-09-02 00:00:00,2025,70599864480.0,15000000000000.0,212.46499707162045,6.3539878032e+24,1,0,0.0304176737989114,2.673888514371844,0.6260128293961716,2.849525401212539,0.6490643671488323,2025,7.07878823904e+24,readings_final.csv
B:marin-community/marin-8b-base,B:marin-community/marin-8b-base,model,,point (member),singleton,point,0,1,0,0,0,0,0,marin-8b-base,Marin,Marin,2025-05-19 00:00:00,2025,8030261248.0,12700000000000.0,1581.5176627239912,6.119059070976e+23,1,0,0.1308392242234558,6.261061640533761,0.8402826776970129,6.261061640533761,0.8402826776970129,2025,6.119059070976e+23,readings_final.csv
B:m-a-p/neo_7b,B:m-a-p/neo_7b,model,,point (member),singleton,point,0,0,0,0,0,0,0,neo_7b,MAP-Neo,M-A-P,2024-07-10 00:00:00,2024,7793716224.0,4420000000000.0,567.1235483772215,2.0668935426048e+23,1,0,0.0506547650252244,4.025435220045099,0.7515796565249915,4.025435220045099,0.7515796565249915,2024,2.0668935426048e+23,readings_final.csv
B:stabilityai/stablelm-3b-4e1t,B:stabilityai/stablelm-3b-4e1t,model,,lower bound,singleton,lower bound,1,0,0,0,0,0,0,stablelm-3b-4e1t,StableLM-3B-4E1T,Stability AI,2023-09-29 00:00:00,2023,2795443200.0,4000000000000.0,1430.9001163035614,6.70906368e+22,1,0,0.0921343992966839,5.958112688136584,0.8321616168839612,5.958112688136584,0.8321616168839612,2023,6.70906368e+22,readings_final.csv
