uid,tech,N_used,M_tech,w,w_lo,w_hi,sd_lnw,TD,TD_lo,TD_hi,T,CE,CE_lo,CE_hi,M_extrap,C_extrap,N_extrap
B:meta-llama/Llama-2-7b-hf,chin,6738417664.0,296.80558548411165,2.6733050016617095,2.154175488191941,3.6682057296010764,0.13197043799104255,5.019915004985128,3.462526464575823,8.004617188803229,10039830009970.258,0.524422372558022,0.3720797325044644,0.6627105969521845,False,True,False
B:meta-llama/Llama-2-13b-hf,chin,13015866880.0,153.6586090222828,2.126900483529219,1.6932259134439944,2.90298300601002,0.13760965869531072,3.3807014505876567,2.0796777403319835,5.70894901803006,6761402901175.313,0.6792108853451955,0.4992176684259016,0.8201376610116462,False,True,False
B:meta-llama/Llama-2-70b-hf,chin,68976653312.0,28.99531803831451,1.1918314124898022,0.9320669533498651,1.668174640132153,0.1540545913917277,0.5754942374694065,-0.20379913995040466,2.0045239203964593,1150988474938.813,0.9787396865865773,0.8443784117292168,0.9999281527646419,False,True,True
B:huggyllama/llama-7b,chin,6738417664.0,148.40279274205582,2.0726147995349407,1.7008293197222655,2.723058516345972,0.11845376311422376,3.217844398604822,2.1024879591667966,5.1691755490379165,3217844398604.822,0.6967001873964138,0.5449086335757078,0.818820176626455,False,True,False
B:huggyllama/llama-13b,chin,13015866880.0,76.8293045111414,1.6489870839880008,1.3405021097207062,2.1914852202159083,0.12447145419488105,1.9469612519640023,1.0215063291621185,3.574455660647725,1946961251964.0022,0.8415733535368723,0.6879991869660542,0.9401107643646024,False,True,False
B:huggyllama/llama-30b,chin,32528947456.0,43.03858899503889,1.3574142257492832,1.0816565172905748,1.850770138350878,0.13976978057179515,1.0722426772478495,0.2449695518717243,2.5523104150526335,1501139748146.9893,0.9371493731340276,0.7880010375759527,0.9955700084092255,False,True,True
B:huggyllama/llama-65b,chin,65285665792.0,21.444217241505925,1.0656985131255488,0.8422260642391607,1.4552664647959532,0.14715209638126323,0.19709553937664626,-0.47332180728251794,1.3657993943878597,275933755127.30475,0.9971727480092045,0.9102108471791319,0.9999856346670043,False,True,True
B:meta-llama/Meta-Llama-3-70B,chin,70553706496.0,212.60399694026586,2.478012002522387,1.8143763971721405,3.8102459045344363,0.1915773779157762,4.43403600756716,2.4431291915164213,8.430737713603309,66510540113507.41,0.5751717825814313,0.33806790895007094,0.7733221664207311,False,True,True
B:meta-llama/Meta-Llama-3-8B,chin,8030261248.0,1867.9342473118006,5.270983254526004,3.965813096813232,8.120361343871785,0.17359486435102373,12.812949763578011,8.897439290439696,21.361084031615356,192194246453670.2,0.17872598525195607,0.09843857621639934,0.2760975464759554,True,True,False
B:meta-llama/Llama-3.1-405B,chin,405853388800.0,38.437525546170825,1.369159122056123,0.985897655787886,2.2160387727484405,0.20966171323875812,1.107477366168369,-0.042307032636341946,3.6481163182453216,17276646912226.557,0.9336965209633811,0.6813348636712223,0.9995352903738708,False,True,True
B:meta-llama/Llama-3.1-70B,chin,70553706496.0,212.60399694026586,2.478012002522387,1.8143763971721405,3.8102459045344363,0.1915773779157762,4.43403600756716,2.4431291915164213,8.430737713603309,66510540113507.41,0.5751717825814313,0.33806790895007094,0.7733221664207311,False,True,True
B:meta-llama/Llama-3.1-8B,chin,8030261248.0,1867.9342473118006,5.270983254526004,3.965813096813232,8.120361343871785,0.17359486435102373,12.812949763578011,8.897439290439696,21.361084031615356,192194246453670.2,0.17872598525195607,0.09843857621639934,0.2760975464759554,True,True,False
B:Qwen/Qwen1.5-72B,chin,72287920128.0,41.50070986532617,1.3608121809858011,1.0505875692871969,1.9588203929881423,0.16183445740942173,1.0824365429574034,0.15176270786159063,2.8764611789644268,3247309628872.2104,0.936155739246839,0.7559826324790028,0.997659042092557,False,True,True
B:Qwen/Qwen1.5-32B,chin,32512218112.0,123.03067069187851,1.996161315532224,1.5409832847312308,2.862361291912547,0.1592402618729127,2.9884839465966717,1.6229498541936924,5.58708387573764,11953935786386.688,0.7218908768615903,0.5074462482126973,0.8745411359901681,False,True,True
B:Qwen/Qwen1.5-14B,chin,14167290880.0,282.34050065611416,2.6637367172565907,2.0755984903919336,3.785523003511691,0.15175552880395154,4.9912101517697725,3.2267954711758007,8.356569010535072,19964840607079.09,0.5267918135197517,0.34897545937737673,0.6854389327552426,False,True,False
B:Qwen/Qwen1.5-7B,chin,7721324544.0,518.0458323187923,3.2888238200267734,2.577704117464338,4.68625046310144,0.14677086991162452,6.86647146008032,4.7331123523930145,11.05875138930432,27465885840321.28,0.395017692338752,0.25544981720805326,0.5334690505535796,True,True,False
B:Qwen/Qwen1.5-4B,chin,3950369280.0,607.5381388142022,3.4408838487012816,2.7577986939816888,4.7716451035139364,0.13148332125295342,7.322651546103845,5.273396081945066,11.31493531054181,17574363710649.229,0.3692273928192374,0.25208736788304825,0.4864419017399292,True,True,False
B:Qwen/Qwen1.5-1.8B,chin,1836828672.0,1306.5998133548298,4.489259741153901,3.6278201631204166,6.223483947944356,0.12636058036546385,10.4677792234617,7.88346048936125,15.670451843833067,25122670136308.086,0.23902011076590987,0.16334776313163818,0.31830820163594076,True,True,False
B:Qwen/Qwen1.5-0.5B,chin,619570176.0,3873.6532082525546,6.547834574633344,5.351844783825667,8.916026272474975,0.12076125037896664,16.643503723900032,13.055534351477002,23.748078817424926,39944408937360.08,0.11719346547724921,0.08310146866872702,0.1561863036033512,True,False,False
B:Qwen/Qwen-72B,chin,72287920128.0,41.50070986532617,1.3608121809858011,1.0505875692871969,1.9588203929881423,0.16183445740942173,1.0824365429574034,0.15176270786159063,2.8764611789644268,3247309628872.2104,0.936155739246839,0.7559826324790028,0.997659042092557,False,True,True
B:Qwen/Qwen-14B,chin,14167290880.0,211.75537549208562,2.396719653463148,1.8830166151138994,3.348823277225014,0.14617147281898527,4.190158960389445,2.649049845341698,7.046469831675042,12570476881168.332,0.5978008173308638,0.41441527988173377,0.7518153096820007,False,True,False
B:Qwen/Qwen-7B,chin,7721324544.0,310.8274993912754,2.7263641600494406,2.1808231873269404,3.7869235781745214,0.1366691852536286,5.179092480148322,3.542469561980821,8.360770734523564,12429821952355.973,0.5114970655716393,0.35557922407677106,0.6538060012690642,False,True,False
B:Qwen/Qwen2-72B,chin,72706203648.0,96.27789168981808,1.8536974404043092,1.3948998044735605,2.782292569049385,0.17748176670602667,2.5610923212129277,1.1846994134206816,5.346877707148154,17927646248490.492,0.7702960361749586,0.5279348098046845,0.9234967681837295,False,True,True
B:Qwen/Qwen2-7B,chin,7615616512.0,919.1639296661056,4.058417656689632,3.1268936295739658,5.978458001431055,0.15784373732708834,9.175252970068897,6.380680888721898,14.935374004293166,64226770790482.27,0.283940936623667,0.17021847142361943,0.4068294065883426,True,True,False
