uid,w_eq3,Mstar_eq3_ownC
B:meta-llama/Llama-2-7b-hf,1.9934241953398624,75.85569935795229
B:meta-llama/Llama-2-13b-hf,1.303682208541998,95.07803789279313
B:meta-llama/Llama-2-70b-hf,0.2540719962475653,180.0311792730923
B:huggyllama/llama-7b,1.575247248883648,61.23281357354625
B:huggyllama/llama-13b,1.0239174960809174,75.35301278538222
B:huggyllama/llama-30b,0.5487824783669739,116.74450795732373
B:huggyllama/llama-65b,0.23119250258483778,152.6188447918213
B:meta-llama/Meta-Llama-3-70B,0.6207989672358017,436.092423179171
B:meta-llama/Meta-Llama-3-8B,3.598165757112783,161.57398949119212
B:meta-llama/Llama-3.1-405B,-0.21910150690706648,1064.2414933979082
B:meta-llama/Llama-3.1-70B,0.6207989672358017,436.092423179171
B:meta-llama/Llama-3.1-8B,3.598165757112783,161.57398949119212
B:Qwen/Qwen1.5-72B,0.3019631898489116,214.70889522212104
B:Qwen/Qwen1.5-32B,0.841342083576328,172.83614231290815
B:Qwen/Qwen1.5-14B,1.6483901545320547,121.85821395202477
B:Qwen/Qwen1.5-7B,2.499564825448479,95.7668054633791
B:Qwen/Qwen1.5-4B,3.175921885360266,64.2598099961634
B:Qwen/Qwen1.5-1.8B,5.280321034205383,49.04984369666085
B:Qwen/Qwen1.5-0.5B,8.627997073856186,38.981337937665295
B:Qwen/Qwen-72B,0.3019631898489116,214.70889522212104
B:Qwen/Qwen-14B,1.499971397731852,109.60151413430566
B:Qwen/Qwen-7B,2.1174158632579485,80.50863383596001
B:Qwen/Qwen2-72B,0.44146853338426745,311.11266844636066
B:Qwen/Qwen2-7B,2.969017162267392,117.4471255891706
B:Qwen/Qwen2-1.5B,7.3118670572365385,68.01897878662714
B:Qwen/Qwen2-0.5B,18.088238938420798,54.44176304689533
B:deepseek-ai/DeepSeek-V2,,
B:deepseek-ai/DeepSeek-Coder-V2-Base,,
B:01-ai/Yi-6B,2.497599542900336,82.29755629988566
B:01-ai/Yi-34B,0.7067226643920501,158.91174620948576
B:01-ai/Yi-1.5-34B,0.7558417058438329,170.9472805477891
B:01-ai/Yi-1.5-9B,2.0794514259466492,100.72244877662241
B:01-ai/Yi-1.5-6B,2.649535901862803,87.49731983181141
B:google/gemma-7b,2.5515361710832036,118.23137503363584
B:google/gemma-2b,4.409032388898078,59.717985326517265
B:google/gemma-2-27b,1.4361198685193002,263.8701273879371
B:google/gemma-2-9b,2.6714769447849838,135.3700180453885
B:google/gemma-2-2b,3.8001260589353283,53.562918399301815
B:tiiuae/falcon-180B,,
B:tiiuae/falcon-40b,0.36583533309538935,113.17096639381937
B:tiiuae/falcon-7b,1.739300432521345,70.69682154522687
B:tiiuae/falcon-rw-1b,3.0312330903064906,30.83601135608463
B:microsoft/phi-2,2.9975676455796387,51.57989281486834
B:microsoft/phi-1_5,1.901251021266045,28.584473835504625
B:bigscience/bloom-560m,,
B:bigscience/bloom-1b1,,
B:bigscience/bloom-3b,,
B:bigscience/bloom-7b1,1.117678426600082,44.929220984403784
B:bigscience/bloom,,
