model,hf,family,lab,org,country,date,date_src,open_weights,arch,moe,N_total,N_active,N,N_src,N_rep,N_gap,N_emb,tied,N_nonemb,D,D_src,D_card_verified,D_obs,epoch_model,epoch_D,epoch_DC,D_vs_epoch,confidence,M,C6,code,distilled,synthetic,continued,mm,base_released,dl30,dl_all,dl30_instruct,dlall_instruct,n_instruct_found,dl30_total,dlall_total,likes,hf_found,in_A,sample,note
Llama-2-7b-hf,meta-llama/Llama-2-7b-hf,Llama-2,Meta,Meta AI,United States of America,2023-07-18 00:00:00,Epoch publication date,True,dense,False,6738417664.0,6738417664.0,6738417664.0,HF safetensors (float tensors),7000000000.0,-0.03736890514285718,262144000.0,False,6476273664.0,2000000000000.0,ObsScaling,,2000000000000.0,Llama 2-7B,2000000000000.0,2077639098388.7815,0.0,Confident,296.80558548411165,8.0861011968e+22,False,False,False,False,False,True,854075.0,34451637.0,499693.0,31879310.0,1,1353768.0,66330947.0,2418.0,True,True,B,
Llama-2-13b-hf,meta-llama/Llama-2-13b-hf,Llama-2,Meta,Meta AI,United States of America,2023-07-18 00:00:00,Epoch publication date,True,dense,False,13015866880.0,13015866880.0,13015866880.0,HF safetensors (float tensors),13000000000.0,0.0012205292307692073,327680000.0,False,12688186880.0,2000000000000.0,ObsScaling,,2000000000000.0,Llama 2-13B,2000000000000.0,2048781453630.4375,0.0,Confident,153.6586090222828,1.5619040256e+23,False,False,False,False,False,True,29828.0,3568191.0,157302.0,16092899.0,1,187130.0,19661090.0,637.0,True,True,B,
Llama-2-70b-hf,meta-llama/Llama-2-70b-hf,Llama-2,Meta,Meta AI,United States of America,2023-07-18 00:00:00,Epoch publication date,True,dense,False,68976653312.0,68976653312.0,68976653312.0,HF safetensors (float tensors),70000000000.0,-0.014619238400000012,524288000.0,False,68452365312.0,2000000000000.0,ObsScaling,,2000000000000.0,Llama 2-70B,2000000000000.0,1957183967586.2295,0.0,Confident,28.99531803831451,8.27719839744e+23,False,False,False,False,False,True,3455.0,2548499.0,5448.0,4932899.0,1,8903.0,7481398.0,855.0,True,True,B,
llama-7b,huggyllama/llama-7b,Llama,Meta,Meta AI,United States of America,2023-02-24 00:00:00,Epoch publication date,True,dense,False,6738417664.0,6738417664.0,6738417664.0,HF safetensors (float tensors),6700000000.0,0.005733979701492586,262144000.0,False,6476273664.0,1000000000000.0,ObsScaling,,1000000000000.0,LLaMA-7B,1000000000000.0,989351954087.0854,0.0,Confident,148.40279274205582,4.0430505984e+22,False,False,False,False,False,True,246007.0,7861305.0,0.0,0.0,0,246007.0,7861305.0,360.0,True,True,B,
llama-13b,huggyllama/llama-13b,Llama,Meta,Meta AI,United States of America,2023-02-27 00:00:00,Epoch publication date,True,dense,False,13015866880.0,13015866880.0,13015866880.0,HF safetensors (float tensors),13000000000.0,0.0012205292307692073,327680000.0,False,12688186880.0,1000000000000.0,ObsScaling,,1000000000000.0,LLaMA-13B,1000000000000.0,998780958644.8383,0.0,Confident,76.8293045111414,7.809520128e+22,False,False,False,False,False,True,1284.0,1055759.0,0.0,0.0,0,1284.0,1055759.0,145.0,True,True,B,
llama-30b,huggyllama/llama-30b,Llama,Meta,Meta AI,United States of America,2023-02-27 00:00:00,Epoch publication date,True,dense,False,32528947456.0,32528947456.0,32528947456.0,HF safetensors (float tensors),32500000000.0,0.000890690953846196,425984000.0,False,32102963456.0,1400000000000.0,ObsScaling,,1400000000000.0,LLaMA-33B,1456000000000.0,1398754142338.8152,-0.017033339298780342,Confident,43.03858899503889,2.732431586304e+23,False,False,False,False,False,True,1596.0,618296.0,0.0,0.0,0,1596.0,618296.0,48.0,True,True,B,
llama-65b,huggyllama/llama-65b,Llama,Meta,Meta AI,United States of America,2023-02-24 00:00:00,Epoch publication date,True,dense,False,65285665792.0,65285665792.0,65285665792.0,HF safetensors (float tensors),65200000000.0,0.0013138925153375336,524288000.0,False,64761377792.0,1400000000000.0,ObsScaling,,1400000000000.0,LLaMA-65B,1526000000000.0,1404085652717.65,-0.03742649794062361,Confident,21.444217241505925,5.483995926528e+23,False,False,False,False,False,True,800.0,291920.0,0.0,0.0,0,800.0,291920.0,78.0,True,True,B,
Meta-Llama-3-70B,meta-llama/Meta-Llama-3-70B,Llama-3,Meta,Meta AI,United States of America,2024-04-18 00:00:00,Epoch publication date,True,dense,False,70553706496.0,70553706496.0,70553706496.0,HF safetensors (float tensors),70000000000.0,0.00791009279999999,2101346304.0,False,68452360192.0,15000000000000.0,ObsScaling,,15000000000000.0,Llama 3-70B,15000000000000.0,18569777999415.89,0.0,Confident,212.60399694026586,6.34983358464e+24,False,False,False,False,False,True,75486.0,4075057.0,119187.0,6441953.0,1,194673.0,10517010.0,881.0,True,True,B,
Meta-Llama-3-8B,meta-llama/Meta-Llama-3-8B,Llama-3,Meta,Meta AI,United States of America,2024-04-18 00:00:00,Epoch publication date,True,dense,False,8030261248.0,8030261248.0,8030261248.0,HF safetensors (float tensors),8000000000.0,0.003782656000000051,1050673152.0,False,6979588096.0,15000000000000.0,ObsScaling,,15000000000000.0,Llama 3-8B,15000000000000.0,14943473978494.404,0.0,Confident,1867.9342473118006,7.2272351232e+23,False,False,False,False,False,True,261762.0,47106818.0,1196477.0,48416627.0,1,1458239.0,95523445.0,6702.0,True,True,B,
Llama-3.1-405B,meta-llama/Llama-3.1-405B,Llama-3.1,Meta,Meta AI,United States of America,2024-07-23 00:00:00,Epoch publication date,True,dense,False,405853388800.0,405853388800.0,405853388800.0,HF safetensors (float tensors),405000000000.0,0.002107132839506143,4202692608.0,False,401650696192.0,15600000000000.0,ObsScaling; fix: 405B: 15.6T per Llama 3 herd report (card: ~15T for all 3.1 sizes),,15000000000000.0,Llama 3.1-405B,15600000000000.0,15604978320026.617,0.0,Confident,38.437525546170825,3.798787719168e+25,False,False,False,False,False,True,103458.0,21315204.0,477699.0,6785493.0,3,581157.0,28100697.0,989.0,True,True,B,
