uid,Mstar,rho,w,TD,C_over_Cmin
B:meta-llama/Llama-2-7b-hf,16.0,0.3,2.401627379526778,4.204882138580334,1.8593430802675737
B:meta-llama/Llama-2-13b-hf,16.0,0.3,1.9712017427347883,2.913605228204365,1.4573953793977832
B:meta-llama/Llama-2-70b-hf,16.0,0.3,1.1952599514578712,0.5857798543736137,1.0268298816790395
B:huggyllama/llama-7b,16.0,0.3,1.950727594175372,2.852182782526116,1.4410268011336298
B:huggyllama/llama-13b,16.0,0.3,1.6011133392379195,1.8033400177137586,1.2007565147596166
B:huggyllama/llama-30b,16.0,0.3,1.34561683707955,1.0368505112386501,1.0759096168740225
B:huggyllama/llama-65b,16.0,0.3,1.0918351324287814,0.27550539728634416,1.0064514535458329
B:meta-llama/Meta-Llama-3-70B,16.0,0.3,2.1728784498174405,3.5186353494523215,1.6319423762612335
B:meta-llama/Meta-Llama-3-8B,16.0,0.3,4.170349765555521,9.511049296666563,4.8160529095252
B:meta-llama/Llama-3.1-405B,16.0,0.3,1.3007404072571083,0.9022212217713248,1.0591286663309323
B:meta-llama/Llama-3.1-70B,16.0,0.3,2.1728784498174405,3.5186353494523215,1.6319423762612335
B:meta-llama/Llama-3.1-8B,16.0,0.3,4.170349765555521,9.511049296666563,4.8160529095252
B:Qwen/Qwen1.5-72B,16.0,0.3,1.331007990813955,0.9930239724418648,1.0702606749985923
B:Qwen/Qwen1.5-32B,16.0,0.3,1.8440301718592775,2.5320905155778326,1.3597778097868003
B:Qwen/Qwen1.5-14B,16.0,0.3,2.365897685204117,4.097693055612351,1.8217393262879813
B:Qwen/Qwen1.5-7B,16.0,0.3,2.838405635684385,5.515216907053155,2.383550087521357
B:Qwen/Qwen1.5-4B,16.0,0.3,2.977392356496432,5.9321770694892955,2.5763371572585485
B:Qwen/Qwen1.5-1.8B,16.0,0.3,3.7463364927211265,8.239009478163378,3.891952958258678
B:Qwen/Qwen1.5-0.5B,16.0,0.3,5.190392808671542,12.571178426014626,7.713544565976837
B:Qwen/Qwen-72B,16.0,0.3,1.331007990813955,0.9930239724418648,1.0702606749985923
B:Qwen/Qwen-14B,16.0,0.3,2.1702728546120404,3.5108185638361213,1.6295330812572688
B:Qwen/Qwen-7B,16.0,0.3,2.435117016691089,4.305351050073266,1.8952979046608252
B:Qwen/Qwen2-72B,16.0,0.3,1.7132548764954656,2.139764629486397,1.2695916428976544
B:Qwen/Qwen2-7B,16.0,0.3,3.3711796538158048,7.113538961447414,3.1953473842297457
B:Qwen/Qwen2-1.5B,16.0,0.3,5.441558954192979,13.324676862578938,8.590045662062979
B:Qwen/Qwen2-0.5B,16.0,0.3,9.003091258794479,24.009273776383438,30.157087346548764
B:deepseek-ai/DeepSeek-V2,16.0,0.3,2.5980273725703302,4.794082117710991,2.0800991697772067
B:deepseek-ai/DeepSeek-Coder-V2-Base,16.0,0.3,2.7840579337512574,5.352173801253772,2.311661889832427
B:01-ai/Yi-6B,16.0,0.3,2.7998601083005705,5.399580324901711,2.332363887401537
B:01-ai/Yi-34B,16.0,0.3,1.6633162521414877,1.9899487564244631,1.2379473863816743
B:01-ai/Yi-1.5-34B,16.0,0.3,1.7568278393413874,2.2704835180241623,1.2984751761646462
B:01-ai/Yi-1.5-9B,16.0,0.3,2.6416500907899874,4.924950272369962,2.132408898840118
B:01-ai/Yi-1.5-6B,16.0,0.3,2.9572681552235665,5.871804465670699,2.547617410347517
B:google/gemma-7b,16.0,0.3,3.1103366996003596,6.3310100988010785,2.7730519426129487
B:google/gemma-2b,16.0,0.3,3.64919522509325,7.9475856752797505,3.701078157902396
B:google/gemma-2-27b,16.0,0.3,2.769787554052574,5.309362662157723,2.2931071014310036
B:google/gemma-2-9b,16.0,0.3,3.3110470870166857,6.933141261050057,3.0936222441005214
B:google/gemma-2-2b,16.0,0.3,3.190540703165886,6.571622109497658,2.897695989395376
B:tiiuae/falcon-180B,16.0,0.3,1.0610814079647046,0.18324422389411388,1.0029331445290037
B:tiiuae/falcon-40b,16.0,0.3,1.1279738997235595,0.38392169917067864,1.012150683945787
B:tiiuae/falcon-7b,16.0,0.3,2.1581466161635734,3.47443984849072,1.6183736464531806
B:tiiuae/falcon-rw-1b,16.0,0.3,2.5233902373920656,4.570170712176196,1.9933808340302732
B:microsoft/phi-2,16.0,0.3,2.814516475293014,5.443549425879042,2.3517113298480625
B:microsoft/phi-1_5,16.0,0.3,1.7622342664970032,2.2867027994910094,1.302140798845734
B:bigscience/bloom-560m,16.0,0.3,2.980689723894081,5.942069171682244,2.581069184091335
B:bigscience/bloom-1b1,16.0,0.3,2.456670955900948,4.370012867702844,1.918802731477392
B:bigscience/bloom-3b,16.0,0.3,1.8002918755842705,2.4008756267528115,1.3284512635992693
B:bigscience/bloom-7b1,16.0,0.3,1.3924596790763675,1.1773790372291024,1.095188267064946
B:bigscience/bloom,16.0,0.3,0.5419654609602553,-1.374103617119234,1.3605848611583744
B:EleutherAI/gpt-neox-20b,16.0,0.3,1.1144846658345104,0.34345399750353134,1.0098339583587896
B:EleutherAI/gpt-neo-2.7B,16.0,0.3,1.989302192257682,2.9679065767730455,1.472073955146777
B:EleutherAI/gpt-neo-1.3B,16.0,0.3,2.382123758196346,4.146371274589038,1.8387199786352015
B:EleutherAI/gpt-neo-125m,16.0,0.3,4.493870448284942,10.481611344854826,5.626706929672177
B:EleutherAI/gpt-j-6b,16.0,0.3,1.5328695908016141,1.5986087724048423,1.1628799060125652
B:facebook/opt-6.7b,16.0,0.3,1.3616890365309948,1.0850671095929845,1.082326560586389
B:facebook/opt-1.3b,16.0,0.3,2.2269854312573942,3.6809562937721827,1.6828890085338388
B:facebook/opt-350m,16.0,0.3,3.3012618133637637,6.903785440091291,3.077319985109422
B:facebook/opt-13b,16.0,0.3,1.1161366676201314,0.34841000286039425,1.010105787562357
B:facebook/opt-2.7b,16.0,0.3,1.788509504301877,2.365528512905631,1.3202111048843468
B:facebook/opt-30b,16.0,0.3,0.8684883661098434,-0.3945349016704699,1.0166918269853826
B:facebook/opt-125m,16.0,0.3,4.496011130479918,10.488033391439753,5.632390972432278
B:facebook/opt-66b,16.0,0.3,0.685546946770345,-0.943359159688965,1.125334708457684
B:mosaicml/mpt-30b,16.0,0.3,1.246314445540556,0.7389433366216678,1.041145914819754
B:mosaicml/mpt-7b,16.0,0.3,1.9285663871323138,2.7856991613969413,1.423590914703629
B:facebook/xglm-564M,16.0,0.3,3.33481138351138,7.0044341505341405,3.133505628320179
B:facebook/xglm-1.7B,16.0,0.3,2.395081686875324,4.185245060625972,1.852395776345646
B:facebook/xglm-4.5B,16.0,0.3,1.724954256892951,2.1748627706788533,1.2772312277518008
B:facebook/xglm-7.5B,16.0,0.3,1.5343930668983221,1.6031792006949663,1.163691198657112
B:codellama/CodeLlama-7b-hf,16.0,0.3,2.5740340935800363,4.722102280740109,2.0518407592409593
B:codellama/CodeLlama-13b-hf,16.0,0.3,2.112713578649657,3.3381407359489708,1.5773413375516379
B:codellama/CodeLlama-34b-hf,16.0,0.3,1.5875423274188643,1.7626269822565928,1.1929769965411838
B:codellama/CodeLlama-70b-hf,16.0,0.3,1.3525551019252926,1.0576653057758778,1.0786540242072615
B:bigcode/starcoderbase-1b,16.0,0.3,3.3266883246937997,6.980064974081399,3.119826146753646
B:bigcode/starcoderbase-3b,16.0,0.3,2.486724245788405,4.460172737365214,1.9520545259911517
B:bigcode/starcoderbase-7b,16.0,0.3,1.8869044742976873,2.660713422893062,1.3916063612922025
B:bigcode/starcoderbase,16.0,0.3,1.5193733192028132,1.5581199576084395,1.1557623640881527
B:bigcode/starcoder2-15b,16.0,0.3,2.3329848024469646,3.998954407340894,1.7877874563315195
B:bigcode/starcoder2-7b,16.0,0.3,2.8346372760432215,5.503911828129665,2.378502691140921
B:bigcode/starcoder2-3b,16.0,0.3,3.5470673334133873,7.6412020002401615,3.508416585861418
B:deepseek-ai/deepseek-coder-1.3b-base,16.0,0.3,3.9345040637800976,8.803512191340293,4.283414554324611
B:deepseek-ai/deepseek-coder-6.7b-base,16.0,0.3,2.4014034111085247,4.204210233325574,1.8591049375512476
B:deepseek-ai/deepseek-coder-33b-base,16.0,0.3,1.4865230095461457,1.459569028638437,1.138966958216039
B:openlm-research/open_llama_3b_v2,16.0,0.3,2.486724245788405,4.460172737365214,1.9520545259911517
B:openlm-research/open_llama_7b_v2,16.0,0.3,1.9285663871323138,2.7856991613969413,1.423590914703629
B:openlm-research/open_llama_7b,16.0,0.3,1.9285663871323138,2.7856991613969413,1.423590914703629
B:openlm-research/open_llama_3b,16.0,0.3,2.486724245788405,4.460172737365214,1.9520545259911517
B:openlm-research/open_llama_13b,16.0,0.3,1.6016993506583503,1.805098051975051,1.2010951711438782
B:deepseek-ai/deepseek-llm-67b-base,16.0,0.3,1.205731377825141,0.6171941334754232,1.029553598234351
B:deepseek-ai/deepseek-llm-7b-base,16.0,0.3,2.3743437332827373,4.123031199848212,1.8305581398649833
B:deepseek-ai/deepseek-moe-16b-base,16.0,0.3,3.125543837465912,6.376631512397736,2.79633643959064
B:stabilityai/stablelm-base-alpha-3b,16.0,0.3,2.8083744063073954,5.425123218922186,2.3435861695108855
B:stabilityai/stablelm-base-alpha-7b-v2,16.0,0.3,1.994008996301658,2.982026988904974,1.4759228532214492
B:stabilityai/stablelm-2-1_6b,16.0,0.3,3.666583892049203,7.999751676147609,3.734694876267072
B:stabilityai/stablelm-base-alpha-7b,16.0,0.3,2.178020539132978,3.5340616173989337,1.6367089489166449
