model,epoch_model,org,org_cat,country,date,open_weights,accessibility,arch,moe,N_total,N_active,N,D,D_src,D_flag,D_epoch,epochs,C_epoch,C_method,confidence,C_D_ratio,D_C_mismatch,code,distilled,notable,frontier,hf_dev,core,in_B,M,C6,sample
"Ling-lite-1.5 (""Bailing"")","Ling-lite-1.5 (""Bailing"")",Ant Group,Industry,China,2025-03-10,True,Open weights (unrestricted),moe,True,16800000000.0,2750000000.0,2750000000.0,9000000000000.0,Epoch dataset size x epochs,,9000000000000.0,,1.485e+23,Operation counting,Confident,1.0,False,False,False,False,False,inclusionAI,True,False,3272.7272727272725,1.485e+23,A
"Ling-Plus (""Bailing"")","Ling-Plus (""Bailing"")",Ant Group,Industry,China,2025-03-10,True,Open weights (unrestricted),moe,True,290000000000.0,28800000000.0,28800000000.0,9000000000000.0,Epoch dataset size x epochs,,9000000000000.0,,1.5552e+24,Operation counting,Confident,1.0,False,False,False,False,False,inclusionAI,True,False,312.5,1.5552e+24,A
Phi-4 Mini,Phi-4 Mini,Microsoft,Industry,United States of America,2025-03-03,True,Open weights (unrestricted),dense,False,3800000000.0,3800000000.0,3800000000.0,5000000000000.0,Epoch dataset size x epochs,,5000000000000.0,,9.9561596e+22,"Operation counting,Hardware",Confident,0.8733473333333334,False,False,False,False,False,microsoft,True,True,1315.7894736842106,1.14e+23,A
YandexGPT 5 Lite,YandexGPT 5 Lite,Yandex,Industry,Russia,2025-02-25,True,Open weights (restricted use),dense,False,8000000000.0,8000000000.0,8000000000.0,15320000000000.0,Epoch dataset size x epochs,,15320000000000.0,,7.3536e+23,Operation counting,Confident,1.0,False,False,False,False,False,yandex,True,False,1915.0,7.3536e+23,A
Step-1,Step-1,StepFun,Industry,China,2025-02-18,False,Unreleased,dense,False,130000000000.0,130000000000.0,130000000000.0,800000000000.0,Epoch dataset size x epochs,,800000000000.0,,6.24e+23,Operation counting,Confident,1.0,False,False,False,False,False,,True,False,6.153846153846154,6.24e+23,A
Mistral Small 3,Mistral Small 3,Mistral AI,Industry,France,2025-01-30,True,Open weights (unrestricted),dense,False,24000000000.0,24000000000.0,24000000000.0,8000000000000.0,Epoch dataset size x epochs,,8000000000000.0,,1.152e+24,Operation counting,Confident,1.0,False,False,False,False,False,mistralai,True,False,333.3333333333333,1.152e+24,A
MiniMax-Text-01,MiniMax-Text-01,MiniMax,Industry,China,2025-01-14,True,Open weights (restricted use),moe,True,456000000000.0,45900000000.0,45900000000.0,7200000000000.0,Epoch dataset size x epochs,,7200000000000.0,,3.1417632e+24,Operation counting,Likely,1.5844444444444445,True,False,False,False,False,MiniMaxAI,True,False,156.86274509803923,1.98288e+24,A
OLMo 2 Furious 7B,OLMo 2 Furious 7B,"Allen Institute for AI,University of Washington,New York University (NYU)","Research collective,Academia,Academia","United States of America,United States of America,United States of America",2024-12-31,True,Open weights (unrestricted),dense,False,7000000000.0,7000000000.0,7000000000.0,4285714285714.2856,Epoch C/(6N) (operation counting),D from compute,,1.0,1.8e+23,"Reported,Operation counting",Confident,1.0,False,False,False,False,False,allenai,True,True,612.2448979591836,1.8e+23,A
OLMo 2 Furious 13B,OLMo 2 Furious 13B,"Allen Institute for AI,University of Washington,New York University (NYU)","Research collective,Academia,Academia","United States of America,United States of America,United States of America",2024-12-31,True,Open weights (unrestricted),dense,False,13000000000.0,13000000000.0,13000000000.0,5897435897435.897,Epoch C/(6N) (operation counting),D from compute,,1.2,4.6e+23,"Reported,Operation counting",Confident,1.0,False,False,False,False,False,allenai,True,True,453.6489151873767,4.6e+23,A
DeepSeek-V3,DeepSeek-V3,DeepSeek,Industry,China,2024-12-24,True,Open weights (restricted use),moe,True,671000000000.0,37000000000.0,37000000000.0,14800000000000.0,Epoch dataset size x epochs,,14800000000000.0,,3.3e+24,"Operation counting,Hardware",Confident,1.004382761139518,False,False,False,True,False,deepseek-ai,True,True,400.0,3.2856e+24,A
Falcon3-7B,Falcon3-7B,Technology Innovation Institute,Government,United Arab Emirates,2024-12-17,True,Open weights (unrestricted),dense,False,7000000000.0,7000000000.0,7000000000.0,14000000000000.0,Epoch dataset size x epochs,,14000000000000.0,,5.88e+23,Operation counting,Confident,1.0,False,False,False,False,False,tiiuae,True,True,2000.0,5.88e+23,A
Phi-4,Phi-4,Microsoft Research,Industry,United States of America,2024-12-12,True,Open weights (unrestricted),dense,False,14000000000.0,14000000000.0,14000000000.0,11095477976190.477,Epoch C/(6N) (operation counting),D from compute,,,9.3202015e+23,"Operation counting,Hardware",Confident,1.0,False,False,False,False,False,microsoft,True,True,792.5341411564626,9.3202015e+23,A
