model,family,lab,org,date,open_weights,arch,moe,N_total,N_active,N,D,D_src,M,C6,confidence,code,distilled,synthetic,continued,mm,sample,in_A,in_B,uid,core,hf,N_nonemb,N_emb,tied,D_card_verified,base_released,dl30_total,dlall_total,dl30,dl_all,likes,epoch_model,note,D_flag,accessibility,org_cat,country,notable,frontier,C_epoch,C_method,C_D_ratio,D_C_mismatch,year,Cmp,prod,dev,size_class,n_layer,d_model,vocab,n_heads,n_kv_heads,tied_cfg,emb_filled,emb_share,N_head,drop_step,drop_reason,drop_source,deploy,deploy_source,serve,serve_source,f_dup,f_suite,f_repl,f_moe,f_distilled,f_multimodal,f_instruct_only,f_nontransformer,f_D_undoc,f_m3_distilled,f_synthetic,clean,clean_ag,ondevice,local,gen,fam_class,d_audit,w_ref,w_ref_lo,w_ref_hi,Mstar_ref,s_ref,tier,tier_alt,w_primary,serve_model,serve_model_hi,serve_ambiguous,demo,channel,w_lab1,w_lab1_lo,w_lab1_hi,lab_path,w_primary1
Qwen-72B,Qwen,Alibaba,Alibaba,2023-11-30 00:00:00,True,dense,False,72287920128.0,72287920128.0,72287920128.0,3000000000000.0,ObsScaling,41.50070986532617,1.301182562304e+24,Confident,False,False,False,False,False,B,True,True,B:Qwen/Qwen-72B,True,Qwen/Qwen-72B,69796503552.0,2491416576.0,False,,True,4099930.0,7670322.0,4097120.0,7516602.0,362.0,Qwen-72B,,,,,,,,,,,False,2023,1.301182562304e+24,True,Alibaba,40-80B,80.0,8192.0,152064.0,64.0,64.0,False,,0.03446518549141342,1245708288.0,,,,server/unspecified,card: no on-device or local statement found,1,"Alibaba Cloud Model Studio / DashScope API serves Qwen (Tongyi Qianwen API, 2023)",False,False,False,False,False,False,False,False,False,False,False,True,True,0,0,Qwen,size-specific-D,,1.3239247440573556,1.0753215680141248,1.6245825436357568,21.5256902681784,0.24467005810665807,1,1,1.3239247440573556,1,1,False,0,"managed API (per-token, Alibaba Cloud DashScope / Model Studio)",,,,,1.3239247440573556
Qwen-14B,Qwen,Alibaba,Alibaba,2023-09-28 00:00:00,True,dense,False,14167290880.0,14167290880.0,14167290880.0,3000000000000.0,ObsScaling,211.75537549208562,2.5501123584e+23,Confident,False,False,False,False,False,B,True,True,B:Qwen/Qwen-14B,True,Qwen/Qwen-14B,12610155520.0,1557135360.0,False,,True,8918.0,838990.0,5070.0,323146.0,214.0,Qwen-14B,,,,,,,,,,,False,2023,2.5501123584e+23,True,Alibaba,9-16B,40.0,5120.0,152064.0,40.0,40.0,False,,0.10991059428293459,778567680.0,,,,server/unspecified,card: no on-device or local statement found,1,"Alibaba Cloud Model Studio / DashScope API serves Qwen (Tongyi Qianwen API, 2023)",False,False,False,False,False,False,False,False,False,False,False,True,True,0,0,Qwen,size-specific-D,,2.6437212977347913,2.1463969463522563,3.2290753283432494,21.780281233363997,0.6217453024050509,1,1,2.6437212977347913,1,1,False,0,"managed API (per-token, Alibaba Cloud DashScope / Model Studio)",,,,,2.6437212977347913
Qwen-7B,Qwen,Alibaba,Alibaba,2023-09-28 00:00:00,True,dense,False,7721324544.0,7721324544.0,7721324544.0,2400000000000.0,ObsScaling,310.8274993912754,1.111870734336e+23,Confident,False,False,False,False,False,B,True,True,B:Qwen/Qwen-7B,True,Qwen/Qwen-7B,6476664832.0,1244659712.0,False,,True,77046.0,4803977.0,35500.0,2173112.0,399.0,Qwen-7B,,,,,,,,,,,False,2023,1.111870734336e+23,True,Alibaba,4-9B,32.0,4096.0,151936.0,32.0,32.0,False,,0.16119769411417706,622329856.0,,,,server/unspecified,card: no on-device or local statement found,1,"Alibaba Cloud Model Studio / DashScope API serves Qwen (Tongyi Qianwen API, 2023)",False,False,False,False,False,False,False,False,False,False,False,True,True,0,0,Qwen,size-specific-D,,3.1070785676869286,2.5664415324154484,3.7610175707883666,21.911111578278366,0.6781542602752874,1,1,3.1070785676869286,1,1,False,0,"managed API (per-token, Alibaba Cloud DashScope / Model Studio)",,,,,3.1070785676869286
Qwen2-72B,Qwen2,Alibaba,Alibaba,2024-06-07 00:00:00,True,dense,False,72706203648.0,72706203648.0,72706203648.0,7000000000000.0,ObsScaling; fix: missing in ObsScaling; Qwen2 report and Epoch: 7T,96.27789168981808,3.053660553216e+24,Confident,False,False,False,False,False,B,True,True,B:Qwen/Qwen2-72B,True,Qwen/Qwen2-72B,70214787072.0,2491416576.0,False,,True,37703.0,1967293.0,15110.0,525680.0,199.0,Qwen2-72B,,,,,,,,,,,False,2024,3.053660553216e+24,True,Alibaba,40-80B,80.0,8192.0,152064.0,64.0,8.0,False,,0.034266905036906437,1245708288.0,,,,server/unspecified,card: no on-device or local statement found,1,"Alibaba Cloud Model Studio / DashScope API serves Qwen (Tongyi Qianwen API, 2023)",False,False,False,False,False,False,False,False,False,False,False,True,True,0,0,Qwen2,size-specific-D,,1.9020582581712169,1.505731065881298,2.4021479457653414,21.393614963343683,0.47425374816780014,1,1,1.9020582581712169,1,1,False,0,"managed API (per-token, Alibaba Cloud DashScope / Model Studio)",,,,,1.9020582581712169
Qwen2-7B,Qwen2,Alibaba,Alibaba,2024-06-07 00:00:00,True,dense,False,7615616512.0,7615616512.0,7615616512.0,7000000000000.0,ObsScaling; fix: missing in ObsScaling; Qwen2 report and Epoch: 7T,919.1639296661056,3.19855893504e+23,Confident,False,False,False,False,False,B,True,True,B:Qwen/Qwen2-7B,True,Qwen/Qwen2-7B,6525621760.0,1089994752.0,False,,True,494090.0,28355816.0,162209.0,2156883.0,175.0,Qwen2-7B,,,,,,,,,,,False,2024,3.19855893504e+23,True,Alibaba,4-9B,28.0,3584.0,152064.0,28.0,4.0,False,,0.14312626565196462,544997376.0,,,,server/unspecified,card: no on-device or local statement found,1,"Alibaba Cloud Model Studio / DashScope API serves Qwen (Tongyi Qianwen API, 2023)",False,False,False,False,False,False,False,False,False,False,False,True,True,0,0,Qwen2,size-specific-D,,4.954946435161385,3.901126504824169,6.286976346603787,21.74470873423077,0.7981814711651006,1,1,4.954946435161385,1,1,False,0,"managed API (per-token, Alibaba Cloud DashScope / Model Studio)",,,,,4.954946435161385
Qwen2-1.5B,Qwen2,Alibaba,Alibaba,2024-06-07 00:00:00,True,dense,False,1543714304.0,1543714304.0,1543714304.0,7000000000000.0,ObsScaling; fix: missing in ObsScaling; Qwen2 report and Epoch: 7T,4534.517806735306,6.4836000768e+22,Confident,False,False,False,False,False,B,True,True,B:Qwen/Qwen2-1.5B,True,Qwen/Qwen2-1.5B,1310340608.0,233373696.0,True,,True,739934.0,34613264.0,120192.0,2945875.0,103.0,Qwen2-1.5B,,,,,,,,,,,False,2024,6.4836000768e+22,True,Alibaba,<4B,28.0,1536.0,151936.0,12.0,2.0,True,,0.15117674001937598,233373696.0,,,,server/unspecified,card: no on-device or local statement found,1,"Alibaba Cloud Model Studio / DashScope API serves Qwen (Tongyi Qianwen API, 2023)",False,False,False,False,False,False,False,False,False,False,False,True,True,0,0,Qwen2,size-specific-D,,9.753901990263435,7.589806537619111,12.732581770909269,21.99653947991893,0.8974769275928524,0,1,9.753901990263435,1,1,False,0,"managed API (per-token, Alibaba Cloud DashScope / Model Studio)",,,,,9.753901990263435
Qwen2-0.5B,Qwen2,Alibaba,Alibaba,2024-06-07 00:00:00,True,dense,False,494032768.0,494032768.0,494032768.0,12000000000000.0,ObsScaling; fix: missing in ObsScaling; Qwen2 report and Epoch: 12T,24289.886779332013,3.5570359296e+22,Confident,False,False,False,False,False,B,True,True,B:Qwen/Qwen2-0.5B,True,Qwen/Qwen2-0.5B,357898112.0,136134656.0,True,,True,997645.0,24498995.0,687439.0,15821650.0,172.0,Qwen2-0.5B,,,,,,,,,,,False,2024,3.5570359296e+22,True,Alibaba,<4B,24.0,896.0,151936.0,14.0,2.0,True,,0.2755579484152759,136134656.0,,,,server/unspecified,card: no on-device or local statement found,1,"Alibaba Cloud Model Studio / DashScope API serves Qwen (Tongyi Qianwen API, 2023)",False,False,False,False,False,False,False,False,False,False,False,True,True,0,0,Qwen2,size-specific-D,,19.949639618661116,14.8275348459511,27.658589493982376,22.09202014417864,0.9498737812253717,0,1,19.949639618661116,1,1,False,0,"managed API (per-token, Alibaba Cloud DashScope / Model Studio)",,,,,19.949639618661116
Yi-6B,Yi,01.AI,01.AI,2023-11-02 00:00:00,True,dense,False,6061035520.0,6061035520.0,6061035520.0,3000000000000.0,ObsScaling,494.9649263893441,1.0909863936e+23,Confident,False,False,False,False,False,B,True,True,B:01-ai/Yi-6B,True,01-ai/Yi-6B,5536747520.0,524288000.0,False,,True,44386.0,1069836.0,14299.0,478727.0,376.0,Yi 6B,,,,,,,,,,,False,2023,1.0909863936e+23,True,01.AI,4-9B,32.0,4096.0,64000.0,32.0,4.0,False,,0.08650139044227212,262144000.0,,,,server/unspecified,card: no on-device or local statement found,0,Yi API platform (2024); Yi-6B/34B released Nov 2023 before the API,False,False,False,False,False,False,False,False,False,False,False,True,True,0,0,Yi,common-D,,3.7904764973965337,3.0873441563367576,4.6470825945851635,21.914109280250315,0.7361809258844253,0,0,3.7904764973965337,0,0,False,0,none documented,,,,,3.7904764973965337
Yi-34B,Yi,01.AI,01.AI,2023-11-02 00:00:00,True,dense,False,34388917248.0,34388917248.0,34388917248.0,3000000000000.0,ObsScaling,87.23740786501426,6.19000510464e+23,Confident,False,False,False,False,False,B,True,True,B:01-ai/Yi-34B,True,01-ai/Yi-34B,33471413248.0,917504000.0,False,,True,43268.0,1269470.0,11082.0,526245.0,1302.0,Yi-34B,,,,,,,,,,,False,2023,6.19000510464e+23,True,01.AI,16-40B,60.0,7168.0,64000.0,56.0,8.0,False,,0.026680223555260674,458752000.0,,,,server/unspecified,card: no on-device or local statement found,0,Yi API platform (2024); Yi-6B/34B released Nov 2023 before the API,False,False,False,False,False,False,False,False,False,False,False,True,True,0,0,Yi,common-D,,1.8146027362193395,1.48031554793831,2.2237965382551335,21.64137659177439,0.4489151922676671,0,0,1.8146027362193395,0,1,True,0,none documented at release (API early access to some applicants; size unnamed),,,,,1.8146027362193395
gemma-7b,Gemma,Google,Google DeepMind,2024-02-21 00:00:00,True,dense,False,8537680896.0,8537680896.0,8537680896.0,6000000000000.0,ObsScaling,702.7669542921273,3.07356512256e+23,Confident,False,False,False,False,False,B,True,True,B:google/gemma-7b,True,google/gemma-7b,7751248896.0,786432000.0,True,,True,73039.0,9829801.0,25111.0,3204233.0,3442.0,Gemma 7B,,,,,,,,,,,False,2024,3.07356512256e+23,True,Google,4-9B,28.0,3072.0,256000.0,16.0,16.0,,,0.09211307023297766,786432000.0,,,,local,"card: 'deploy them in environments with limited resources such as a laptop, desktop'",1,Google Cloud Vertex AI / Gemini API; Gemma served on Vertex AI and AI Studio,False,False,False,False,False,False,False,False,False,False,False,True,True,0,1,Gemma,size-specific-D,,4.417266311464716,3.5079515325267763,5.550646950019518,21.750963258881995,0.7736156415553738,1,1,4.417266311464716,0,0,False,0,"self-deploy catalog (Vertex AI, GKE)",,,,,4.417266311464716
