model,family,lab,org,date,open_weights,arch,moe,N_total,N_active,N,D,D_src,M,C6,confidence,code,distilled,synthetic,continued,mm,sample,in_A,in_B,uid,core,hf,N_nonemb,N_emb,tied,D_card_verified,base_released,dl30_total,dlall_total,dl30,dl_all,likes,epoch_model,note,D_flag,accessibility,org_cat,country,notable,frontier,C_epoch,C_method,C_D_ratio,D_C_mismatch,year,Cmp,prod,dev,size_class,n_layer,d_model,vocab,n_heads,n_kv_heads,tied_cfg,emb_filled,emb_share,N_head,drop_step,drop_reason,drop_source,deploy,deploy_source,serve,serve_source,f_dup,f_suite,f_repl,f_moe,f_distilled,f_multimodal,f_instruct_only,f_nontransformer,f_D_undoc,f_m3_distilled,f_synthetic,clean,clean_ag,ondevice,local,gen,fam_class,d_audit,w_ref,w_ref_lo,w_ref_hi,Mstar_ref,s_ref,tier,tier_alt,w_primary,serve_model,serve_model_hi,serve_ambiguous,demo,channel,w_lab1,w_lab1_lo,w_lab1_hi,lab_path,w_primary1
gemma-2b,Gemma,Google,Google DeepMind,2024-02-21 00:00:00,True,dense,False,2506172416.0,2506172416.0,2506172416.0,3000000000000.0,ObsScaling; fix: ObsScaling/card: 6T total dataset; Gemma report and Epoch: 2B trained on 3T,1197.044537258206,4.5111103488e+22,Confident,False,False,False,False,False,B,True,True,B:google/gemma-2b,True,google/gemma-2b,1981884416.0,524288000.0,True,,True,235089.0,18549235.0,129692.0,10177389.0,1247.0,Gemma 2B,,,,,,,,,,,False,2024,4.5111103488e+22,True,Google,<4B,18.0,2048.0,256000.0,8.0,1.0,,,0.20919869545001013,524288000.0,,,,local,"card: 'deploy them in environments with limited resources such as a laptop, desktop'",1,Google Cloud Vertex AI / Gemini API; Gemma served on Vertex AI and AI Studio,False,False,False,False,False,False,False,False,False,False,False,True,True,0,1,Gemma,size-specific-D,,5.513796343727807,4.483143491362473,6.881642943368497,22.054179781224025,0.8186367544863087,1,1,5.513796343727807,0,0,False,0,"self-deploy catalog (Vertex AI, GKE)",,,,,5.513796343727807
gemma-2-27b,Gemma-2,Google,Google DeepMind,2024-06-24 00:00:00,True,dense,False,27227128320.0,27227128320.0,27227128320.0,13000000000000.0,ObsScaling,477.464969761453,2.12371600896e+24,Confident,False,False,False,False,False,B,True,True,B:google/gemma-2-27b,True,google/gemma-2-27b,26047480320.0,1179648000.0,True,,True,32606.0,6348128.0,4051.0,1016867.0,211.0,Gemma 2 27B,,,,,,,,,,,False,2024,2.12371600896e+24,True,Google,16-40B,46.0,4608.0,256000.0,32.0,16.0,,,0.04332619974224294,1179648000.0,,,,local,"card: 'deploy them in environments with limited resources such as a laptop, desktop'",1,Google Cloud Vertex AI / Gemini API; Gemma served on Vertex AI and AI Studio,False,False,False,False,False,False,False,False,False,False,False,True,True,0,1,Gemma-2,singleton,,3.766930300291516,2.9206325104433435,4.840665941069479,21.4497436009513,0.7345318547777187,1,1,3.766930300291516,1,1,False,0,first-party product (Google AI Studio),,,,,3.766930300291516
falcon-180B,Falcon,TII,Technology Innovation Institute,2023-09-06 00:00:00,True,dense,False,179522565120.0,179522565120.0,179522565120.0,3500000000000.0,ObsScaling,19.49615636151623,3.76997386752e+24,Confident,False,False,False,False,False,B,True,True,B:tiiuae/falcon-180B,True,tiiuae/falcon-180B,178557088768.0,965476352.0,True,,True,101.0,508938.0,58.0,282309.0,1152.0,Falcon-180B,,,,,,,,,,,False,2023,3.76997386752e+24,True,TII,>80B,80.0,14848.0,65024.0,232.0,8.0,True,True,0.0053780222634108865,965476352.0,,,,server/unspecified,card: no on-device or local statement found,0,no first-party commercial LLM API (Falcon served by third parties),False,False,False,False,False,False,False,False,False,False,False,True,True,0,0,Falcon,size-specific-D,,0.9617036041185258,0.7683278187038368,1.1932716949476003,21.361114377342382,-0.03982141245750628,0,0,0.9617036041185258,0,0,False,1,research demo (Hugging Face Space),,,,,0.9617036041185258
falcon-40b,Falcon,TII,Technology Innovation Institute,2023-03-15 00:00:00,True,dense,False,41835970560.0,41835970560.0,41835970560.0,1000000000000.0,ObsScaling,23.902875602367764,2.5101582336e+23,Confident,False,False,False,False,False,B,True,True,B:tiiuae/falcon-40b,True,tiiuae/falcon-40b,41303293952.0,532676608.0,True,,True,11612.0,13249947.0,6466.0,2727683.0,2439.0,Falcon-40B,,,,,,,,,,,False,2023,2.5101582336e+23,True,TII,40-80B,60.0,8192.0,65024.0,128.0,128.0,,,0.012732502697315184,532676608.0,,,,server/unspecified,card: no on-device or local statement found,0,no first-party commercial LLM API (Falcon served by third parties),False,False,False,False,False,False,False,False,False,False,False,True,True,0,0,Falcon,size-specific-D,,1.040499424050642,0.8729913093508495,1.2322226573172894,21.78276283469994,0.03892306243955293,0,0,1.040499424050642,0,0,False,0,none documented,,,,,1.040499424050642
falcon-7b,Falcon,TII,Technology Innovation Institute,2023-04-24 00:00:00,True,dense,False,7217189760.0,7217189760.0,7217189760.0,1500000000000.0,ObsScaling,207.83712911547445,6.495470784e+22,Confident,False,False,False,False,False,B,True,True,B:tiiuae/falcon-7b,True,tiiuae/falcon-7b,6921720704.0,295469056.0,True,,True,419314.0,43620970.0,386982.0,16451518.0,1105.0,Falcon-7B,,,,,,,,,,,False,2023,6.495470784e+22,True,TII,4-9B,32.0,4544.0,65024.0,71.0,71.0,,,0.04093962689433295,295469056.0,,,,server/unspecified,card: no on-device or local statement found,0,no first-party commercial LLM API (Falcon served by third parties),False,False,False,False,False,False,False,False,False,False,False,True,True,0,0,Falcon,size-specific-D,,2.611661532872441,2.186268486360134,3.113453255678419,21.996249190308767,0.6171019914283655,1,1,2.611661532872441,0,0,False,0,none documented,,,,,2.611661532872441
phi-2,Phi-2,Microsoft,Microsoft,2023-12-12 00:00:00,True,dense,False,2779683840.0,2779683840.0,2779683840.0,1400000000000.0,ObsScaling,503.65440121420426,2.3349344256e+22,Confident,False,False,True,False,False,B,True,True,B:microsoft/phi-2,True,microsoft/phi-2,2517539840.0,262144000.0,False,,True,586842.0,23376475.0,586842.0,23376475.0,3523.0,Phi-2,,,,,,,,,,,False,2023,2.3349344256e+22,True,Microsoft,<4B,32.0,2560.0,51200.0,32.0,32.0,False,,0.0943071281084974,131072000.0,,,,server/unspecified,card: no on-device or local statement found,1,Azure AI (Foundry) model catalog serves Phi models,False,False,False,False,False,False,False,False,False,False,True,True,True,0,0,Phi-2,singleton,,3.8006661842726315,3.176383570094914,4.577893112718187,22.15921500526405,0.7368882318215538,1,1,3.8006661842726315,0,0,False,0,self-deploy catalog (Azure AI Studio model catalog),,,,,3.8006661842726315
phi-1_5,Phi-1.5,Microsoft,Microsoft,2023-09-11 00:00:00,True,dense,False,1418270720.0,1418270720.0,1418270720.0,150000000000.0,ObsScaling,105.76260081009076,1.276443648e+21,Confident,False,False,True,False,False,B,True,True,B:microsoft/phi-1_5,True,microsoft/phi-1_5,1208555520.0,209715200.0,False,,True,62883.0,3763353.0,62883.0,3763353.0,1363.0,Phi-1.5,,,,,,,,,,,False,2023,1.276443648e+21,True,Microsoft,<4B,24.0,2048.0,51200.0,32.0,32.0,False,,0.14786683320938898,104857600.0,,,,server/unspecified,card: no on-device or local statement found,1,Azure AI (Foundry) model catalog serves Phi models,False,False,False,False,False,False,False,False,False,False,True,True,True,0,0,Phi-1.5,singleton,,1.9330631596345798,1.7530665603569757,2.134922132151875,22.628786428811935,0.4826863286820712,0,1,1.9330631596345798,0,0,False,0,none (research release),,,,,1.9330631596345798
mpt-30b,MPT,MosaicML,MosaicML,2023-06-22 00:00:00,True,dense,False,30000000000.0,30000000000.0,30000000000.0,1050000000000.0,ObsScaling,35.0,1.8e+23,Confident,False,False,False,False,False,B,True,True,B:mosaicml/mpt-30b,True,mosaicml/mpt-30b,29638503424.0,361496576.0,True,,True,0.0,0.0,,,,MPT-30B,,,,,,,,,,,False,2023,1.89e+23,True,MosaicML,16-40B,48.0,7168.0,50432.0,64.0,64.0,True,True,0.012049885866666665,361496576.0,,,,server/unspecified,card: no on-device or local statement found,1,MosaicML Inference API served MPT (2023; Databricks),False,False,False,False,False,False,False,False,False,False,False,True,True,0,0,MPT,common-D,D ,1.2236408900427946,1.0310639318479968,1.4469996718343596,21.827404397265546,0.18276676749088794,1,1,1.2236408900427946,1,1,False,0,"managed API (MosaicML Inference, per-1K-token pricing)",,,,,1.2236408900427946
mpt-7b,MPT,MosaicML,MosaicML,2023-05-05 00:00:00,True,dense,False,7000000000.0,7000000000.0,7000000000.0,1000000000000.0,ObsScaling,142.85714285714286,4.2e+22,Confident,False,False,False,False,False,B,False,True,B:mosaicml/mpt-7b,True,mosaicml/mpt-7b,6793430528.0,206569472.0,True,,True,0.0,0.0,,,,MPT-7B,,,,,,,,,,,False,2023,4.2e+22,True,MosaicML,4-9B,32.0,4096.0,50432.0,32.0,32.0,True,True,0.029509924571428536,206569472.0,,,,server/unspecified,card: no on-device or local statement found,1,MosaicML Inference API served MPT (2023; Databricks),False,False,False,False,False,False,False,False,False,False,False,True,True,0,0,MPT,common-D,,2.2219596870208873,1.8793763065317914,2.6145101625891503,22.06555279181908,0.5499468303402214,1,0,2.2219596870208873,1,1,False,0,"managed API (MosaicML Inference, hosted endpoints)",,,,,2.2219596870208873
deepseek-llm-67b-base,DeepSeek-LLM,DeepSeek,DeepSeek,2024-01-05 00:00:00,True,dense,False,67000000000.0,67000000000.0,67000000000.0,2000000000000.0,ObsScaling,29.850746268656717,8.04e+23,Confident,False,False,False,False,False,B,True,True,B:deepseek-ai/deepseek-llm-67b-base,True,deepseek-ai/deepseek-llm-67b-base,65322278400.0,1677721600.0,False,,True,11251.0,423351.0,9420.0,272046.0,132.0,DeepSeek LLM 67B,,,,,,,,,,,False,2024,8.04e+23,True,DeepSeek,40-80B,95.0,8192.0,102400.0,64.0,8.0,False,,0.025040620895522392,838860800.0,,,,server/unspecified,card: no on-device or local statement found,1,DeepSeek API platform (platform.deepseek.com); DeepSeek LLM released Jan 2024 with chat service,False,False,False,False,False,False,False,False,False,False,False,True,True,0,0,DeepSeek-LLM,common-D,,1.148289251101515,0.9432863652417277,1.39082011541049,21.600586702961714,0.1291392834682256,1,1,1.342332580993408,1,1,False,0,consumer product (DeepSeek Chat),1.3681062995031097,1.279662849994312,1.4755568152362655,deepseek,1.3681062995031097
deepseek-llm-7b-base,DeepSeek-LLM,DeepSeek,DeepSeek,2024-01-05 00:00:00,True,dense,False,7000000000.0,7000000000.0,7000000000.0,2000000000000.0,ObsScaling,285.7142857142857,8.4e+22,Confident,False,False,False,False,False,B,True,True,B:deepseek-ai/deepseek-llm-7b-base,True,deepseek-ai/deepseek-llm-7b-base,6161139200.0,838860800.0,False,,True,47492.0,2998844.0,23796.0,856830.0,146.0,DeepSeek LLM 7B,,,,,,,,,,,False,2024,8.4e+22,True,DeepSeek,4-9B,30.0,4096.0,102400.0,32.0,32.0,False,,0.11983725714285709,419430400.0,,,,server/unspecified,card: no on-device or local statement found,1,DeepSeek API platform (platform.deepseek.com); DeepSeek LLM released Jan 2024 with chat service,False,False,False,False,False,False,False,False,False,False,False,True,True,0,0,DeepSeek-LLM,common-D,,2.994591864090517,2.4887904294778864,3.6025973065402015,21.95548209960401,0.666064677463582,1,0,3.424351338515145,0,0,False,0,none documented (the chat product served the 67B only),3.7077620342436575,2.80389952397152,5.0862570458424985,deepseek,3.7077620342436575
stablelm-base-alpha-3b,StableLM-alpha,Stability AI,,2023-04-17 22:14:52,True,dense,False,3000000000.0,3000000000.0,3638525952.0,800000000000.0,ObsScaling,219.8692576482137,2.7e+22,,False,False,False,False,False,B,False,True,B:stabilityai/stablelm-base-alpha-3b,True,stabilityai/stablelm-base-alpha-3b,3223289856.0,415236096.0,False,,True,2202.0,135861.0,2202.0,135861.0,82.0,,,,,,,,,,,,False,2023,1.74649245696e+22,True,Stability AI,<4B,16.0,4096.0,50688.0,32.0,32.0,False,,0.11412206522032797,207618048.0,,,,server/unspecified,card: no on-device or local statement found,0,LLM releases not offered as a first-party commercial API (API business: image models),False,False,False,False,False,False,False,False,False,False,False,True,True,0,0,StableLM-alpha,common-D,D N ,2.6644342879675063,2.2755195907469608,3.1186533632493303,22.205686269936333,0.6246858087227125,0,0,2.6644342879675063,0,0,False,0,none documented,,,,,2.6644342879675063
stablelm-base-alpha-7b-v2,StableLM-alpha-v2,Stability AI,Stability AI,2023-08-05 00:00:00,True,dense,False,6889414656.0,6889414656.0,6889414656.0,1100000000000.0,ObsScaling,159.66523353939925,4.54701367296e+22,Confident,False,False,False,False,False,B,True,True,B:stabilityai/stablelm-base-alpha-7b-v2,True,stabilityai/stablelm-base-alpha-7b-v2,6476275712.0,413138944.0,False,,True,586.0,91253.0,586.0,91253.0,44.0,StableLM-Base-Alpha-7B,,,,,,,,,,,False,2023,4.54701367296e+22,True,Stability AI,4-9B,32.0,4096.0,50432.0,,,False,,0.05996720543452794,206569472.0,,,,server/unspecified,card: no on-device or local statement found,0,LLM releases not offered as a first-party commercial API (API business: image models),False,False,False,False,False,False,False,False,False,False,False,True,True,0,0,StableLM-alpha-v2,singleton,,2.330727925333961,1.9658328393674729,2.7506869635331817,22.0529184648083,0.5709494921606031,1,0,2.330727925333961,0,0,False,0,none documented,,,,,2.330727925333961
stablelm-2-1_6b,StableLM-2,Stability AI,Stability AI,2024-01-18 00:00:00,True,dense,False,1644515328.0,1644515328.0,1644515328.0,2000000000000.0,ObsScaling,1216.1637936402378,1.9734183936e+22,Confident,False,False,False,False,False,B,True,True,B:stabilityai/stablelm-2-1_6b,True,stabilityai/stablelm-2-1_6b,1233473536.0,411041792.0,False,,True,22797.0,995987.0,9830.0,365807.0,196.0,StableLM-2-1.6B,,,,,,,,,,,False,2024,1.9734183936e+22,True,Stability AI,<4B,24.0,2048.0,100352.0,32.0,32.0,False,,0.2499470725517008,205520896.0,,,,server/unspecified,card: no on-device or local statement found,0,LLM releases not offered as a first-party commercial API (API business: image models),False,False,False,False,False,False,False,False,False,False,False,True,True,0,0,StableLM-2,singleton,,5.537133264337139,4.537548047970423,6.842816079877924,22.186124375100913,0.819401131910501,0,1,5.537133264337139,0,0,False,0,none documented,,,,,5.537133264337139
stablelm-base-alpha-7b,StableLM-alpha,Stability AI,,2023-04-11 05:55:14,True,dense,False,7000000000.0,7000000000.0,7869358080.0,800000000000.0,ObsScaling,101.6601343930711,6.3e+22,,False,False,False,False,False,B,False,True,B:stabilityai/stablelm-base-alpha-7b,True,stabilityai/stablelm-base-alpha-7b,7249649664.0,619708416.0,False,,True,729.0,113478.0,729.0,113478.0,208.0,,,,,,,,,,,,False,2023,3.7772918784e+22,True,Stability AI,4-9B,16.0,6144.0,50432.0,48.0,48.0,False,,0.07874955106884651,309854208.0,,,,server/unspecified,card: no on-device or local statement found,0,LLM releases not offered as a first-party commercial API (API business: image models),False,False,False,False,False,False,False,False,False,False,False,True,True,0,0,StableLM-alpha,common-D,D N ,1.9206086121113137,1.641365240365517,2.2489331153491037,22.082446304899953,0.4793317109514021,1,1,1.9206086121113137,0,0,False,1,research demo (Hugging Face Space),,,,,1.9206086121113137
SmolLM-135M,SmolLM,Hugging Face,,2024-07-14 21:45:18,True,dense,False,134515008.0,134515008.0,134515008.0,600000000000.0,ObsScaling,4460.468827389134,4.842540288e+20,,False,False,True,False,False,B,False,True,B:HuggingFaceTB/SmolLM-135M,True,HuggingFaceTB/SmolLM-135M,106203456.0,28311552.0,True,,True,203069.0,7597181.0,171853.0,5452736.0,272.0,,,,,,,,,,,,False,2024,4.842540288e+20,False,Hugging Face,<4B,30.0,576.0,49152.0,9.0,3.0,True,,0.21047132525167744,28311552.0,,,,ondevice,SmolLM blog/card: small models for on-device use (HuggingFaceTB/SmolLM-*),0,hub/platform; SmolLM not served as a first-party product (third-party hosting only),False,False,False,False,False,False,False,False,False,False,True,True,True,1,1,SmolLM,size-specific-D,,9.54032853240347,7.762422909330284,11.997725879339455,22.78757578581973,0.8951818067267258,0,1,9.54032853240347,0,0,False,0,none (local/on-device target),,,,,9.54032853240347
SmolLM-360M,SmolLM,Hugging Face,,2024-07-14 21:48:37,True,dense,False,361821120.0,361821120.0,361821120.0,600000000000.0,ObsScaling,1658.2779910691781,1.302556032e+21,,False,False,True,False,False,B,False,True,B:HuggingFaceTB/SmolLM-360M,True,HuggingFaceTB/SmolLM-360M,314635200.0,47185920.0,True,,True,22079.0,1513864.0,11502.0,976032.0,73.0,,,,,,,,,,,,False,2024,1.302556032e+21,True,Hugging Face,<4B,32.0,960.0,49152.0,15.0,5.0,True,,0.13041228770725155,47185920.0,,,,ondevice,SmolLM blog/card: small models for on-device use (HuggingFaceTB/SmolLM-*),0,hub/platform; SmolLM not served as a first-party product (third-party hosting only),False,False,False,False,False,False,False,False,False,False,True,True,True,1,1,SmolLM,size-specific-D,,6.269117719213783,5.248600954447963,7.588871875888504,22.625480553266296,0.8404879211415716,0,1,6.269117719213783,0,0,False,0,none (local/on-device target),,,,,6.269117719213783
SmolLM-1.7B,SmolLM,Hugging Face,,2024-07-16 00:00:00,True,dense,False,1711376384.0,1711376384.0,1711376384.0,1000000000000.0,ObsScaling,584.3249967389991,1.0268258304e+22,Confident,False,False,True,False,False,B,True,True,B:HuggingFaceTB/SmolLM-1.7B,True,HuggingFaceTB/SmolLM-1.7B,1610713088.0,100663296.0,True,,True,79599.0,1549740.0,68085.0,1181342.0,184.0,SmolLM-1.7B,,,,,,,,,,,False,2024,1.0268258304e+22,True,Hugging Face,<4B,24.0,2048.0,49152.0,32.0,32.0,True,,0.058820080106936845,100663296.0,,,,ondevice,SmolLM blog/card: small models for on-device use (HuggingFaceTB/SmolLM-*),0,hub/platform; SmolLM not served as a first-party product (third-party hosting only),False,False,False,False,False,False,False,False,False,False,True,True,True,1,1,SmolLM,size-specific-D,,4.039604719344119,3.40686536742175,4.843299639595011,22.290941323212518,0.752451026900879,0,1,4.039604719344119,0,0,False,0,none (local/on-device target),,,,,4.039604719344119
btlm-3b-8k-base,BTLM,Cerebras,Cerebras Systems,2023-09-20 00:00:00,True,dense,False,3000000000.0,3000000000.0,3000000000.0,627000000000.0,ObsScaling; fix: ObsScaling lists 627T; BTLM trained on 627B tokens (Epoch 6.27e11),209.0,1.1286e+22,Confident,False,False,False,False,False,B,True,True,B:cerebras/btlm-3b-8k-base,True,cerebras/btlm-3b-8k-base,2871342080.0,128657920.0,True,,True,0.0,0.0,,,,BTLM-3B,,,,,,,,,,,False,2023,1.1286e+22,True,Cerebras,<4B,32.0,2560.0,50257.0,32.0,32.0,True,True,0.04288597333333333,128657920.0,,,,server/unspecified,card: no on-device or local statement found,0,"hardware vendor; Cerebras Inference launched Aug 2024, after its model releases",False,False,False,False,False,False,False,False,False,False,False,True,True,0,0,BTLM,singleton,,2.6038064478688514,2.2441753173310537,3.018089283239311,22.27574792936051,0.6159468762286558,1,1,2.6038064478688514,0,0,False,0,none (edge/mobile target),,,,,2.6038064478688514
h2o-danube-1.8b-base,H2O-Danube1,H2O.ai,,2024-01-23 11:25:25,True,dense,False,1831201280.0,1831201280.0,1831201280.0,1000000000000.0,ObsScaling,546.0896139172642,1.098720768e+22,,False,False,False,False,False,B,False,True,B:h2oai/h2o-danube-1.8b-base,True,h2oai/h2o-danube-1.8b-base,1667361280.0,163840000.0,False,,True,768.0,119836.0,204.0,50331.0,43.0,,,,,,,,,,,,False,2024,1.098720768e+22,True,H2O.ai,<4B,24.0,2560.0,32000.0,32.0,8.0,False,,0.08947132234420452,81920000.0,,,,server/unspecified,card: no on-device or local statement found,0,enterprise software (h2oGPTe); Danube positioned for on-device use,False,False,False,False,False,False,False,False,False,False,False,True,True,0,0,H2O-Danube1,singleton,,3.9252446146294586,3.316436109124055,4.698950827736795,22.28006047727429,0.7452388072139551,0,1,3.9252446146294586,0,0,False,0,none (on-device target; runs in H2O's on-device app),,,,,3.9252446146294586
h2o-danube3-500m-base,H2O-Danube3,H2O.ai,,2024-07-04 13:16:04,True,dense,False,513590784.0,513590784.0,513590784.0,4000000000000.0,ObsScaling,7788.301746473706,1.2326178816e+22,,False,False,False,False,False,B,False,True,B:h2oai/h2o-danube3-500m-base,True,h2oai/h2o-danube3-500m-base,415286784.0,98304000.0,False,,True,77715.0,546903.0,3540.0,39386.0,35.0,,,,,,,,,,,,False,2024,1.2326178816e+22,True,H2O.ai,<4B,16.0,1536.0,32000.0,16.0,8.0,False,,0.1914053037213378,49152000.0,,,,ondevice,card: 'Can be run natively and fully offline on phones',0,enterprise software (h2oGPTe); Danube positioned for on-device use,False,False,False,False,False,False,False,False,False,False,False,True,True,1,1,H2O-Danube3,size-specific-D,,12.228305415430633,9.522675396550465,16.060761028393873,22.26158365986415,0.9182225201262866,0,1,12.228305415430633,0,0,False,0,none (on-device target; runs in H2O's on-device app),,,,,12.228305415430633
h2o-danube3-4b-base,H2O-Danube3,H2O.ai,,2024-07-04 13:24:14,True,dense,False,3961839360.0,3961839360.0,3961839360.0,6000000000000.0,ObsScaling,1514.4480769659474,1.4262621696e+23,,False,False,False,False,False,B,False,True,B:h2oai/h2o-danube3-4b-base,True,h2oai/h2o-danube3-4b-base,3716079360.0,245760000.0,False,,True,2329.0,307087.0,1463.0,57942.0,23.0,,,,,,,,,,,,False,2024,1.4262621696e+23,True,H2O.ai,<4B,24.0,3840.0,32000.0,32.0,8.0,False,,0.06203179323252517,122880000.0,,,,ondevice,card: 'Can be run natively and fully offline on phones',0,enterprise software (h2oGPTe); Danube positioned for on-device use,False,False,False,False,False,False,False,False,False,False,False,True,True,1,1,H2O-Danube3,size-specific-D,,6.11861536258296,4.843853733322117,7.818957110372945,21.87178251234278,0.8365643302052815,0,0,6.11861536258296,0,0,False,0,none (on-device target; runs in H2O's on-device app),,,,,6.11861536258296
OLMo-1B-hf,OLMo-1,AI2,"Allen Institute for AI,University of Washington",2024-02-01 00:00:00,True,dense,False,1176764416.0,1176764416.0,1176764416.0,3000000000000.0,ObsScaling,2549.3632873412785,2.1181759488e+22,Confident,False,False,False,False,False,B,True,True,B:allenai/OLMo-1B-hf,True,allenai/OLMo-1B-hf,1073741824.0,103022592.0,True,,True,66727.0,927637.0,66727.0,927637.0,29.0,OLMo-1B,,,,,,,,,,,False,2024,2.1181759488e+22,True,AI2,<4B,16.0,2048.0,50304.0,16.0,16.0,True,,0.08754733793717973,103022592.0,,,,server/unspecified,card: no on-device or local statement found,0,non-profit research institute (demo playground only),False,False,False,False,False,False,False,False,False,False,False,True,True,0,0,OLMo-1,size-specific-D,,7.599357530431011,6.099447398953536,9.607168467666694,22.17479652737023,0.8684099286030982,0,1,19.20026205220526,0,0,False,0,none documented,4.979801598129115,3.496148553497093,7.421108953899837,ai2,4.979801598129115
OLMo-7B-hf,OLMo-1,AI2,"Allen Institute for AI,University of Washington",2024-02-01 00:00:00,True,dense,False,6888095744.0,6888095744.0,6888095744.0,2500000000000.0,ObsScaling,362.94501309417336,1.0332143616e+23,Confident,False,False,False,False,False,B,True,True,B:allenai/OLMo-7B-hf,True,allenai/OLMo-7B-hf,6476005376.0,412090368.0,False,,True,14259.0,507147.0,13545.0,444563.0,17.0,OLMo-7B,,,,,,,,,,,False,2024,1.0332143616e+23,True,AI2,4-9B,32.0,4096.0,50304.0,32.0,32.0,False,,0.05982645760389704,206045184.0,,,,server/unspecified,card: no on-device or local statement found,0,non-profit research institute (demo playground only),False,False,False,False,False,False,False,False,False,False,False,True,True,0,0,OLMo-1,size-specific-D,,3.3191740354760872,2.72521268136642,4.0410806856947445,21.9227129780263,0.6987202269866623,1,0,2.944878859146488,0,0,False,0,none documented,1.7982130425366203,1.5094167933186167,2.2419620410600545,ai2,1.7982130425366203
OLMo-7B-0424-hf,OLMo-1.7,AI2,Allen Institute for AI,2024-04-17 00:00:00,True,dense,False,6888095744.0,6888095744.0,6888095744.0,2050000000000.0,ObsScaling,297.6149107372222,8.472357765119998e+22,,False,False,False,False,False,B,True,True,B:allenai/OLMo-7B-0424-hf,True,allenai/OLMo-7B-0424-hf,6476005376.0,412090368.0,False,,True,1482.0,139849.0,1213.0,137795.0,14.0,OLMo 1.7-7B,,,,,,,,,,,False,2024,8.47235776512e+22,True,AI2,4-9B,32.0,4096.0,50304.0,32.0,32.0,False,,0.05982645760389704,206045184.0,,,,server/unspecified,card: no on-device or local statement found,0,non-profit research institute (demo playground only),False,False,False,False,False,False,False,False,False,False,False,True,True,0,0,OLMo-1.7,singleton,,3.047365754006383,2.52787747047467,3.668875016939439,21.954123509469127,0.6718477266191969,1,0,2.5519376252892503,0,0,False,0,none documented,1.6636031371631816,1.4129384582950248,2.037381813825877,ai2,1.6636031371631816
TinyLlama_v1.1,TinyLlama,TinyLlama,,2024-03-09 09:39:41,True,dense,False,1100000000.0,1100000000.0,1100000000.0,2000000000000.0,ObsScaling; fix: ObsScaling 3T is TinyLlama v1.0; the v1.1 card states 2T (1.5T + 0.5T stages),1818.1818181818182,1.32e+22,,False,False,False,False,False,B,False,True,B:TinyLlama/TinyLlama_v1.1,True,TinyLlama/TinyLlama_v1.1,968928000.0,131072000.0,False,,True,50016.0,1695458.0,50016.0,1695458.0,118.0,,,,,,,,,,,,False,2024,1.32e+22,True,TinyLlama,<4B,22.0,2048.0,32000.0,32.0,4.0,False,,0.11915636363636362,65536000.0,,,,server/unspecified,card: no on-device or local statement found,0,academic project (SUTD),False,False,False,False,False,False,False,False,False,False,False,True,True,0,0,TinyLlama,singleton,,6.567457328636474,5.354109380904775,8.169861774068224,22.25058595312243,0.8477340696772188,0,1,6.567457328636474,0,0,False,0,none documented,,,,,6.567457328636474
Qwen2.5-0.5B,Qwen2.5,Alibaba,,2024-09-15 12:15:39,True,dense,False,494032768.0,494032768.0,494032768.0,18000000000000.0,Qwen2.5 technical report (18T tokens pre-training corpus); Epoch 1.8e13,36434.83016899802,5.3355538944e+22,,False,False,False,False,False,B,False,True,B:Qwen/Qwen2.5-0.5B,True,Qwen/Qwen2.5-0.5B,357898112.0,136134656.0,True,,True,10312121.0,99836692.0,1645044.0,30013406.0,457.0,,,,,,,,,,,,False,2024,5.3355538944e+22,True,Alibaba,<4B,24.0,896.0,151936.0,14.0,2.0,True,,0.2755579484152759,136134656.0,,,,server/unspecified,card: no on-device or local statement found,1,"Alibaba Cloud Model Studio / DashScope API serves Qwen (Tongyi Qianwen API, 2023)",False,False,False,False,False,False,False,False,False,False,False,True,True,0,0,Qwen2.5,common-D,,23.754563355883434,17.357955769196227,33.58328327006442,22.027488795582624,0.957902825447965,0,1,23.754563355883434,1,1,False,0,"managed API (per-token, Alibaba Cloud DashScope / Model Studio)",,,,,23.754563355883434
Qwen2.5-1.5B,Qwen2.5,Alibaba,Alibaba,2024-09-19 00:00:00,True,dense,False,1543714304.0,1543714304.0,1543714304.0,18000000000000.0,Qwen2.5 technical report (18T tokens pre-training corpus); Epoch 1.8e13,11660.188645890788,1.66721144832e+23,Confident,False,False,False,False,False,B,True,True,B:Qwen/Qwen2.5-1.5B,True,Qwen/Qwen2.5-1.5B,1310340608.0,233373696.0,True,,True,8763225.0,234686538.0,843490.0,14927670.0,224.0,Qwen2.5-1.5B,,,,,,,,,,,False,2024,1.66721144832e+23,True,Alibaba,<4B,28.0,1536.0,151936.0,12.0,2.0,True,,0.15117674001937598,233373696.0,,,,server/unspecified,card: no on-device or local statement found,1,"Alibaba Cloud Model Studio / DashScope API serves Qwen (Tongyi Qianwen API, 2023)",False,False,False,False,False,False,False,False,False,False,False,True,True,0,0,Qwen2.5,common-D,,14.647700988645516,10.975758068550972,19.90108434445708,21.847164877323852,0.9317299007690578,0,1,14.647700988645516,1,1,False,0,"managed API (per-token, Alibaba Cloud DashScope / Model Studio)",,,,,14.647700988645516
