part,check,ok,detail
C,Cor. A-general: CES sigma=0.5 (as a loss) | CES cost sigma_C=2,True,"sigma*=0.4998 sigma_C=2.0000 r=2.371 g_d=0.297; lhs=1.50089 rhs(y)=1.50001 rhs(L, weighted)=1.50001; unweighted L_nn/|dL*/dc|=3.55692 (differs by r(1+r)g_d=2.371)"
C,Cor. A-general: non-separable | 6 N^1.1 D,True,"sigma*=0.8334 sigma_C=1.0000 r=1.100 g_d=1.000; lhs=0.19986 rhs(y)=0.19986 rhs(L, weighted)=0.19986; unweighted L_nn/|dL*/dc|=0.46168 (differs by r(1+r)g_d=2.310)"
C,Cor. A-general: reference (kappa free) | linear,True,"sigma*=0.7007 sigma_C=933681.3645 r=0.785 g_d=0.560; lhs=1.42707 rhs(y)=1.42708 rhs(L, weighted)=1.42708; unweighted L_nn/|dL*/dc|=1.12032 (differs by r(1+r)g_d=0.785)"
D,"Prop. 2(ii) Hoffmann (alpha != beta): profiled over the split -> quartic; fixed split -> quadratic except along (V0,-U0)",True,"log-log slopes: split free (2,-1) 4.000; split fixed (2,-1) 2.027; split fixed (V0,-U0) 4.000; |d sigma*| along (2,-1) 1.000"
D,"Prop. 2(ii) equal exponents: profiled over the split -> quartic; fixed split -> quadratic except along (V0,-U0)",True,"log-log slopes: split free (2,-1) 4.000; split fixed (2,-1) 2.020; split fixed (V0,-U0) 4.000; |d sigma*| along (2,-1) 1.000"
E,A6(vii): constant tilt translates every IsoFLOP argmin by t = -2chi/S,True,"t=-0.61: shifts [-0.6100002, -0.6100002, -0.6099999]; t=0.45: shifts [0.45, 0.4499999, 0.4500002]"
E,A6(vii) sharpness: upper end of X*_tau(1e25) is x*_dev of an admissible developer technology,True,target 6.664734 got 6.664734; one sign change of L_x: True; F_n=2.09e-02 F_d=2.09e-02; below c_J within ln tau of the anchored technology: 1.1e-07
E,"A6(viii): widened union covers x*_dev(c) on [c_J, cbar] simultaneously w.p. >= 1 - max p_j",True,R=3000: band of path j* covers 0.9850; widened union covers 1.0000
E,"A6(vii) caveat: a band from a linear fit needs a linear path (curved path, slope within [-0.16,0.31])",True,non-coverage 1.000 with the path's slope rising to 0.354
F,"Cor. A2: Hoffmann exponents at w=13.5, exact C/C_min vs cosh form",True,"exact 101.19, cosh 77.95 (round-2/WP3 text had 102.0 and 78.5, the values at w=13.536; corrected to 101.2 and 78.0)"
F,"Cor. A2: alpha = beta, cosh form exact",True,92.855468 vs 92.855468
G,"A2(iii): efficient-information slopes in varsigma (S: 4, ln G: 2, ln M*(1e21): 2)",True,"slopes S 3.996, ln G 1.998, ln M*(1e21) 1.996; I(ln M*)/[I(ln G)/4] = 191.0 at varsigma 0.1"
H,"Section I: sigma*=0.701, 1/sigma*-1=0.427, M about 6,400, about 290 times, w about 11.3, s about 0.91, about 10 percent",True,sigma*=0.7006 k=0.42744 M=6428 M/M*=293.4 w=11.342 (=exp(k ln M/M*) 11.342) s=0.912 w-1=10.34
H,"Section II: SmolLM2 1.7B about 47 times the upper end; M about 6,400, 1.1e23 FLOP",True,"exp(dlo)=47.10 (M=6428, Mstar_hi=136.5, C=1.130e+23)"
H,"Section II: Llama 3.1 405B inside the set, 38 tokens per parameter, 3.8e25 FLOP",True,dlo=-2.869 dhi=2.269 M=38.44 C=3.799e+25
H,Remark A-pi-param: M*(1e24) set about 3.8 log points,True,"[5.68, 248.2] width 3.777; 32-technology range ln(426/1.4)=5.72"
H,Section II: tilt 0.26 -> tau approx 1.8 (1.84) under the reference exponents; 3.4 under DataDecide's,True,exp(2*0.26/S_ref)=1.8372; exp(2*0.2561/0.4154)=3.432
H,"Remark 1/A3: n^-0.24, n^-0.27..-0.28, restricted n^-0.50, q25 n^-1/2, about 40 percent coinciding, R=100, five noise levels 1e-3..1e-7",True,"q75 [0.241, 0.243] q90 [0.273, 0.282] restricted [0.496, 0.497] q25 [0.502, 0.501]; coinciding 0.37-0.47 (mean 0.41)"
I,A-family: sum pi(1+v) - (1+m_D+mu) w_H = w_H * (FOC residual) identically,True,simplified: 0
I,A-family: 1 - 1/w_H = sum h_i s_i identically,True,0
I,A-family: sum pi_i w_i = w_H identically,True,
I,"Prop. 1(ii): w = 1 + lambda varrho T/(3D), s = lambda X_S/(X_T + lambda X_S)",True,
I,Prop. 1(iii): m_D = N_T/(3N),True,
I,"Prop. 1(iii): w_L/w_L' = e^{-chi}, chi = beta psi_D - alpha psi_N",True,
I,Remark 1: 2/{2+gamma/[a(1-a)]} = 2/(2+alpha+beta),True,
I,Cor. A-general(ii): linear cost has 1/sigma_C = 0 and r(1+r)g_d = s_N/s_D,True,1/sigma_C = 0
