part,case,spec,w,formula,nu_N,m_N,env_over_kkt,mu,inversions,lhs,rhs,violators,rho,nu
A,interior,delta=mD=0,3.813766626714782,3.813766723265767,,,,,,,,,,
A,size cap,delta=mD=0,5.425618434235612,5.425618484206359,2.394548481634242,2.031070002572117,0.9999999940594785,,,,,,,
A,size floor,delta=mD=0,2.6770041506685267,2.6770045693067113,-2.233817033966979,3.9108216032736904,1.000000044911429,,,,,,,
A,latency,delta=mD=0,5.056764117875948,5.056764134660956,1.8893651051903837,,,,,,,,,
A,menu binds as a cap,delta=mD=0,4.712766648863348,4.71276635281506,1.3996376775666346,,,,,,,,,
A,menu binds as a floor,delta=mD=0,3.1958487012908035,3.1958486484028326,-1.1198990060386056,,,,,,,,,
A,token cap,delta=mD=0,2.981989674614117,2.9819891027512146,,,,0.8910589050220753,,,,,,
A,size and token caps,delta=mD=0,3.646304994349928,3.646304981368611,3.259836034370116,,,1.31946662957542,,,,,,
A,interior,"delta=0.08,qD>0",3.340004246167142,3.3400050000046244,,,,,,,,,,
A,size cap,"delta=0.08,qD>0",4.524270691629528,4.524270757914508,3.8042295114068736,3.187683899113431,1.000000000246349,,,,,,,
A,size floor,"delta=0.08,qD>0",2.4162880361696653,2.4162879917466897,-2.7340894872294803,4.713808411000827,0.9999999947788617,,,,,,,
A,latency,"delta=0.08,qD>0",4.2653424811234855,4.265343366157028,2.901739838525956,,,,,,,,,
A,menu binds as a cap,"delta=0.08,qD>0",4.017621237320604,4.01762087272377,2.081931172529645,,,,,,,,,
A,menu binds as a floor,"delta=0.08,qD>0",2.8474230144667247,2.8474230083886054,-1.4413249583325733,,,,,,,,,
A,token cap,"delta=0.08,qD>0",2.6275849814004424,2.627585133770876,,,,1.346571272481957,,,,,,
A,size and token caps,"delta=0.08,qD>0",3.193345413072658,3.1933454086819326,4.185429858279957,,,1.8288366192394758,,,,,,
B,remark: family optimum,,,,,,,,6.9008;2.2772;0.6506,7.37032059140429,7.370319148560659,,,
B,token cap 30%,,,,,,,3.603386348420749,,21.293227444226808,21.29322745949745,1.0,0.9167;2.2917;7.1084,
B,token cap 50%,,,,,,,1.3784036741253287,,13.369382342771386,13.369382364278367,1.0,0.4990;1.1865;3.5982,
B,token cap 80%,,,,,,,0.3158877275640571,,8.87977508247139,8.879775124753706,2.0,0.2951;0.6601;1.9408,
B,"(iii) caps+floor, Besiroglu, cD=0",,,,,,,,,6.051454716590952,6.051456198152053,,,3.37753;-0.00000;-4.35065
B,"(vi) token cap 60%, Besiroglu, cD=0",,,,,,,0.9816839498305773,,9.946818754257416,9.946819933517553,,,
B,"(iii) caps+floor, Besiroglu, cD=3e+09",,,,,,,,,10.295925277975813,10.295926381642921,,,4.65898;-0.00000;-7.72056
B,"(vi) token cap 60%, Besiroglu, cD=3e+09",,,,,,,2.1368576481905692,,17.017328420903436,17.017329373251194,,,
B,"(iii) caps+floor, reference (kappa free), cD=0",,,,,,,,,7.366564480427151,7.366565408914566,,,3.69528;-0.00000;-5.35417
B,"(vi) token cap 60%, reference (kappa free), cD=0",,,,,,,1.0415251888347252,,12.070503705091628,12.07050459354199,,,
B,"(iii) caps+floor, reference (kappa free), cD=3e+09",,,,,,,,,11.944392559053647,11.944393380947893,,,5.10263;-0.00000;-8.94425
B,"(vi) token cap 60%, reference (kappa free), cD=3e+09",,,,,,,2.1586326757234953,,19.62334935318678,19.6233496381647,,,
B,size cap on member 1 with token cap 50%,,,,,,,,,,,,1.0048,
