uid,model,dev,year,serve,deploy,ondevice,local,lnw,s,lnC
B:allenai/OLMo-1B-hf,OLMo-1B-hf,AI2,2024,0,server/unspecified,0,0,2.0280637082493573,0.8684099286030982,51.40742736268566
B:allenai/OLMo-7B-hf,OLMo-7B-hf,AI2,2024,0,server/unspecified,0,0,1.1997159674812465,0.6987202269866623,52.992131821122136
B:allenai/OLMo-7B-0424-hf,OLMo-7B-0424-hf,AI2,2024,0,server/unspecified,0,0,1.1142775302156025,0.6718477266191969,52.7936808823983
B:TinyLlama/TinyLlama_v1.1,TinyLlama_v1.1,TinyLlama,2024,0,server/unspecified,0,0,1.8821267452038004,0.8477340696772188,50.93450378246728
B:Qwen/Qwen2.5-0.5B,Qwen2.5-0.5B,Alibaba,2024,1,server/unspecified,0,0,3.16777465332423,0.957902825447965,52.331264747988904
B:Qwen/Qwen2.5-1.5B,Qwen2.5-1.5B,Alibaba,2024,1,server/unspecified,0,0,2.684283394045721,0.9317299007690578,53.47060957821101
B:Qwen/Qwen2.5-3B,Qwen2.5-3B,Alibaba,2024,1,server/unspecified,0,0,2.390344968599516,0.9084019200347244,54.16327406595276
B:Qwen/Qwen2.5-7B,Qwen2.5-7B,Alibaba,2024,1,server/unspecified,0,0,2.0070023424301517,0.8656090705564851,55.06661912327932
B:Qwen/Qwen2.5-14B,Qwen2.5-14B,Alibaba,2024,1,server/unspecified,0,0,1.7259071662749577,0.821988507519126,55.72901855575449
B:Qwen/Qwen2.5-32B,Qwen2.5-32B,Alibaba,2024,1,server/unspecified,0,0,1.3878092134132611,0.7503784263709476,56.52574475774723
B:Qwen/Qwen2.5-72B,Qwen2.5-72B,Alibaba,2024,1,server/unspecified,0,0,1.0495525785741275,0.6499056462106391,57.32284489305763
B:Qwen/Qwen3-0.6B-Base,Qwen3-0.6B-Base,Alibaba,2025,1,server/unspecified,0,0,3.3865312862286086,0.9661741943229899,53.21213450352406
B:Qwen/Qwen3-1.7B-Base,Qwen3-1.7B-Base,Alibaba,2025,1,server/unspecified,0,0,2.936672792234967,0.9469580830536385,54.27222388389467
B:Qwen/Qwen3-4B-Base,Qwen3-4B-Base,Alibaba,2025,1,server/unspecified,0,0,2.576291346833889,0.923944454730504,55.121461029026115
B:Qwen/Qwen3-8B-Base,Qwen3-8B-Base,Alibaba,2025,1,server/unspecified,0,0,2.2745262450609935,0.8971543794837444,55.83256904193923
B:Qwen/Qwen3-14B-Base,Qwen3-14B-Base,Alibaba,2025,1,server/unspecified,0,0,2.024375173809675,0.8679236578309063,56.42204883983675
B:allenai/OLMo-2-0425-1B,OLMo-2-0425-1B,AI2,2025,0,server/unspecified,0,0,2.0585650765709467,0.8723630121406716,51.94012200387047
B:allenai/OLMo-2-1124-7B,OLMo-2-1124-7B,AI2,2024,0,server/unspecified,0,0,1.3828470752169402,0.7491366913433287,53.53244822850492
B:allenai/OLMo-2-1124-13B,OLMo-2-1124-13B,AI2,2024,0,server/unspecified,0,0,1.2185690140455385,0.704347060435072,54.403620636133276
B:allenai/OLMo-2-0325-32B,OLMo-2-0325-32B,AI2,2025,0,server/unspecified,0,0,0.9323734636565053,0.6063816380736409,55.43552898447889
B:allenai/Olmo-3-1025-7B,Olmo-3-1025-7B,AI2,2025,0,server/unspecified,0,0,1.554244940330122,0.788651096557207,53.93039529675271
B:allenai/Olmo-3-1125-32B,Olmo-3-1125-32B,AI2,2025,0,server/unspecified,0,0,0.8920493327753701,0.5901849558011361,55.34181999223237
B:HuggingFaceTB/SmolLM2-135M,SmolLM2-135M,Hugging Face,2024,0,ondevice,1,1,2.77387041822754,0.9375800546853913,48.83311410014085
B:HuggingFaceTB/SmolLM2-360M,SmolLM2-360M,Hugging Face,2024,0,ondevice,1,1,2.6523965275657115,0.929517901794075,50.515735450290926
B:HuggingFaceTB/SmolLM2-1.7B,SmolLM2-1.7B,Hugging Face,2024,0,ondevice,1,1,2.4285048990323563,0.9118314450194397,53.08123964457929
B:HuggingFaceTB/SmolLM3-3B-Base,SmolLM3-3B-Base,Hugging Face,2025,0,ondevice,1,1,2.187571399844801,0.887811120034247,53.68529717399375
B:tiiuae/Falcon3-7B-Base,Falcon3-7B-Base,TII,2024,0,server/unspecified,0,0,1.9078190610053039,0.8515963066870987,54.79406253543844
B:tiiuae/falcon-11B,falcon-11B,TII,2024,0,server/unspecified,0,0,1.3365769673741976,0.7372564893585437,54.25799386060879
B:ibm-granite/granite-3.0-2b-base,granite-3.0-2b-base,IBM,2024,1,server/unspecified,0,0,2.2994836965318317,0.8996893789232041,53.560564884480314
B:ibm-granite/granite-3.0-8b-base,granite-3.0-8b-base,IBM,2024,1,server/unspecified,0,0,1.8025765039076855,0.8351264568229678,54.73152429719305
B:swiss-ai/Apertus-8B-2509,Apertus-8B-2509,Swiss AI,2025,0,server/unspecified,0,0,1.9047924164367238,0.8511464610367326,54.94018330892805
B:swiss-ai/Apertus-70B-2509,Apertus-70B-2509,Swiss AI,2025,0,server/unspecified,0,0,0.9835337853542931,0.6260128293961716,57.11112484815584
B:marin-community/marin-8b-base,marin-8b-base,Marin,2025,0,server/unspecified,0,0,1.8343497618726339,0.8402826776970129,54.77086547699452
B:m-a-p/neo_7b,neo_7b,M-A-P,2024,0,server/unspecified,0,0,1.3926330342287372,0.7515796565249915,53.685503914900494
B:stabilityai/stablelm-3b-4e1t,stablelm-3b-4e1t,Stability AI,2023,0,server/unspecified,0,0,1.7847537678645917,0.8321616168839612,52.56033144613224
