design,E,ssr,gamma,in_set
Chinchilla,0.0,0.0067212819940125155,0.05355169834425438,False
Chinchilla,0.0018344531648113202,0.006716752876834365,0.05359028561914107,False
Chinchilla,0.0036689063296226404,0.006712218814042626,0.053628928277145195,False
Chinchilla,0.00550335949443396,0.006707679798363288,0.053667626761966736,False
Chinchilla,0.007337812659245281,0.006703135822511995,0.05370638105040976,False
Chinchilla,0.009172265824056601,0.006698586879192571,0.05374519116948506,False
Chinchilla,0.01100671898886792,0.006694032961098132,0.053784057412586204,False
Chinchilla,0.01284117215367924,0.006689474060910534,0.05382297963115552,False
Chinchilla,0.014675625318490561,0.006684910171300202,0.05386195810023188,False
Chinchilla,0.016510078483301882,0.006680341284926622,0.053900993023994204,False
Chinchilla,0.018344531648113203,0.006675767394437947,0.05394008448056498,False
Chinchilla,0.020178984812924523,0.006671188492471546,0.05397923244675462,False
Chinchilla,0.02201343797773584,0.006666604571652973,0.05401843714389691,False
Chinchilla,0.02384789114254716,0.00666201562459719,0.05405769879224061,False
Chinchilla,0.02568234430735848,0.00665742164390723,0.05409701737911249,False
Chinchilla,0.027516797472169802,0.0066528226221759,0.05413639307373405,False
Chinchilla,0.029351250636981123,0.006648218551983871,0.054175826121363964,False
Chinchilla,0.031185703801792444,0.0066436094259014495,0.05421531640229643,False
Chinchilla,0.033020156966603764,0.006638995236486846,0.05425486424881043,False
Chinchilla,0.03485461013141508,0.006634375976287809,0.05429446968560572,False
Chinchilla,0.036689063296226405,0.006629751637840649,0.054334132755237345,False
Chinchilla,0.03852351646103772,0.006625122213669967,0.054373853779795034,False
Chinchilla,0.04035796962584905,0.006620487696289901,0.05441363287503873,False
Chinchilla,0.042192422790660364,0.006615848078203087,0.05445347006745842,False
Chinchilla,0.04402687595547168,0.006611203351900558,0.05449336539847351,False
Chinchilla,0.045861329120283005,0.006606553509862708,0.05453331907192746,False
Chinchilla,0.04769578228509432,0.006601898544558289,0.054573331325877716,False
Chinchilla,0.049530235449905646,0.006597238448445044,0.05461340226464652,False
Chinchilla,0.05136468861471696,0.006592573213969227,0.054653531873328595,False
Chinchilla,0.05319914177952829,0.0065879028335662174,0.054693720369704456,False
Chinchilla,0.055033594944339605,0.006583227299659858,0.05473396781851465,False
Chinchilla,0.05686804810915093,0.00657854660466272,0.054774274525334114,False
Chinchilla,0.058702501273962246,0.006573860740976536,0.054814640670853974,False
Chinchilla,0.06053695443877356,0.006569169700991365,0.05485506599798535,False
Chinchilla,0.06237140760358489,0.0065644734770862675,0.05489555091026732,False
Chinchilla,0.06420586076839621,0.0065597720616287734,0.05493609543313177,False
Chinchilla,0.06604031393320753,0.006555065446975668,0.05497669992861817,False
Chinchilla,0.06787476709801885,0.006550353625472275,0.055017364139718396,False
Chinchilla,0.06970922026283016,0.006545636589452113,0.05505808857852825,False
Chinchilla,0.0715436734276415,0.006540914331238384,0.05509887314296078,False
Chinchilla,0.07337812659245281,0.006536186843142416,0.05513971806167372,False
Chinchilla,0.07521257975726413,0.0065314541174646724,0.05518062331687029,False
Chinchilla,0.07704703292207545,0.006526716146493954,0.05522158938513037,False
Chinchilla,0.07888148608688676,0.006521972922508314,0.05526261607940925,False
Chinchilla,0.0807159392516981,0.006517224437774116,0.055303703598774075,False
Chinchilla,0.08255039241650941,0.0065124706845468665,0.05534485211265924,False
Chinchilla,0.08438484558132073,0.006507711655070341,0.05538606189665079,False
Chinchilla,0.08621929874613204,0.0065029473415778635,0.05542733277983168,False
Chinchilla,0.08805375191094336,0.006498177736290761,0.05546866511006151,False
Chinchilla,0.08988820507575469,0.006493402831419385,0.05551005914194507,False
Chinchilla,0.09172265824056601,0.006488622619162835,0.05555151488843869,False
Chinchilla,0.09355711140537733,0.006483837091709502,0.05559303230398154,False
Chinchilla,0.09539156457018864,0.00647904624123549,0.055634611715670725,False
Chinchilla,0.09722601773499998,0.006474250059906856,0.055676253110825816,False
Chinchilla,0.09906047089981129,0.0064694485398774735,0.055717956841214895,False
Chinchilla,0.10089492406462261,0.006464641673290528,0.05575972300779993,False
Chinchilla,0.10272937722943393,0.006459829452277998,0.05580155162088594,False
Chinchilla,0.10456383039424524,0.006455011868960187,0.05584344296485928,False
