design,order,h,fkind,center,k_valid,k_budgets,Cmin,Cmax,S_pooled,sigma_fe,sigma_fe_pop,se_sigma_fe,lo_sigma_fe,hi_sigma_fe,sigma_median_budget,sigma_min_budget,sigma_max_budget,sigma_re,se_sigma_re,se_sigma_re_hksj,tau_S,tau_sigma,I2,Q,p_Q_boot,p_Q_chi2,drift_S_per_decade,se_drift_S,drift_sigma_per_decade,se_drift_sigma,lo_drift_sigma,hi_drift_sigma,p_drift,B,B_pooled,share_draws_nonconvex_budget,n_runs,run_seed_sd,meta_study,meta_conv,meta_loss,se_sigma_fe_within_only
Chinchilla,2,1.0,logcubic,path,9,9,5.999999999999989e+18,3.0000000000000094e+21,0.9853522562084444,0.6699376918890322,0.6703793122017534,0.0180902374702439,0.6366393831883023,0.7110829692458421,0.6708919630226393,0.5686779142456029,0.7495632172175711,0.6658383232305474,0.0196460661221264,0.0201217943674109,0.1270663125499343,0.0281668322405842,0.2355242449546167,10.464687659748057,0.186,0.2339126842112361,0.2523526112954498,0.1104542306050465,-0.0566300092733979,0.0247868412034245,-0.1072522769544373,-0.0105039069724745,0.022,999,999,0.0,137,0.0,Hoffmann et al. (2022),total,"MassiveText val., nats/token (digitized)",
Llama 3,2,1.0,logcubic,path,8,10,5.999999999999989e+18,9.999999999999984e+20,1.182963350615848,0.6283452806998342,0.6268969824269612,0.0110133447440052,0.6098767881618662,0.6521863483427467,0.6728711215065238,0.584783066289687,0.7494794632464797,0.7009281996684313,0.022692762769052,0.0212204818998917,0.2666270885088724,0.0579847913455452,0.8620308096508197,50.7359649084263,0.001,1.0354409572023729e-08,0.2681143138241437,0.0496668628931602,-0.052928150664028,0.0098046805660029,-0.0704143949844198,-0.0328175066913366,0.001,999,999,0.0,133,0.0,Grattafiori et al. (2024),"FLOP-implied, C/(6D)","val. loss, units unstated (digitized)",0.0064531902618211
"Marin, Comma",2,1.0,logquad,path,5,7,3.00000000000001e+18,2.9999999999999954e+20,0.8528003160081351,0.7010655420841228,0.702762730523367,0.0247010596928924,0.6572024894828699,0.7527516584389315,0.7187773420234623,0.6735494572774657,0.7601480226117541,0.6999688390497418,0.0265001565488675,0.0125002928186422,0.0,0.0,0.0,0.8900276219951866,0.906,0.9259871403947536,0.061695418773364,0.2281681617233054,-0.0151614299689148,0.056071515095987,-0.1262375582364429,0.0836494230310838,0.806,999,999,0.1751751751751751,85,0.0,Marin (2026),"FLOP-implied, C/(6D)","Paloma macro, nats/token",0.0251299754157773
"Marin, DCLM",2,1.0,logcubic,path,7,7,3.00000000000001e+18,2.9999999999999954e+20,0.8093579286540031,0.7119064394041894,0.7032652301320532,0.0260349535263456,0.672361136548295,0.7717772363565684,0.7283357344724425,0.6908453397296234,0.7673345003926215,0.7125881529740448,0.0271710711948708,0.0093744857308149,0.0,0.0,0.0,0.7142210309105608,0.996,0.9941790025271228,-0.0752166183145061,0.1887396470972419,0.0190602964407454,0.0478276437362955,-0.072267955777556,0.1160121634811991,0.689,999,999,0.053053053053053,85,0.0,Marin (2026),"FLOP-implied, C/(6D)","Paloma macro, nats/token",0.0243192095037272
"Marin, Nemotron-CC",2,1.0,logcubic,path,7,8,3.00000000000001e+18,2.9999999999999954e+20,0.8471616651562679,0.7024539647594016,0.7042903818570895,0.0224721421800927,0.6670188213187321,0.7582199491965311,0.7131049348011833,0.6696527456847174,0.7501920306557968,0.7049250317361109,0.0232614209334622,0.0100461691598743,0.0,0.0,0.0,1.1191279522035664,0.978,0.9806907516567562,0.0294796064558208,0.139045355243775,-0.0072732316846861,0.0343053793775382,-0.0760824265616167,0.0549225061926052,0.846,999,999,0.0,88,0.0,Marin (2026),"FLOP-implied, C/(6D)","Paloma macro, nats/token",0.0206537426707932
"Porian, RefinedWeb",2,1.0,logcubic,path,12,12,1.2500000000000032e+16,2.5600000000000045e+19,1.8061374039739104,0.5254671042384967,0.5158513885768267,0.0102274155210937,0.5055641698332772,0.5465479252450341,0.5265145490807409,0.4129596916152329,0.575443425398172,0.5175059198557798,0.0165154874768657,0.015386281876726,0.3061348104235317,0.0409933456441148,0.5947509736647859,27.143803649514545,0.001,0.0043708253565161,-0.2973111573218451,0.0625742528395947,0.0410461358364499,0.0086388661127103,0.0240986959873644,0.058478542552217,0.001,999,999,0.0,121,0.002,Porian et al. (2024),non-emb. + head,"val. loss, nats/token",0.0119251732293412
"Porian, OpenWebText2",2,1.0,logcubic,path,12,12,1.2500000000000032e+16,2.5600000000000045e+19,1.9814818807913137,0.5023255310162313,0.4878614573934849,0.0144002625486283,0.4724964677992297,0.5301081884433867,0.5066614837424919,0.4055750036344521,0.5780337117509523,0.5054103537850714,0.013634231607414,0.0137173054141785,0.1444498338192623,0.0184491057425596,0.1554292041786246,13.024366997324488,0.241,0.2917357784905306,-0.2683543323343783,0.0919260547528143,0.0338570503461844,0.0115978938622614,0.010746575006598,0.0565373564941241,0.001,999,999,0.001001001001001,116,0.01,Porian et al. (2024),non-emb. + head,"val. loss, nats/token",0.0129039360543856
