key,technology,gamma,se,window,E_source,loss_units,kappa_status,recommended,mult_halving,mult_lo,mult_hi,oom_halving,compute_per_1pct,years_5p06,years_4p2,L_star_1e+25,reducible_share_1e+25,total_loss_elasticity_1e+25,L_star_1e+26,reducible_share_1e+26,total_loss_elasticity_1e+26,L_star_1e+27,reducible_share_1e+27,total_loss_elasticity_1e+27,E
chin_q,"Chinchilla, joint fit, kappa free (reference)",0.1654426056376968,0.0058578884386106,6e18-1.3e22 (240 runs),joint fit (off-path runs),"nats/token, MassiveText",not rejected,True,65.99991355863654,50.28800040956772,90.20561174054559,1.8195433667383574,6.044392229834089,2.5834542233384528,2.919447153444343,1.8754666248986718,0.06309383538829362,0.010438408526315224,1.837981334979805,0.043985807173399304,0.007277126549844479,1.8123708225316468,0.03047642317669567,0.0050420988608696265,1.7571362423910764
chin_k1,"Chinchilla, joint fit, kappa = 1",0.1784826973339582,0.0057638191355706,6e18-1.3e22 (240 runs),joint fit (off-path runs),"nats/token, MassiveText",rejected (Section III),False,48.59661748415931,38.566202011281455,63.17912113822535,1.6866060417090476,5.602783994960052,2.3947049469736252,2.7061499590834175,1.9113656989100265,0.049256716804178625,0.008791471677024704,1.8796385005328387,0.033208726329849794,0.00592718305037683,1.858603185200935,0.022266767624669965,0.003974232746559549,1.8172180999695944
chin_a1,"Chinchilla, IsoFLOP frontier (E free)",0.1681561287100062,0.0074742036177153,6e18-3e21 (9 minima),frontier only,"nats/token, MassiveText",--,False,61.68527842917766,44.33250263891161,91.41595511382609,1.7901815293519439,5.946854317302647,2.5417652126847075,2.872336249607344,,,,,,,,,,
hoff,Hoffmann et al. (published A3),0.1548439032206377,,6e18-1.3e22,joint fit,"nats/token, MassiveText",kappa = 1,False,87.91983158077961,,,1.9440868474817659,6.458116717550681,2.7602856125746382,3.1192764716035284,,,,,,,,,,
llama_a1,"Llama 3, IsoFLOP frontier (Meta's A1)",0.1364270982479012,0.0059853504944698,6e18-1e22 (10 minima),frontier only,unstated validation loss,--,False,160.88902228161786,107.59995063423341,259.4864813992351,2.2065264124945374,7.329922081776624,3.132906905915235,3.5403592855851094,,,,,,,,,,
llama_a3,"Llama 3, joint fit on IsoFLOP runs, kappa = 1",0.1493623972428824,0.0052435230885176,6e18-1e22,joint fit (IsoFLOP runs only),unstated validation loss,kappa = 1,False,103.61761965371453,76.8570600282443,146.0018844020776,2.0154336112754527,6.695125536676222,2.861586357373449,3.2337519549982017,,,,,,,,,,
farseer_k1,"Farseer, joint fit, kappa = 1",0.147640575594245,0.0091404214540353,up to 3.5e21,joint fit,"nats/token, own validation set",rejected,False,109.38004724631683,65.81112039047699,209.1789119689081,2.0389381066305954,6.773205780152619,2.89495889957426,3.2714647863118747,0.4007377101258954,0.08001702964303757,0.011813760313839837,0.39149641040184713,0.05830076828226988,0.008607558986781031,0.38491843143637583,0.042207806157998067,0.006231584795737156,0.3686718688956686
farseer_q,"Farseer, joint fit, kappa free",0.0961573985289683,0.0025202696480274,up to 3.5e21,joint fit (E = 0.27),"nats/token, own validation set",not rejected,False,1350.8163106700981,949.7986669643133,1995.8509074107371,3.1305962959604523,10.399615789301338,4.444935125049828,5.0230242443786635,0.35751013116981356,0.2574509741067478,0.02475581591885365,0.33922957856886504,0.21743616589370432,0.020908096058451797,0.3245797709589712,0.18211538919142717,0.017511742056738232,0.2654687996471139
