experiment,estimator,tilt_range,tilt_range_lo,tilt_range_hi,wedge_ratio
gadre,nls,0.0185554421227642,0.0123351669192633,0.0913027169070688,1.0187286640835629
gadre,huber,0.0417269934283739,0.0157238786977324,0.2076050743318457,1.0426098005658275
datadecide,nls,0.2219734134526154,0.1329223673126572,0.3225172547311638,1.248538183103452
datadecide,huber,0.2561156420109403,0.1765048908283519,0.4714720554587297,1.2919021174604863
datadecide_avg11,nls,0.298506738947113,0.2491779564770528,0.4101745487488245,1.3478446202197938
datadecide_avg11,huber,0.4249556515949271,0.3318935463962165,0.5861370099924643,1.5295225862720143
datadecide_M20,nls,0.5353429722526291,0.3385005901168582,0.7192851750233848,1.7080339500591262
datadecide_M20,huber,0.586607784878475,0.4036812033632,0.7093481110099169,1.7978792662483774
