width,layers,N_P,N_T,N_F,NF_over_NP,NF_over_NT,grid
128,2,393856.0,1442432.0,1507968.0,3.8287292817679557,1.0454343774957848,main
192,3,1328448.0,2901312.0,3048768.0,2.294984824396589,1.0508239031169346,main
256,4,3148032.0,5245184.0,5507328.0,1.7494510856306416,1.049978036995461,main
320,5,6147520.0,8768960.0,9178560.0,1.493050856280256,1.046710214210123,main
384,6,10621824.0,13767552.0,14357376.0,1.3516864900039767,1.0428416032131202,main
448,7,16865856.0,20535872.0,21338688.0,1.2652004143756475,1.039093348458736,main
512,8,25174528.0,29368832.0,30417408.0,1.208261302853424,1.0357037011209707,main
640,10,49165440.0,54408320.0,56046720.0,1.1399617292146678,1.030113041534824,main
128,4,787584.0,1836160.0,1967232.0,2.4978059483178936,1.071383757406762,high-M
