sample,sigma0,LR_obs,B,crit95_boot,crit95_chi2,p_boot,p_chi2,p_floor
full design (n=240),0.69,1.8950102066778445,299,11.360939497832927,3.8415,0.47333333333333333,0.1686379006975872,0.0033333333333333335
full design (n=240),0.71,1.2361457340262745,299,9.03751089898787,3.8415,0.5,0.266215159887894,0.0033333333333333335
full design (n=240),0.74,28.95258550316836,299,7.69593848950183,3.8415,0.0033333333333333335,7.417174629247401e-08,0.0033333333333333335
on-path band (n=41),0.3,0.10287212153012759,299,6.494792934761841,3.8415,0.81,0.748409825567322,0.0033333333333333335
on-path band (n=41),0.74,1.1563744295711755,299,5.204684042589467,3.8415,0.38666666666666666,0.28221872283663685,0.0033333333333333335
