conv,M_bin,lnw_local,w_local,se,lo,hi
ne,M<16,-0.6893308484246123,0.5019118118017103,0.0037285540272668917,-0.6955110157272635,-0.6817562704033049
ne,16-64,0.058694717209786175,1.0604514537406902,0.0022377037535599247,0.05452605120227957,0.0634274599405904
ne,64-256,0.6751658858027132,1.964358808181343,0.0031072819484150105,0.6691666859803627,0.681241790768447
ne,"256-1,024",1.3679457112677416,3.9272746469871285,0.006475025720855835,1.3556525118279616,1.3801452328373163
ne,">=1,024",2.0119530459010617,7.477907791938927,0.038996764773717135,1.9348824447699333,2.082983392865868
emb,M<16,-0.49889297124973586,0.6072024783835336,0.003785184461388063,-0.5051917537410374,-0.49139491245315553
emb,16-64,0.34291055271259446,1.4090427212402827,0.001026510833790139,0.3410501879358388,0.3450499894018971
emb,64-256,1.0434371992657767,2.838958328824892,0.0024388007306538825,1.038772403158814,1.0483234725661874
emb,"256-1,024",1.8984084358033022,6.675261875512755,0.008735108248793163,1.8823081622811437,1.9152054093071138
emb,">=1,024",2.7421267335156974,15.51995683522492,0.053914719376877154,2.639939039029498,2.8369902788102634
