sample,inference,E_fixed,bN,bD,bNN,bDD,bND,se_bND,t_bND,tau,se_tau,z_tau0,p_tau0,tau_model,z_tau_model,p_tau_model,ratio_implied_alpha_over_beta,alpha_over_beta,r2,n,rank1_corr
n240,"delta method, HC1",1.8172181024581464,-0.17195944573876343,-0.1858130369801103,0.039330306677934954,0.034368001756949665,-0.043099588398119365,0.002307139189027946,-18.68096584856602,-0.0005058704710786677,0.00026954038910180034,-1.8767891252379616,0.06054700151868141,-2.673363872537698e-06,-1.8668708941281593,0.061919619301420765,1.2540615163755937,0.9459057195342658,0.9962865881124199,240,-1.172282590362238
n240,"delta method, cluster(budget)",1.8172181024581464,-0.17195944573876343,-0.1858130369801103,0.039330306677934954,0.034368001756949665,-0.043099588398119365,0.003346787744783086,-12.877897161330965,-0.0005058704710786677,0.0002984610016171729,-1.6949298847677687,0.09008872253242985,-2.673363872537698e-06,-1.6859727216608555,0.0918010535532545,1.2540615163755937,0.9459057195342658,0.9962865881124199,240,-1.172282590362238
n240,"bootstrap (pairs), E re-estimated",1.8172181024581464,-0.17195944573876343,-0.1858130369801103,0.039330306677934954,0.034368001756949665,-0.043099588398119365,0.0035715738654919084,-12.067393821682396,-0.0005058704710786677,0.0002820267735597725,-1.793696622109723,0.072861604765898,-2.673363872537698e-06,-1.7823633572876945,0.0746899969160337,1.2540615163755937,0.9459057195342658,0.9962865881124199,240,-1.172282590362238
n240,"bootstrap (cluster), E re-estimated",1.8172181024581464,-0.17195944573876343,-0.1858130369801103,0.039330306677934954,0.034368001756949665,-0.043099588398119365,0.006071514623832927,-7.098655124528175,-0.0005058704710786677,0.00045555819615878985,-1.1104409389274623,0.2668090652014503,-2.673363872537698e-06,-1.100175820254611,0.27125552365006933,1.2540615163755937,0.9459057195342658,0.9962865881124199,240,-1.172282590362238
n240,"sensitivity: E = Hoffmann 1.6934, cluster",1.6934,-0.14784312883754439,-0.15911380460788643,0.03730814566986955,0.03626984697679071,-0.033289772715143384,0.0023441301312077064,-14.201333053976976,0.0002449517670080807,0.0001430930147244296,1.7118359514600487,0.08692690464689634,,,,0.9178360398500083,0.9459057195342658,0.9967374312353403,240,-0.9049740717536648
n240,"sensitivity: E = Gaussian-log 1.8646, cluster",1.8645500978702578,-0.18361338330545057,-0.19889264768646953,0.039856123789067444,0.03244718403344719,-0.04847707086751628,0.004075778626663461,-11.893941086589601,-0.0010568074164504712,0.00042785518751058485,-2.4700119276322354,0.013510854714793238,,,,1.494030138872611,0.9459057195342658,0.995884958526052,240,-1.3480324136664887
n245,"delta method, HC1",1.8913384984442463,-0.1848344794928152,-0.21356951361775445,0.045964818281073724,0.04616921086149532,-0.06178551234807486,0.003892998110827937,-15.870933041612684,-0.0016952901486849033,0.0005508769545343402,-3.077438863126781,0.002087876619676958,1.0668936549811147e-05,-3.096806049323251,0.0019561781605706018,1.3382405979046825,0.7710262392999953,0.9920870652528464,245,-1.3412126867728724
n245,"delta method, cluster(budget)",1.8913384984442463,-0.1848344794928152,-0.21356951361775445,0.045964818281073724,0.04616921086149532,-0.06178551234807486,0.005053147061992534,-12.227135207046967,-0.0016952901486849033,0.0006422379465538357,-2.639660514894218,0.008298911286627617,1.0668936549811147e-05,-2.656272639118673,0.007900970842139674,1.3382405979046825,0.7710262392999953,0.9920870652528464,245,-1.3412126867728724
n245,"bootstrap (pairs), E re-estimated",1.8913384984442463,-0.1848344794928152,-0.21356951361775445,0.045964818281073724,0.04616921086149532,-0.06178551234807486,0.007906628637726483,-7.814394121568484,-0.0016952901486849033,0.0009968608885025155,-1.7006286115122524,0.08901274801518344,1.0668936549811147e-05,-1.7013269575028618,0.08888160864625382,1.3382405979046825,0.7710262392999953,0.9920870652528464,245,-1.3412126867728724
n245,"bootstrap (cluster), E re-estimated",1.8913384984442463,-0.1848344794928152,-0.21356951361775445,0.045964818281073724,0.04616921086149532,-0.06178551234807486,0.01643366509961556,-3.759691582708488,-0.0016952901486849033,0.0015713786285427532,-1.0788552917109873,0.28065224190322957,1.0668936549811147e-05,-1.063761716674163,0.2874366581434059,1.3382405979046825,0.7710262392999953,0.9920870652528464,245,-1.3412126867728724
n245,"sensitivity: E = Hoffmann 1.6934, cluster",1.6934,-0.14305809302429626,-0.16508926710238564,0.043895669304418024,0.0522285496407385,-0.04365748106393683,0.003937409679217751,-11.087868578768342,0.00038663149043123503,0.00020917428038904224,1.848370123287342,0.06454881772855528,,,,0.8358930386587607,0.7710262392999953,0.9910742624633981,245,-0.9117879611792573
n245,"sensitivity: E = Gaussian-log 1.9918, cluster",1.9918303268765427,-0.21856368631634288,-0.2543546907878733,0.04417555474987515,0.032414169449326,-0.08179894533348164,0.008595674516531033,-9.516291615761801,-0.005259153540489487,0.0016847162598303234,-3.121685037348167,0.001798192051582414,,,,2.5235551835243,0.7710262392999953,0.9897130135458116,245,-2.1616692718767543
