gC,sigma,scenario,spec,stock,year,C,m_D,w_sigma,D_w,U,r_obs,r_opt,life_penalty,train_penalty,N_ratio,ratio_proc,ratio_proc_vs_w,w_hat_proc,shadow_usd_per_Mtok,epochs,s_true_c,s_hat_proc,extra_life_usd_bn
hat,0.6,catchup,D15,100T,2029.0,3.741384696598062e+28,3.5928170383111064,5.502754473143148,1268440778726683.8,127628156250000.03,9.938565407479851,2.766231984958445,0.04941389025942633,-0.016540572748599325,1.064061471734591,0.8530807465963254,0.9102915282362922,5.009110778866569,105.89950281983232,9.185724794082846,0.8296941744240371,0.8003637683121326,10.330121754638228
hat,0.6,catchup,D15,100T,2030.0,1.893820330496557e+29,3.830301766698648,5.992995998614854,3024688244177316.0,134009564062500.05,22.5706893783092,5.892666101282919,0.12743209505542263,-0.02041750898469763,1.1570434955214226,0.7054538776297897,0.8119289090158932,4.865886702891972,1373.1681748336812,19.108920460395428,0.8550204884115956,0.7944876111879744,146.86066090758894
hat,0.6,catchup,D15,100T,2031.0,9.586171257564732e+29,3.830301766698648,5.992995998614854,6765394905179821.0,140710042265625.05,48.080398500687416,12.552639825589537,0.3373142418237902,0.00246532130725452,1.4043779688144444,0.4774287774380911,0.6369021351201322,3.8169519472842097,18823.927089931516,34.320484372352624,0.8749188399456311,0.7380108490201174,1967.7401271875817
hat,0.7,baseline,D15,100T,2026.7282683093772,9.398037560015233e+26,1.2508928117367921,1.2115225766119495,70929895287991.31,114237868999435.28,0.6208965197726328,0.49636268907049996,0.0,0.0,1.0,1.0,1.0,1.2115225766119495,0.0,0.6208965197726328,,,
hat,0.7,baseline,D15,100T,2027.0,1.4602242200599083e+27,1.2508928117367921,1.2115225766119495,88273454684138.53,115762500000000.02,0.762539291084233,0.609596029275675,0.0,0.0,1.0,1.0,1.0,1.2115225766119495,0.0,0.762539291084233,,,
hat,0.7,baseline,D15,100T,2027.5,3.285282740472747e+27,1.2508928117367921,1.2115225766119495,132018985276366.69,118621263804439.83,1.1129453610780482,0.8897208063197583,0.00028874744163887023,-0.0008606020543241444,1.0057224439972166,0.9936219844896517,0.9947649870870865,1.2051802402790996,0.18423219016755085,1.105660477849524,0.175540760393196,0.17024859304993528,0.0011669877615865254
hat,0.7,baseline,D15,100T,2028.0,7.3913872517505e+27,1.2508928117367921,1.2115225766119495,197443416435509.75,121550625000000.02,1.62437187332858,1.2985699958362011,0.006122089326444868,0.0014235184431676817,1.028335183354214,0.9724321263829963,0.976994672789026,1.1836511033135093,1.940762824066534,1.5818618510580589,0.17844699028221012,0.1551564500716444,0.05566741095119221
hat,0.7,baseline,D15,100T,2028.5,1.6629498835000692e+28,1.2508928117367921,1.2115225766119495,295290125220382.2,124552326994661.81,2.3708117892734193,1.8952957176096368,0.020547220327269855,0.012729861787475372,1.0575047813829672,0.9511894701028282,0.9585317924808282,1.1612829069908435,8.460084656005428,2.270431243379396,0.18091494813474576,0.13888339010238712,0.42034670109729544
hat,0.7,baseline,D15,100T,2029.0,3.741384696598062e+28,1.2508928117367921,1.2115225766119495,441626566369460.3,127628156250000.03,3.4602597055809166,2.766231984958445,0.046360647192413396,0.03536605043237162,1.0983390077823192,0.9270131263711164,0.9368571187557035,1.135023550432157,31.44780365442358,3.261866690933042,0.18326529346623793,0.11896101220168272,2.1338174385307567
hat,0.7,baseline,D15,100T,2030.0,1.893820330496557e+29,1.2508928117367921,1.2115225766119495,987797049120557.8,134009564062500.05,7.371093668059871,5.892666101282919,0.1577449879993893,0.1376010984014684,1.2529777991752682,0.8565483617893063,0.8717155549815503,1.0561030752439633,400.60423146843755,6.692348626387801,0.1889538229102867,0.05312272689955315,36.751049718715265
hat,0.7,baseline,D15,100T,2031.0,9.586171257564732e+29,1.2508928117367921,1.2115225766119495,2209430058233835.0,140710042265625.05,15.702006926150933,12.552639825589537,0.4691890825150662,0.42639066847646667,1.6715240517846368,0.7291699786736479,0.7510484999942647,0.9099122138735913,5811.50594498756,13.399266455006565,0.19863700304725546,-0.09900711821736687,553.3099574813465
hat,0.7,baseline,D15,22T,2026.7282683093772,9.398037560015233e+26,1.2508928117367921,1.2115225766119495,70929895287991.31,25132331179875.76,2.822256908057422,2.2561940412295454,0.03078520500963866,0.021542172090979417,1.0744828238014918,0.9405918674820091,0.949102452587237,1.14985904882721,3.049914629524023,2.6832019909407014,0.1819937683306848,0.13032819020736292,0.03559218342770558
hat,0.7,baseline,D15,22T,2027.0,1.4602242200599083e+27,1.2508928117367921,1.2115225766119495,88273454684138.53,25467750000000.004,3.4660876867465134,2.7708910421621593,0.046507644070638676,0.03549794910332582,1.098557383364003,0.9268942902827823,0.9367492817019291,1.134892903406914,6.164389702860355,3.267127184606124,0.18327598357494887,0.11885958842633483,0.08354477470121767
hat,0.7,baseline,D15,22T,2027.5,3.285282740472747e+27,1.2508928117367921,1.2115225766119495,132018985276366.69,26096678036976.76,5.058842550354765,4.044185483271629,0.08909020417759606,0.07425363359679649,1.1592319867638496,0.8965550855740769,0.9089374526340399,1.1011982445942938,21.965287634876784,4.688000377460049,0.18583680098001984,0.0918982981412012,0.36006268094499244
hat,0.7,baseline,D15,22T,2028.0,7.3913872517505e+27,1.2508928117367921,1.2115225766119495,197443416435509.75,26741137500000.004,7.3835085151299085,5.90259089016455,0.15813342461264912,0.13796060065192273,1.2535030266846532,0.8563413304804159,0.8715218410360357,1.0558683864255678,78.52778715638092,6.7029289965245225,0.18896962775882603,0.05291226363420075,1.4378879274117995
hat,0.7,baseline,D15,22T,2028.5,1.6629498835000692e+28,1.2508928117367921,1.2115225766119495,295290125220382.2,27401511938825.598,10.776417223970089,8.614980534589257,0.27228445727252026,0.24376691417939167,1.4071047849647538,0.8019370696680136,0.8203241763529695,0.9938412597922249,289.9784161308789,9.525481925571492,0.19309340222434643,-0.006196905337843021,5.570285009436071
hat,0.7,baseline,D15,22T,2029.0,3.741384696598062e+28,1.2508928117367921,1.2115225766119495,441626566369460.3,28078194375000.008,15.728453207185984,12.573781749811111,0.47035830956426006,0.42747479063128213,1.6730956230929732,0.7287967023942908,0.7506908664037275,0.9094789327045008,1139.8351165610163,13.419418555035024,0.1986656576782031,-0.09953069174050949,21.648937710910733
hat,0.7,baseline,D15,22T,2030.0,1.893820330496557e+29,1.2508928117367921,1.2115225766119495,987797049120557.8,29482104093750.008,33.50497121845396,26.78484591492236,1.666147530361,1.5349955730450802,3.2861851614103146,0.5132197459472408,0.53977197149346,0.6539459296866684,26299.986303337642,25.846064522223244,0.21519544254500533,-0.5291784146116482,388.17506345906105
hat,0.7,baseline,D15,22T,2031.0,9.586171257564732e+29,1.2508928117367921,1.2115225766119495,2209430058233835.0,30956209298437.51,71.37275875523152,57.05745375267971,17.959404916517805,16.72668293766883,24.787255534612704,0.207235544960437,0.2216468035117264,0.26853010648832926,3897442.1703724363,51.04245054778247,0.22825955096605233,-2.723977222060431,21179.345259871134
hat,0.7,baseline,D15,490T,2026.7282683093772,9.398037560015233e+26,1.2508928117367921,1.2115225766119495,70929895287991.31,559765558097232.94,0.1267135754638026,0.10129850797357141,0.0,0.0,1.0,1.0,1.0,1.2115225766119495,0.0,0.1267135754638026,,,
hat,0.7,baseline,D15,490T,2027.0,1.4602242200599083e+27,1.2508928117367921,1.2115225766119495,88273454684138.53,567236250000000.0,0.15562026348657818,0.12440735291340309,0.0,0.0,1.0,1.0,1.0,1.2115225766119495,0.0,0.15562026348657818,,,
