optimum,bjorck_regime,bjorck_exponent,gap,reduction,share,share_se,share_q05,share_q95,check,brackets_steplaw_range
smoothed,N >= 760M (published headline),0.32,0.627,0.1640361699077369,0.26162068565827257,0.024252181713192707,0.2246267858236859,0.3015862213266443,0.26162068565827257,True
smoothed,760M,0.3155,0.6225,0.1640361699077369,0.26351191953050107,0.024427498689432656,0.2262505939139776,0.3037663626856321,0.263511919530501,True
smoothed,1.3B,0.3171,0.6241,0.1640361699077369,0.26283635620531465,0.024364874113398216,0.22567055714060413,0.30298759937799385,0.2628363562053147,True
smoothed,2.7B,0.4184,0.7254,0.1640361699077369,0.22613202358386666,0.020962390314546216,0.1941563202528964,0.26067626243700853,0.22613202358386666,False
smoothed,350M,0.3799,0.6869000000000001,0.1640361699077369,0.2388064782468145,0.02213730955622627,0.20503857142444468,0.27528688422158387,0.2388064782468145,True
smoothed,125M,0.6531,0.9601,0.1640361699077369,0.1708532131108602,0.015838056383888997,0.14669408885683893,0.1969529848680408,0.1708532131108602,True
smoothed,50M,0.7029,1.0099,0.1640361699077369,0.16242813140680948,0.01505705310839868,0.13946033737147345,0.18724087609843149,0.16242813140680948,False
grid,N >= 760M (published headline),0.32,0.627,0.27257573448402284,0.4347300390494782,0.134933989403812,0.19015959209209737,0.6156142017283464,0.4347300390494782,True
grid,760M,0.3155,0.6225,0.27257573448402284,0.43787266583778767,0.13590941583323712,0.1915342397457752,0.6200644248733705,0.43787266583778767,True
grid,1.3B,0.3171,0.6241,0.27257573448402284,0.43675009531168535,0.13556098598972938,0.19104320500199495,0.6184747708438922,0.43675009531168535,True
grid,2.7B,0.4184,0.7254,0.27257573448402284,0.37575921489388314,0.11663028860792682,0.16436457711847952,0.5321065680778511,0.37575921489388314,False
grid,350M,0.3799,0.6869000000000001,0.27257573448402284,0.396820111346663,0.12316728978918345,0.17357703339895916,0.5619305641049253,0.396820111346663,True
grid,125M,0.6531,0.9601,0.27257573448402284,0.2839034834746618,0.08811958270616614,0.12418504764268831,0.40203114725932004,0.2839034834746619,True
grid,50M,0.7029,1.0099,0.27257573448402284,0.2699036879730892,0.08377424631764542,0.11806125778962773,0.38220626248507095,0.2699036879730892,False
