param,est_all,est_trunc,diff,se_diff,z,share_boot_diff_pos,lo_diff,hi_diff,B
alpha,0.3493128937894458,0.34731050246601725,0.002002391323428554,0.0077205926889029304,0.25935720275810675,0.4825,-0.016771379891526,0.015891485017682203,400
beta,0.4530492945435715,0.3671724309236887,0.08587686361988284,0.05228384860398611,1.6425122846319236,0.9875,0.0059166594885198265,0.2168455345854046,400
a,0.5646443727424693,0.5138995121712991,0.050744860571170114,0.028713821029255356,1.7672625499569778,0.9875,0.00325937495789346,0.11433454126696335,400
Mstar_1e+21,15.503068934170866,21.384525494106445,-5.881456559935579,3.2519778595885143,-1.8085782910833788,0.0,-13.423197152581041,-0.5138582345117684,400
E,1.8913384984442463,1.8172181024581464,0.07412039598609987,0.03640676942566974,2.035895992843544,0.9875,0.006577319863134708,0.14497782863991635,400
