run,variant,k,members,mean_re,lo_hksj,hi_hksj,se_hksj,tau,Q,p_Q,I2,mean_fixed,pi_lo,pi_hi,note
old,PRIMARY: one estimate per study; Marin = mean of 3 corpora (rho = 1); Farseer first-derivative path,4,Hoffmann 0.673 (0.027); Meta 0.660 (0.023); Marin 0.706 (0.026); Farseer 0.708 (0.005),0.69289,0.652846,0.732934,0.0125828,0.0173337,5.69327,0.127525,0.473062,0.704796,0.60073,0.785049,"FLOP-implied N (Llama 3, Marin), total N (Chinchilla), non-embedding N (Farseer)"
old,Marin corpora independent (rho = 0),4,Hoffmann 0.673 (0.027); Meta 0.660 (0.023); Marin 0.706 (0.015); Farseer 0.708 (0.005),0.696272,0.662049,0.730495,0.0107536,0.013914,5.69629,0.127358,0.473342,0.704858,0.621894,0.77065,
old,Marin corpora rho = 0.5,4,Hoffmann 0.673 (0.027); Meta 0.660 (0.023); Marin 0.706 (0.021); Farseer 0.708 (0.005),0.694051,0.656561,0.731542,0.0117804,0.0161986,5.69407,0.127481,0.473136,0.704812,0.607872,0.78023,
old,Marin by inverse variance (ra1's 'one per study'); Farseer RE path 0.703,4,Hoffmann 0.673 (0.027); Meta 0.660 (0.023); Marin 0.706 (0.015); Farseer 0.703 (0.013),0.692756,0.659508,0.726004,0.0104473,0.0101137,3.94348,0.267633,0.23925,0.694691,0.630812,0.754699,
old,"Farseer Hessian-based path, RE over levels (ra1 Table 1 input)",4,Hoffmann 0.673 (0.027); Meta 0.660 (0.023); Marin 0.706 (0.026); Farseer 0.703 (0.013),0.690162,0.655347,0.724976,0.0109395,0.00839037,3.46833,0.324892,0.135031,0.691467,0.630843,0.749481,
old,Farseer Hessian-based path at the extended-grid CV bandwidth,4,Hoffmann 0.673 (0.027); Meta 0.660 (0.023); Marin 0.706 (0.026); Farseer 0.664 (0.005),0.665273,0.650672,0.679874,0.00458795,0,2.74418,0.432772,0,0.665273,0.645532,0.685013,bandwidth sensitivity (R4 R2-M4)
old,IsoFLOP studies only (k = 3),3,Hoffmann 0.673 (0.027); Meta 0.660 (0.023); Marin 0.706 (0.026),0.678061,0.616012,0.74011,0.0144211,0,1.86932,0.39272,0,0.678061,0.494823,0.861299,
old,Six designs (ra1 Panel C; Marin x3 separate),6,Hoffmann 0.673 (0.027); Meta 0.660 (0.023); Marin 0 0.700 (0.027); Marin 1 0.713 (0.027); Marin 2 0.705 (0.023); Farseer 0.703 (0.013),0.694691,0.672624,0.716759,0.00858459,0,4.05561,0.541437,0,0.694691,0.670856,0.718526,"as in the paper's Table 1, Panel C (not one per study)"
old,Marin in configuration N (0.64-0.66),4,Hoffmann 0.673 (0.027); Meta 0.660 (0.023); Marin cfg 0.652 (0.021); Farseer 0.708 (0.005),0.677044,0.621161,0.732927,0.0175597,0.0294259,11.9759,0.00746627,0.749496,0.702191,0.529605,0.824483,FLOP accounting (R4)
old,"Marin config N + Farseer at the CV bandwidth (R4's 'both', one per study)",4,Hoffmann 0.673 (0.027); Meta 0.660 (0.023); Marin cfg 0.652 (0.021); Farseer 0.664 (0.005),0.663336,0.648859,0.677813,0.00454904,0,0.498566,0.919206,0,0.663336,0.643763,0.682909,
old,Farseer incl. embeddings (total-N convention),4,Hoffmann 0.673 (0.027); Meta 0.660 (0.023); Marin 0.706 (0.026); Farseer emb 0.670 (0.005),0.67086,0.656259,0.685461,0.00458795,0,2.1467,0.542522,0,0.67086,0.65112,0.6906,convention
old,"Lowest-convention set: Marin config N, Farseer incl. embeddings",4,Hoffmann 0.673 (0.027); Meta 0.660 (0.023); Marin cfg 0.652 (0.021); Farseer emb 0.670 (0.005),0.668828,0.654351,0.683305,0.00454904,0,0.95453,0.812252,0,0.668828,0.649255,0.688401,"convention range, lower end"
old,FLOP-accounting elasticity eta = -0.1 for Chinchilla and Meta (unobserved),4,Hoffmann 0.626 (0.027); Meta 0.611 (0.023); Marin 0.706 (0.026); Farseer 0.708 (0.005),0.66479,0.578137,0.751443,0.0272284,0.0500908,25.4913,1.2187e-05,0.882313,0.701445,0.419483,0.910096,sigma*_eff = 2/(2 + S/(1+eta)^2)
old,FLOP-accounting elasticity eta = +0.1 for Chinchilla and Meta (unobserved),4,Hoffmann 0.714 (0.027); Meta 0.701 (0.023); Marin 0.706 (0.026); Farseer 0.708 (0.005),0.707635,0.693034,0.722236,0.00458795,0,0.146695,0.985698,0,0.707635,0.687895,0.727376,sigma*_eff = 2/(2 + S/(1+eta)^2)
old,Design-level fixed-effect means for Chinchilla and Llama 3 (R2 Major 1.1),4,Hoffmann FE 0.684 (0.018); Meta FE 0.628 (0.011); Marin 0.706 (0.026); Farseer 0.708 (0.005),0.68052,0.606017,0.755023,0.0234106,0.0439924,44.1537,1.39987e-09,0.932056,0.694658,0.466104,0.894937,fixed-effect (inverse-variance) pooling of budgets within Chinchilla and Llama 3 (ra1 sigma_fe)
old,Local first-derivative estimator 1/(1+b1) for Marin and Llama 3 as for Farseer (review),4,Hoffmann 0.673 (0.027); Meta local-FD 0.629 (0.023); Marin local-FD 0.669 (0.026); Farseer 0.708 (0.005),0.673241,0.607371,0.739112,0.020698,0.0357822,14.4772,0.00232263,0.792777,0.702384,0.495381,0.851101,estimator sensitivity: local-wedge slope at the path (extrap stage) on Marin and Llama 3
