test,coef,se,p,n,share_in_tier,share_in_tier_lognormal
memory tier,0.10982760236124434,0.05803315260634578,0.0584247123501906,238.0,0.2605042016806723,0.08687641289559767
distillation: dist,0.018139601402403116,0.23053072492202362,0.9372821716140675,,,
distillation: syn,0.061697281053388744,0.176654750410103,0.7268990421038981,,,
distillation: lnC,-0.08459581332512175,0.053138039508246394,0.1113844744053748,,,
