estimator,est,se,F,ar_lo,ar_hi,ar_type,n_obs,n_clusters,fs_coef,fs_se
IV: frontier FLOP/$,9.738900181429926,243.326823259177,0.0014091397997466528,-1.0,2.5,unbounded,90,21,0.03320886140219104,0.8846611284232286
IV: frontier FLOP/$ + developer FE,0.4571558824316071,0.2225391164125605,0.24360108758817428,-1.0,2.5,unbounded,90,21,0.7188441718764125,1.4564485400330252
IV: frontier FLOP/$ + developer FE + trend,0.5278794256096262,0.29124033478840367,3.760426263802514,-0.13,2.5,unbounded,90,21,-1.0662764109298166,0.5498589049809839
IV: own-hardware FLOP/$,0.1684814717455403,0.17425152306334218,19.233828066047007,-0.38,0.4950000000000001,interval,19,7,10.583216654902671,2.413152799955151
IV: China x post-export-control + dev FE + year FE,0.9027219973060028,0.2533037861526706,10.562077403289878,0.4850000000000001,2.225,interval,90,21,-1.7076829111792797,0.5254514072862703
