sample,n,families,sigma_u,var_c_pooled,var_c_within,var_c_within_table8,reliability_pooled,reliability_within,reliability_within_table8_formula,sigma_label
main (128),128,38,0.29215784945577616,7.2847907560811604,3.1223252085460294,2.212671407631044,0.9882829566618134,0.9726626141424993,0.961423911067749,hardware-time sd (upper bound on sigma_u)
main (128),128,38,0.4089304854200832,7.2847907560811604,3.1223252085460294,2.212671407631044,0.977044757014289,0.9464424328868113,0.9244243219625004,"hardware-time sd, upper 95% bootstrap bound"
main (128),128,38,0.19450268999275758,7.2847907560811604,3.1223252085460294,2.212671407631044,0.9948068108362841,0.9878836143298361,0.9829024335543242,m4 'independent' set sd (as in Section VI.A)
main (128),128,38,0.6678494156037141,7.2847907560811604,3.1223252085460294,2.212671407631044,0.9387734175412117,0.8571504208781886,0.798423371683666,"Epoch 'Confident' class, ln3/1.645 (as in Table 8)"
legacy support (57),57,30,0.29215784945577616,4.243838393667267,1.9024661065002535,0.9172604442054794,0.979887026535696,0.9551339134468766,0.9069444130750034,hardware-time sd (upper bound on sigma_u)
legacy support (57),57,30,0.4089304854200832,4.243838393667267,1.9024661065002535,0.9172604442054794,0.960596015589227,0.9121013818146134,0.8176917548747537,"hardware-time sd, upper 95% bootstrap bound"
legacy support (57),57,30,0.19450268999275758,4.243838393667267,1.9024661065002535,0.9172604442054794,0.9910855944771905,0.980114601629349,0.9587562107867981,m4 'independent' set sd (as in Section VI.A)
legacy support (57),57,30,0.6678494156037141,4.243838393667267,1.9024661065002535,0.9172604442054794,0.8949010776216677,0.7655554333408237,0.5137446024846712,"Epoch 'Confident' class, ln3/1.645 (as in Table 8)"
strict support (20),20,9,0.29215784945577616,3.20475299164883,2.7616868357128874,1.59887132593904,0.9733657448105826,0.9690927269903177,0.9466147102560032,hardware-time sd (upper bound on sigma_u)
strict support (20),20,9,0.4089304854200832,3.20475299164883,2.7616868357128874,1.59887132593904,0.9478199591851012,0.9394485501602,0.8954111320948909,"hardware-time sd, upper 95% bootstrap bound"
strict support (20),20,9,0.19450268999275758,3.20475299164883,2.7616868357128874,1.59887132593904,0.988195253577108,0.9863013807629447,0.9763387485905409,m4 'independent' set sd (as in Section VI.A)
strict support (20),20,9,0.6678494156037141,3.20475299164883,2.7616868357128874,1.59887132593904,0.8608245805263307,0.8384962276843064,0.7210389387274383,"Epoch 'Confident' class, ln3/1.645 (as in Table 8)"
