year,n_units,share_R_CO,share_R_CO_cw,share_R_INF,share_R_INF_cw,share_R_DEV,share_R_DEV_cw,share_R_NONE,share_R_NONE_cw,share_deployment_rationale,share_deployment_rationale_cw,n_dep,median_s_dep,s_agg_dep,n_nodep,median_s_nodep,s_agg_nodep,n_co,median_s_co,s_agg_co,n_none,median_s_none,s_agg_none
2023,16,0.125,0.45072930103597775,0.375,0.22144286631129503,0.3125,0.12934154512981613,0.5,0.3278278326527271,0.375,0.22144286631129503,6,0.4775398220094298,0.3533506000588705,10,0.5039878165920524,0.20251120426000294,2,-0.0004491750089766766,0.002521856525183155,8,0.5481193983313184,0.374842107167035
2024,27,0.037037037037037035,0.649182384291087,0.5555555555555556,0.9121541391550066,0.6296296296296297,0.31367021927813193,0.3333333333333333,0.037147396430781,0.6666666666666666,0.962852603569219,18,0.8279827310578913,0.526296611827287,9,0.7452388072139551,0.7227931584199896,1,0.2937479048727276,0.2937479048727276,9,0.7452388072139551,0.7227931584199896
2025,6,0.0,0.0,0.16666666666666666,0.012328080303949846,0.3333333333333333,0.45790248216175966,0.5,0.5297694375342905,0.5,0.4702305624657095,3,0.887811120034247,0.8753397441054315,3,0.6490643671488323,0.6714003643962532,0,,,3,0.6490643671488323,0.6714003643962532
all,49,0.061224489795918366,0.5161336884736929,0.4489795918367347,0.6887444000546588,0.4897959183673469,0.32180161797872586,0.40816326530612246,0.15125134000412893,0.5510204081632653,0.8064644703331063,27,0.7736156415553738,0.6301754027573159,22,0.6750009934472421,0.5913367389541793,3,0.03892306243955293,0.27644111522658965,20,0.6884372436309748,0.6492241191456272
