case,release_quantile,slope,z,r,rstar,forward,forward_pred,reverse_slope,delta,net_bias_sign,pred_sign
"normal, exogenous c",0.0,0.17799777398075697,,,,,,,,,
"normal, exogenous c",0.5,0.08603213446332851,,,,,,,,,
"normal, exogenous c",0.9,0.04418272605487187,,,,,,,,,
"bimodal omega (not log-concave), exogenous c",0.286939,-0.02315167346358194,,,,,,,,,
,,,-3.0,0.9866667884582592,0.4990796520865799,0.24570706837923892,0.24568391232572767,2.4872366775797956,2.4860839006455073,1.0,1.0
,,,0.0,0.3633802276324186,0.4990796520865799,0.1471941681308312,0.14732876480702276,2.487881246966197,2.4860839006455073,-1.0,-1.0
,,,1.0,0.1990976655703487,0.4990796520865799,0.09641235641012595,0.09674149694529312,2.4849704409742706,2.4860839006455073,-1.0,-1.0
,,,2.0,0.11427910041407685,0.4990796520865799,0.06155965100969259,0.061867065948025525,2.5176155249265864,2.4860839006455073,-1.0,-1.0
