technology,C,M_star,k_modelfree,k_isoquant,sigma_star_modelfree,sigma_star_isoquant,dlnw_dlnM,max_transform_dev
Chinchilla (Besiroglu),1e+20,22.880467369518545,0.3567999972706233,0.3568000002102121,0.7370283033694192,0.737028301772603,0.3568000000009871,3.331270914674889e-08
Chinchilla (Besiroglu),1e+22,20.37119251104347,0.3567999983270075,0.3568000001804581,0.73702830279558,0.7370283017887657,0.35680000000088874,9.105647236218317e-09
Chinchilla (Besiroglu),1e+24,18.137102466615726,0.3568000044170663,0.35679999975257815,0.7370282994873947,0.7370283020211946,0.3568000000012481,2.7020098603003362e-08
Non-separable 3-term,1e+20,12.92426977192856,0.3155428728336882,0.3155428729327845,0.7601424633512652,0.7601424632940058,0.3155428729446226,5.268305180994304e-08
Non-separable 3-term,1e+22,10.589573770932464,0.3204785231831181,0.3204785225451321,0.7573012225821142,0.7573012229480025,0.32047852262883725,1.7082420589176195e-08
Non-separable 3-term,1e+24,8.682224624560961,0.3248558855451463,0.32485587964703555,0.7547990773264551,0.7547990806867365,0.32485587926258125,5.544497316822827e-08
