family,lab,n,flagship,N_f,D_f,M_f,w_flag_chin,w_flag_meta_a2,D_varies,flag_band_has1,flag_band_lo,flag_band_hi,share_sib_wrel_gt1,spearman_Trel_N,max_TDrel
Qwen,Alibaba,3,Qwen-72B,72287920128.0,3000000000000.0,41.50070986532617,1.3608121809858011,1.0744801295879667,True,True,0.6107610159371482,4.408893301760557,1.0,,3.010449196760736
Qwen1.5,Alibaba,7,Qwen1.5-72B,72287920128.0,3000000000000.0,41.50070986532617,1.3608121809858011,1.0744801295879667,True,True,0.6107610159371482,4.408893301760557,1.0,-0.7142857142857143,11.435132194120916
Qwen2,Alibaba,4,Qwen2-72B,72706203648.0,7000000000000.0,96.27789168981808,1.8536974404043092,1.3304081981559641,True,True,0.7916570752588123,6.051680568090852,1.0,-1.0,17.700236683709687
Qwen2.5,Alibaba,7,Qwen2.5-72B,72706203648.0,18000000000000.0,247.57172148810363,2.622065925099272,1.6913532849721948,False,False,1.0613180908276154,8.00564666380166,1.0,-1.0,13.98346931013904
Qwen3,Alibaba,6,Qwen3-32B,32762123264.0,36000000000000.0,1098.8298807714295,4.460794523250467,2.5509729508757233,False,False,1.97621385073831,11.86074959613466,1.0,-0.9999999999999999,9.063479036314487
Qwen3-MoE,Alibaba,2,Qwen3-235B-A22B,22000000000.0,36000000000000.0,1636.3636363636365,5.122469096689221,2.868419277589013,False,False,2.402183025260251,12.950400427057836,1.0,,2.797935908956898
RWKV,RWKV,6,rwkv-4-14b-pile,14000000000.0,330000000000.0,23.571428571428573,1.0701255998980237,0.9943362851529458,False,True,0.7109240440498439,2.683758066944436,1.0,-0.9999999999999999,10.910623866932152
RedPajama-INCITE-Base,Together,2,RedPajama-INCITE-Base-7B-v0.1,7000000000.0,1000000000000.0,142.85714285714286,2.0453801633095128,1.616464091713102,True,False,1.414279139437574,4.501391498215112,1.0,,0.7097169142177915
SmolLM,Hugging Face,3,SmolLM-1.7B,1711376384.0,1000000000000.0,584.3249967389991,3.336123407238904,2.447588858039647,True,False,2.280560434167286,6.095938624392918,1.0,,3.0158213615517298
SmolLM2,Hugging Face,3,SmolLM2-1.7B,1711376384.0,11000000000000.0,6427.574964128989,8.046607054368078,4.502124535083607,True,False,4.010223416646109,14.974148399511755,1.0,,0.8807074687500627
StableLM-alpha,Stability AI,2,stablelm-base-alpha-7b,7000000000.0,1500000000000.0,214.28571428571428,2.373722223465453,1.7919306231019008,False,False,1.5874627207104135,5.2385433861181845,1.0,,1.026460615926978
XGLM,Meta,4,xglm-7.5B,7500000000.0,500000000000.0,66.66666666666667,1.548237497548935,1.3281035558227143,False,False,1.101678630499688,3.632243864297237,1.0,-1.0,4.369238235359741
Yi,01.AI,2,Yi-34B,34388917248.0,3000000000000.0,87.23740786501426,1.76139580421776,1.3372849378373233,False,True,0.8926753413430863,5.153298727253381,1.0,,2.482123326940301
Yi-1.5,01.AI,3,Yi-1.5-34B,34388917248.0,3600000000000.0,104.68488943801712,1.883346061858821,1.4007110590864307,False,True,0.9446469518760546,5.420076530480862,1.0,,2.482123326940301
