key,label,group,a,a_global,d_elasticity,n_conv,source,gD_hat,gD5_hat,gD_epoch,gD5_epoch,a_lo,a_hi,gD_hat_lo,gD_hat_hi,Dstar_now_T,Mstar_now,data_multiple_obs,year_unique_opt,year_unique_obsOT,year_unique_OT5,year_effective_opt,year_effective_obsOT,year_effective_OT5
gadre_rp,Gadre et al. RedPajama,Design sweeps,0.5289881222161921,0.5289881222161921,0.47101187778380793,total,m2 gadre/RedPajama/huber; B=400,2.146528624186241,45.57046090232418,1.965883685660411,29.362233835723078,0.48509688984402255,0.6627708964679879,1.7278761948500534,2.3048870369518095,20.17556381776466,2.598755576993255,3.192898580231284,2029.1529688510373,2027.5294320000773,2028.0275850323887,2030.7796126499563,2029.1560757989964,2029.654228831308
olmo,OLMo ladder (AI2),Lab laws,0.3701326547720303,0.3701326547720303,0.6298673452279697,olmo,m2 olmo_ladder/all/huber; B=400,2.777279624923627,165.23347638444653,2.469246096898197,91.79560315906362,0.11301595925232755,0.8166063211321741,1.3463728712741223,4.214155861460639,518.9945692262901,1719.64856173194,0.22776198049751292,2025.1721472018219,2026.6931525743378,2024.3448272989865,2026.3679657015812,2027.8889710740973,2025.5406457987458
meta_a2,"Llama 3 (Meta's IsoFLOP law, A2)",Lab laws,0.46322087290540415,0.4632208729054042,0.5367791270945959,total,m1 llama_3_A2A1_kappa1; stratified B=200,2.388124584139592,77.67565015272622,2.1604648757448546,47.06911690663369,0.44631121078475744,0.500576188299198,2.2477468815680592,2.454519973559203,90.10524606472485,51.83394075542376,0.9180339326869748,2027.017058866291,2027.1211346008172,2026.0377463047303,2028.4325694494978,2028.5366451840239,2027.453256887937
meta_a3,"Llama 3 IsoFLOPs, primal (A3)",Lab laws,0.5268194506631989,0.5268194506631989,0.4731805493368011,total,m1 llama_3_A3_huber; stratified B=200,2.154091234532025,46.37890250824659,1.9720114925353496,29.82271704690964,0.4662044886526193,0.5606571980321308,2.0390692032066506,2.3765974142642308,32.323224070620704,6.670270091905403,2.0093928406962096,2028.4852042430462,2027.514075347062,2027.3653284683405,2030.1038866465951,2029.132757750611,2028.9840108718893
chin_q,"Chinchilla refit, kappa free",Chinchilla,0.5036073373884584,0.5036073373884584,0.4963926626115416,total,m2 chinchilla/all/huber_q; pairs B=200,2.236724699877271,55.98383796789222,2.0388082145399964,35.227504062358484,0.4815008480909371,0.534943283960486,2.125898043263293,2.3183674857332712,56.703415850243225,20.527332532263703,1.2508928117367921,2027.6545148086332,2027.358494044512,2026.5903848525707,2029.1926215110661,2028.896600746945,2028.1284915550038
chin_a2,Chinchilla IsoFLOP argmins (A2),Chinchilla,0.4977457148047584,0.4977457148047584,0.5022542851952416,total,m1 A2 on n = 240,2.2580882556505433,58.7089833601401,2.0560308502051536,36.74075988043646,,,,,58.328881061529195,21.721077474930873,1.243425766719656,2027.6061063245525,2027.3215794750122,2026.5551867421714,2029.125118588205,2028.8405917386647,2028.0741990058239
marin_comma,"Marin (Comma), A2",Lab laws,0.4049294587482616,0.4049294587482616,0.5950705412517384,total,m1 marin_202603__comma__llama_2_A2A1_kappa1,2.6248953648698197,124.61203256529441,2.3489690392779785,71.51324133351893,,,,,182.77071428892847,213.2687837542393,0.5657213944190618,2026.2153633719468,2026.8370856279128,2025.3370897653429,2027.4848309902497,2028.1065532462158,2026.6065573836458
marin_dclm,"Marin (DCLM), A2",Lab laws,0.42357907148571594,0.423579071485716,0.5764209285142841,total,m1 marin_202603__dclm__llama_2_A2A1_kappa1,2.546695108886784,107.12350426445614,2.2869355978961488,62.5561011684469,,,,,120.45006898014077,92.62499127933143,0.7991601167425156,2026.6685029827313,2026.9215417615071,2025.7602487872,2027.9813049179659,2028.2343436967417,2027.0730507224346
marin_nemotron,"Marin (NEMOTRON), A2",Lab laws,0.42237348227196825,0.4223734822719683,0.5776265177280318,total,m1 marin_202603__nemotron__llama_2_A2A1_kappa1,2.5516791114646087,108.17584394824627,2.290895701201411,63.099597132654864,,,,,126.18503406324155,101.65524059588215,0.766371786179256,2026.6162516120808,2026.9159131181395,2025.7099972322887,2027.926162988719,2028.2258244947775,2027.019908608927
muenn,"Muennighoff et al., single epoch",Design sweeps,0.5351989283763525,0.5351989283763525,0.4648010716236475,authors' PARAMS_MAP,m2 datablations/single_epoch/huber,2.1250168282802995,43.33231266730975,1.9484395573536544,28.082430344010916,,,,,59.556797225179196,22.645230388174973,1.0564859502440607,2027.6521861255314,2027.5742441772927,2026.510723889944,2029.3020698687046,2029.2241279204661,2028.1606076331175
