set,level,curvature,tau,n,k_L,k_U_min,k_U_max,median_s_lower,median_s_upper,median_w_lower,median_w_upper
S2(a),models,"k in [0.40, 0.52] (in-design sigma* 0.66-0.71; version 3)",4.4,77,0.4,0.52,0.52,0.2248819556781809,0.9666529592197438,1.290126074764443,29.98766836882479
S2(a),models,"k in [0.40, 0.684] (to the top-budget value sigma* = 0.594)",1.0,77,0.4,0.6841225973885996,0.6841225973885996,0.5714645279013282,0.9685873481106141,2.333529112777265,31.834306874864417
S2(a),models,"k in [0.40, 0.684] (to the top-budget value sigma* = 0.594)",1.3,77,0.4,0.6841225973885996,0.6841225973885996,0.5240469464242191,0.9737485449991516,2.101047556029138,38.09312664641568
S2(a),models,"k in [0.40, 0.684] (to the top-budget value sigma* = 0.594)",1.84,77,0.4,0.6841225973885996,0.6841225973885996,0.45309246643645623,0.9793016014712144,1.82846265342917,48.3129165094237
S2(a),models,"k in [0.40, 0.684] (to the top-budget value sigma* = 0.594)",3.4,77,0.4,0.6841225973885996,0.6841225973885996,0.30083715104249137,0.9864009721132334,1.430281945745625,73.53466794292805
S2(a),models,"k in [0.40, 0.684] (to the top-budget value sigma* = 0.594)",4.4,77,0.4,0.6841225973885996,0.6841225973885996,0.2248819556781809,0.9886000201103294,1.290126074764443,87.71945298834227
S2(a),models,"k in [0.40, k(sigma_lin(C_i))]: sigma* at the lower end of its identified set (Chinchilla-Llama 3 drift)",1.0,77,0.4,0.6841225973885996,2.029690474068282,0.5714645279013282,0.9970813493650972,2.333529112777265,342.6240838973476
S2(a),models,"k in [0.40, k(sigma_lin(C_i))]: sigma* at the lower end of its identified set (Chinchilla-Llama 3 drift)",1.3,77,0.4,0.6841225973885996,2.029690474068282,0.5240469464242191,0.9979615041540646,2.101047556029138,490.5577816084072
S2(a),models,"k in [0.40, k(sigma_lin(C_i))]: sigma* at the lower end of its identified set (Chinchilla-Llama 3 drift)",1.84,77,0.4,0.6841225973885996,2.029690474068282,0.45309246643645623,0.9987631805470928,1.82846265342917,808.5254461752461
S2(a),models,"k in [0.40, k(sigma_lin(C_i))]: sigma* at the lower end of its identified set (Chinchilla-Llama 3 drift)",3.4,77,0.4,0.6841225973885996,2.029690474068282,0.30083715104249137,0.9993976580517804,1.430281945745625,1660.1865484476543
S2(a),models,"k in [0.40, k(sigma_lin(C_i))]: sigma* at the lower end of its identified set (Chinchilla-Llama 3 drift)",4.4,77,0.4,0.6841225973885996,2.029690474068282,0.2248819556781809,0.9995547165321115,1.290126074764443,2245.760447253699
S2(a),models,"k in [k(0.70), k(sigma_lin(C_i))]: R1's drift-agnostic set [sigma_lin(C), 0.70]",1.0,77,0.4285714285714286,0.6841225973885996,2.029690474068282,0.5966332297632306,0.9970813493650972,2.479133319318835,342.6240838973476
S2(a),models,"k in [k(0.70), k(sigma_lin(C_i))]: R1's drift-agnostic set [sigma_lin(C), 0.70]",1.3,77,0.4285714285714286,0.6841225973885996,2.029690474068282,0.5486296961120686,0.9979615041540646,2.2154758330053657,490.5577816084072
S2(a),models,"k in [k(0.70), k(sigma_lin(C_i))]: R1's drift-agnostic set [sigma_lin(C), 0.70]",1.84,77,0.4285714285714286,0.6841225973885996,2.029690474068282,0.47616625679115004,0.9987631805470928,1.9090026424687667,808.5254461752461
S2(a),models,"k in [k(0.70), k(sigma_lin(C_i))]: R1's drift-agnostic set [sigma_lin(C), 0.70]",3.4,77,0.4285714285714286,0.6841225973885996,2.029690474068282,0.3184828384251526,0.9993976580517804,1.4673144806642926,1660.1865484476543
S2(a),models,"k in [k(0.70), k(sigma_lin(C_i))]: R1's drift-agnostic set [sigma_lin(C), 0.70]",4.4,77,0.4285714285714286,0.6841225973885996,2.029690474068282,0.23885823934587633,0.9995547165321115,1.3138157064731306,2245.760447253699
S2(a),models,"k in [0.40, k(sigma_lin(C_i))], pooled drift (three-level meta-regression)",1.0,77,0.4,0.6841225973885996,1.2539719919169285,0.5714645279013282,0.9906095840360972,2.333529112777265,106.49155520309758
S2(a),models,"k in [0.40, k(sigma_lin(C_i))], pooled drift (three-level meta-regression)",1.3,77,0.4,0.6841225973885996,1.2539719919169285,0.5240469464242191,0.9926503167590683,2.101047556029138,136.06028548697546
S2(a),models,"k in [0.40, k(sigma_lin(C_i))], pooled drift (three-level meta-regression)",1.84,77,0.4,0.6841225973885996,1.2539719919169285,0.45309246643645623,0.9947525474646488,1.82846265342917,190.56866036675183
S2(a),models,"k in [0.40, k(sigma_lin(C_i))], pooled drift (three-level meta-regression)",3.4,77,0.4,0.6841225973885996,1.2539719919169285,0.30083715104249137,0.9970763634605997,1.430281945745625,342.0397804321821
S2(a),models,"k in [0.40, k(sigma_lin(C_i))], pooled drift (three-level meta-regression)",4.4,77,0.4,0.6841225973885996,1.2539719919169285,0.2248819556781809,0.9976537906357968,1.290126074764443,426.21942238289563
S1,decisions (49),"k in [0.40, 0.52] (in-design sigma* 0.66-0.71; version 3)",1.0,49,0.4,0.52,0.52,0.33038385156291117,0.8833459217115391,1.4933928973099595,8.57235353167175
S1,decisions (49),"k in [0.40, 0.52] (in-design sigma* 0.66-0.71; version 3)",1.3,49,0.4,0.52,0.52,0.2562906192771302,0.8982230614021826,1.344611249932092,9.825408523551769
S1,decisions (49),"k in [0.40, 0.52] (in-design sigma* 0.66-0.71; version 3)",1.84,49,0.4,0.52,0.52,0.14541936427674515,0.9150438821693277,1.170164590909169,11.770782676217854
S1,decisions (49),"k in [0.40, 0.52] (in-design sigma* 0.66-0.71; version 3)",3.4,49,0.4,0.52,0.52,-0.12187050704290753,0.9382650799995037,0.8913684723167017,16.1982877760587
S1,decisions (49),"k in [0.40, 0.52] (in-design sigma* 0.66-0.71; version 3)",4.4,49,0.4,0.52,0.52,-0.28282993554233005,0.9460110930651691,0.77952655476288,18.522323506328473
S1,decisions (49),"k in [0.40, 0.684] (to the top-budget value sigma* = 0.594)",1.0,49,0.4,0.6841225973885996,0.6841225973885996,0.33038385156291117,0.9407900727896364,1.4933928973099595,16.889059776195264
S1,decisions (49),"k in [0.40, 0.684] (to the top-budget value sigma* = 0.594)",1.3,49,0.4,0.6841225973885996,0.6841225973885996,0.2562906192771302,0.9505184488963325,1.344611249932092,20.209552402771806
S1,decisions (49),"k in [0.40, 0.684] (to the top-budget value sigma* = 0.594)",1.84,49,0.4,0.6841225973885996,0.6841225973885996,0.14541936427674515,0.9609854438722316,1.170164590909169,25.63145910785479
S1,decisions (49),"k in [0.40, 0.684] (to the top-budget value sigma* = 0.594)",3.4,49,0.4,0.6841225973885996,0.6841225973885996,-0.16333735786021178,0.9743670972402294,0.8595958801145638,39.01235881756797
S1,decisions (49),"k in [0.40, 0.684] (to the top-budget value sigma* = 0.594)",4.4,49,0.4,0.6841225973885996,0.6841225973885996,-0.3877443051976842,0.9785120981875753,0.7205938415705118,46.53781503328467
S1,decisions (49),"k in [0.40, k(sigma_lin(C_i))]: sigma* at the lower end of its identified set (Chinchilla-Llama 3 drift)",1.0,49,0.4,0.6841225973885996,2.029690474068282,0.33038385156291117,0.9914356931175963,1.4933928973099595,116.76368137328231
S1,decisions (49),"k in [0.40, k(sigma_lin(C_i))]: sigma* at the lower end of its identified set (Chinchilla-Llama 3 drift)",1.3,49,0.4,0.6841225973885996,2.029690474068282,0.2562906192771302,0.9947570315586038,1.344611249932092,190.73164585627654
S1,decisions (49),"k in [0.40, k(sigma_lin(C_i))]: sigma* at the lower end of its identified set (Chinchilla-Llama 3 drift)",1.84,49,0.4,0.6841225973885996,2.029690474068282,0.14541936427674515,0.9965148573692565,1.170164590909169,286.93230262046944
S1,decisions (49),"k in [0.40, k(sigma_lin(C_i))]: sigma* at the lower end of its identified set (Chinchilla-Llama 3 drift)",3.4,49,0.4,0.6841225973885996,2.029690474068282,-0.2124510172737287,0.9981842713268446,0.8247755874283169,550.7430789547521
S1,decisions (49),"k in [0.40, k(sigma_lin(C_i))]: sigma* at the lower end of its identified set (Chinchilla-Llama 3 drift)",4.4,49,0.4,0.6841225973885996,2.029690474068282,-0.4567082162472133,0.9985990821338476,0.6864792748792276,713.8177220528146
S1,decisions (49),"k in [k(0.70), k(sigma_lin(C_i))]: R1's drift-agnostic set [sigma_lin(C), 0.70]",1.0,49,0.4285714285714286,0.6841225973885996,2.029690474068282,0.3492938480014651,0.9914356931175963,1.536791986565161,116.76368137328231
S1,decisions (49),"k in [k(0.70), k(sigma_lin(C_i))]: R1's drift-agnostic set [sigma_lin(C), 0.70]",1.3,49,0.4285714285714286,0.6841225973885996,2.029690474068282,0.27185515704002394,0.9947570315586038,1.37335313113653,190.73164585627654
S1,decisions (49),"k in [k(0.70), k(sigma_lin(C_i))]: R1's drift-agnostic set [sigma_lin(C), 0.70]",1.84,49,0.4285714285714286,0.6841225973885996,2.029690474068282,0.15495805683165376,0.9965148573692565,1.1833732137018713,286.93230262046944
S1,decisions (49),"k in [k(0.70), k(sigma_lin(C_i))]: R1's drift-agnostic set [sigma_lin(C), 0.70]",3.4,49,0.4285714285714286,0.6841225973885996,2.029690474068282,-0.2124510172737287,0.9981842713268446,0.8247755874283169,550.7430789547521
S1,decisions (49),"k in [k(0.70), k(sigma_lin(C_i))]: R1's drift-agnostic set [sigma_lin(C), 0.70]",4.4,49,0.4285714285714286,0.6841225973885996,2.029690474068282,-0.4567082162472133,0.9985990821338476,0.6864792748792276,713.8177220528146
S1,decisions (49),"k in [0.40, k(sigma_lin(C_i))], pooled drift (three-level meta-regression)",1.0,49,0.4,0.6841225973885996,1.2539719919169285,0.33038385156291117,0.9738807961155596,1.4933928973099595,38.28600612883585
S1,decisions (49),"k in [0.40, k(sigma_lin(C_i))], pooled drift (three-level meta-regression)",1.3,49,0.4,0.6841225973885996,1.2539719919169285,0.2562906192771302,0.9799971306878867,1.344611249932092,49.992827748688285
S1,decisions (49),"k in [0.40, k(sigma_lin(C_i))], pooled drift (three-level meta-regression)",1.84,49,0.4,0.6841225973885996,1.2539719919169285,0.14541936427674515,0.9859495356316077,1.170164590909169,71.17202490827142
S1,decisions (49),"k in [0.40, k(sigma_lin(C_i))], pooled drift (three-level meta-regression)",3.4,49,0.4,0.6841225973885996,1.2539719919169285,-0.20993030115017494,0.9924809491316997,0.8264938889863221,132.99550934226548
S1,decisions (49),"k in [0.40, k(sigma_lin(C_i))], pooled drift (three-level meta-regression)",4.4,49,0.4,0.6841225973885996,1.2539719919169285,-0.44701891500354174,0.9942323794736546,0.6910759697965333,173.3817256929769
