spec,n,n_transformer,alpha_nt,beta_nt,alpha_t,beta_t,gamma_nt,gamma_t,slope_lnCEG_lnC,dgamma,dgamma_lo,dgamma_hi,p_equal_gamma,mse,CEG_1e+15,CEG_1e+15_lo,CEG_1e+15_hi,CEG_1e+17,CEG_1e+17_lo,CEG_1e+17_hi,CEG_1e+19,CEG_1e+19_lo,CEG_1e+19_hi,CEG_1e+21,CEG_1e+21_lo,CEG_1e+21_hi,CEG_1e+23,CEG_1e+23_lo,CEG_1e+23_hi
"Model 13, L1 penalty (converged)",231,104,0.12028895559463679,0.014905371347839147,0.11677061951287719,0.026714037815760115,0.013262032458985358,0.02174040628115401,0.6392967177835809,0.008478373822168652,-0.012250680899905431,0.0343490007550775,0.455,0.04508270056925599,0.001254985559836518,0.0,8277242.844785965,0.02383593345626042,6.170008976403154e-268,736388.1994999716,0.4527157458331919,2.695842026370126e-202,696482.9602577423,8.598427533849101,5.252131680394275e-71,83982.79941224614,163.30988426034284,5.587923494537188e-32,5398595847.518908
"Model 13, unpenalized NLS",231,104,0.06289253760027745,0.028622728854928354,0.07661483399198664,0.02895313423320866,0.019670554656716806,0.021012430286553273,0.0682174780149507,0.001341875629836467,-0.01053943645477311,0.027703472588807905,0.53,0.04432299471106137,7.712115210505342,0.0,1392727.6418239523,10.558651721474853,0.0,3345680.8127477164,14.455842934444085,0.0,259830724003.99518,19.791484789700934,0.0,1.174990133369021e+30,27.096508446950374,0.0,3.693722013549399e+19
