a,b,diff,z,p
Chinchilla,Farseer,-0.009460371584861682,-0.6639443368162627,0.5067259378831194
Chinchilla,"Gadre, C4",0.09382462874569619,1.6862821045672909,0.09174147620033848
Chinchilla,"Gadre, RedPajama",0.07737364096145372,1.2774855762918282,0.20143086945730715
Chinchilla,"Gadre, RefinedWeb",0.10607626572480788,1.660199120827307,0.09687440147153116
Chinchilla,OLMo ladder,0.15636161456236497,6.165212927125558,7.038835921048444e-10
Chinchilla,Muennighoff,0.18982280804425844,3.3105790677131957,0.0009310314488119153
Farseer,"Gadre, C4",0.10328500033055787,1.916029394471445,0.05536135429288554
Farseer,"Gadre, RedPajama",0.0868340125463154,1.472311788135334,0.14093670147292206
Farseer,"Gadre, RefinedWeb",0.11553663730966957,1.8518644270285274,0.06404529324723712
Farseer,OLMo ladder,0.16582198614722665,7.788812248988298,6.764203099203057e-15
Farseer,Muennighoff,0.19928317962912012,3.58055884256366,0.0003428601175871193
"Gadre, C4","Gadre, RedPajama",-0.016450987784242477,-0.2061019065713804,0.8367113095155407
"Gadre, C4","Gadre, RefinedWeb",0.01225163697911169,0.1487347789450829,0.8817629168309881
"Gadre, C4",OLMo ladder,0.06253698581666878,1.0811153459885912,0.2796458079256178
"Gadre, C4",Muennighoff,0.09599817929856225,1.240315746640031,0.21485863036046438
"Gadre, RedPajama","Gadre, RefinedWeb",0.028702624763354168,0.3346170855814407,0.7379139547777948
"Gadre, RedPajama",OLMo ladder,0.07898797360091125,1.2618136271087004,0.20701585750769091
"Gadre, RedPajama",Muennighoff,0.11244916708280472,1.3880441405577595,0.16512360444521468
"Gadre, RefinedWeb",OLMo ladder,0.05028534883755709,0.7639510691428396,0.4448964022972396
"Gadre, RefinedWeb",Muennighoff,0.08374654231945056,1.0026053520210505,0.3160513124919324
OLMo ladder,Muennighoff,0.03346119348189347,0.5625595598384577,0.5737348360105115
