k,ratio,share_w_above,share_bandlo_above,n
DataDecide NLS (primary),1.248538183103452,0.8786127167630058,0.6994219653179191,173
DataDecide Huber (primary),1.2919021174604863,0.8786127167630058,0.6936416184971098,173
DataDecide M>=20 Huber (largest),1.7978792662483774,0.7861271676300579,0.4913294797687861,173
