label,n,k,mse,note,alpha_param,alpha_param_lo,alpha_param_hi,alpha_param_se,beta_data,beta_data_lo,beta_data_hi,beta_data_se,gamma,gamma_lo,gamma_hi,gamma_se,alpha_year,alpha_year_lo,alpha_year_hi,alpha_year_se,beta_year,beta_year_lo,beta_year_hi,beta_year_se,g_N,g_N_lo,g_N_hi,g_N_se,g_D,g_D_lo,g_D_hi,g_D_se,g_C,g_C_lo,g_C_hi,g_C_se,TC_months,TC_lo,TC_hi,ec_per_year,share_gC_pos,B,code
"Experimental frontier elasticity in total-loss units, gamma=0.0525",231,9.0,0.05087499267517219,,0.05779750994942823,0.05350892329626519,0.06032678046480097,0.001950852743924574,0.5738555904788893,0.4051870292776738,2.809695949029304,0.7903736152105022,0.052508923296265185,0.05250892329626518,0.05250892329626519,4.380284929374391e-18,0.012435656276625543,0.0018182615781980017,0.023591412491488915,0.0053828272759869,0.09805849192849858,-0.10445897631334462,0.41153269487612526,0.19915256308013954,0.2151590317213755,0.03344172853284583,0.420966370549303,0.09656601050487955,0.17087659954077924,-0.12743599603173245,0.6294749254709291,0.19332031699173235,0.38603563126215473,0.17255790107155308,0.8415750163950924,0.16924866615319475,21.546628065197414,9.883570691474068,48.202754641007644,1.4711370883521466,1.0,400,A10
"Same, Hicks-neutral",231,8.0,0.05116817997627109,,0.05718655410064344,0.05350892329626519,0.05954290555447383,0.00178838216043542,0.6419498477814424,0.4444901287792072,2.809695949029304,0.8065785813153579,0.05250892329626519,0.05250892329626518,0.05250892329626519,4.850886408130053e-18,0.016910986275418347,0.012560174769910993,0.02182761133791147,0.002276566747255643,0.016910986275418347,0.012560174769910993,0.02182761133791147,0.002276566747255643,0.2957161266555152,0.22529600844603417,0.3912801167162658,0.0426559537652399,0.026343158011271694,0.005595554701183786,0.041492999022735504,0.01020223056470807,0.3220592846667869,0.23920076782081653,0.4156933711010602,0.0433558070579895,25.82681687107756,20.009378895525355,34.77315830754405,1.3799665843913624,1.0,400,A11
Registry m1: chinchilla_massivetext (huber),231,11.0,0.1126551281035873,,0.3473104985599139,0.3473104985599139,0.3473104985599139,0.0,0.3671724333625037,0.3671724333625037,0.3671724333625037,0.0,0.1784826973339582,0.1784826973339582,0.1784826973339582,2.77903352731012e-17,-0.13595975878648411,-0.3455143657133509,-0.0037054305266629108,0.08597270974306932,0.10135815286482985,0.04139176100020087,0.15093239486832008,0.02865329223599764,-0.3914645809735865,-0.9948284521947639,-0.010668927492912206,0.2475384709058495,0.2760505518799678,0.11273112368796875,0.41106679356646264,0.07803770008983403,-0.1154140290936187,-0.6695177650261174,0.11442849355267516,0.21559118880003864,-72.06893505097499,72.68964143874187,inf,0.890997168778677,0.2275,400,Rm10
Registry m1: llama_3 (huber),231,11.0,0.08993923658610958,,0.2835172411627058,0.2835172411627058,0.2835172411627058,5.55806705462024e-17,0.3156562488720749,0.3156562488720749,0.3156562488720749,5.55806705462024e-17,0.1493623972428824,0.1493623972428824,0.1493623972428824,0.0,-0.11204130521792834,-0.24140912875058565,0.008633330778386503,0.05885855538929175,0.11709316077154662,0.037657842400724534,0.16961649691088848,0.03468408628836297,-0.3951833925811577,-0.8514795352852809,0.03045081400687014,0.20760132663506625,0.370951505601274,0.11930016445195109,0.5373456014793754,0.10987929563345755,-0.02423188697988371,-0.44111133414724146,0.20512390766775848,0.15290628864415312,-343.2570552026923,40.5499595892631,inf,0.9760593480593496,0.5425,400,Rm11
Registry m1: marin_202603__comma__llama_2 (huber),231,11.0,0.1455729186533551,,0.6657832765464533,0.6657832765464533,0.6657832765464533,2.223226821848096e-16,0.3499110321280317,0.3499110321280317,0.3499110321280317,1.111613410924048e-16,0.2293651854503145,0.2293651854503145,0.2293651854503145,2.77903352731012e-17,-0.19871128960255685,-1.4141456561184687,-0.0467991721647937,0.2733973005152682,0.06040381058181479,0.04186304892781447,0.08367720539915725,0.010890451226955767,-0.29846242253682126,-2.124033008840228,-0.07029190100350681,0.4106400838624739,0.17262619647760397,0.11963912275991592,0.23913851726898377,0.031123486335152117,-0.1258362260592173,-1.9314825195716436,0.05292564771808788,0.4036214390905348,-66.09993343892151,157.15945907784632,inf,0.881759244145066,0.08,400,Rm12
Registry m1: marin_202603__dclm__llama_2 (huber),231,11.0,0.1611260450619952,,0.6858168381481563,0.6858168381481563,0.6858168381481563,0.0,0.404818678020824,0.404818678020824,0.404818678020824,0.0,0.2545593478917503,0.2545593478917503,0.2545593478917503,5.55806705462024e-17,-0.18901403719926305,-1.3329003304897074,-0.051660691681422365,0.26095302187871855,0.05991603725982193,0.04265203883272667,0.084726976430607,0.011055663685509384,-0.2756042527471898,-1.9435223172542786,-0.07532724308857251,0.3804995843837027,0.14800709678899707,0.10536084708653842,0.20929611460825093,0.027310162020095025,-0.12759715595819274,-1.7860404017914524,0.03349161584903689,0.37493625246998713,-65.18770817622818,248.3536836267198,inf,0.8802078942384486,0.055,400,Rm13
Registry m1: marin_202603__nemotron__llama_2 (huber),231,11.0,0.15711288797222278,,0.6392516314921384,0.6392516314921384,0.6392516314921384,0.0,0.4003728125962599,0.4003728125962599,0.4003728125962599,5.55806705462024e-17,0.24618406686433494,0.24618406686433494,0.24618406686433494,0.0,-0.17905549571894824,-1.263841744246154,-0.04066099959993401,0.24684142563113395,0.06135051658760017,0.04276381142071703,0.08890584388108967,0.012142807388506649,-0.2801017422528867,-1.9770645579677288,-0.06360718940211897,0.38614125247511344,0.15323347304669926,0.10680997828851208,0.22205764498485875,0.030328751120150564,-0.12686826920618743,-1.8071956927837183,0.04055243684170674,0.37907696764167403,-65.5622262269633,205.1113771334406,inf,0.8808496999850078,0.07,400,Rm14
Registry m1: misfitting__fineweb_c4__transformer (huber),231,11.0,0.21866905569731057,,0.6102097401327828,0.6102097401327828,0.6102097401327828,0.0,0.7047876477013286,0.7047876477013286,0.7047876477013286,1.111613410924048e-16,0.3270487769264502,0.3270487769264502,0.3270487769264502,1.111613410924048e-16,-0.12020012338734928,-0.6107951395264478,-0.01561236370609271,0.19394420211106023,0.05529010367362897,0.03740699603185002,0.0914045317322672,0.013576828333545777,-0.19698165316271993,-1.0009593412808153,-0.025585241728025235,0.3178320327513251,0.07844930860232603,0.05307555567106387,0.12969088211234112,0.019263714932897486,-0.1185323445603939,-0.8814475276107757,0.03473857591628457,0.3108310711672021,-70.17296584799539,239.43889314185108,inf,0.8882230860069344,0.045,400,Rm15
"Registry m2: chinchilla (all, huber)",231,11.0,0.112655128111675,,0.3473104990015325,0.3473104990015325,0.3473104990015325,1.111613410924048e-16,0.3671724325515672,0.3671724325515672,0.3671724325515672,0.0,0.1784826972589673,0.1784826972589673,0.1784826972589673,0.0,-0.13595977282999502,-0.3455143646471969,-0.0037054329852975357,0.085972713034122,0.1013581559084906,0.04139175974282162,0.15093239481081,0.028653294280111288,-0.39146462091085565,-0.9948284478600584,-0.010668934558414214,0.24753848006691745,0.27605056077911144,0.11273112051245403,0.41106679431771453,0.07803770582936426,-0.11541406013174421,-0.6695177615290664,0.114429216102917,0.21559119085800632,-72.06891566958723,72.68918244828656,inf,0.8909971411237955,0.2275,400,Rm20
"Registry m2: farseer (all, huber)",231,11.0,0.08870811068756373,,0.2805328164453021,0.2805328164453021,0.2805328164453021,0.0,0.3116662510001588,0.3116662510001588,0.3116662510001588,5.55806705462024e-17,0.14764057559424507,0.14764057559424507,0.14764057559424507,2.77903352731012e-17,-0.11074231237205932,-0.23770777854591907,0.009724272492532358,0.058178236925575416,0.11763975100766245,0.03755665333632284,0.17005593795633456,0.034931405827312925,-0.39475706897788804,-0.847343927737121,0.03466358273428016,0.20738478179760095,0.3774542499553553,0.12050279173892235,0.5456347532355946,0.11207952646529934,-0.017302819022532723,-0.431169074556187,0.21437884595904702,0.15160302145794402,-480.7173996264696,38.799379339453544,inf,0.9828460150975931,0.555,400,Rm21
"Registry m2: gadre (C4, huber)",231,11.0,0.07633012798188807,,0.2525740605376423,0.2525740605376423,0.2525740605376423,5.55806705462024e-17,0.2622292212982498,0.2622292212982498,0.2622292212982498,5.55806705462024e-17,0.1286555497057541,0.1286555497057541,0.1286555497057541,2.77903352731012e-17,-0.09847021218280802,-0.2033845533629043,0.019333499890784672,0.054263789914145426,0.12004587655401029,0.035075566937289526,0.1712965700511383,0.036625999733130146,-0.38986668691630166,-0.8052471933577398,0.07654586480349715,0.2148430832470947,0.4577898525560374,0.1337591850505321,0.6532321958745854,0.13967169467918716,0.06792316563973572,-0.3038059011052749,0.28523832889602246,0.14139767498451433,122.45845858888191,29.16075900077022,inf,1.0702830708044284,0.7675,400,Rm22
"Registry m2: olmo_ladder (all, huber)",231,11.0,0.06435891556550799,,0.2672694736613109,0.2672694736613109,0.2672694736613109,0.0,0.1570571336572147,0.1570571336572147,0.1570571336572147,2.77903352731012e-17,0.09892515982578422,0.09892515982578422,0.09892515982578422,1.38951676365506e-17,-0.12032045177856314,-0.26538432572777304,0.0347855158389034,0.07588992002307979,0.0947096253355904,0.034433393339218556,0.12464304464360568,0.025805712876134788,-0.4501840413358825,-0.992946639555527,0.130151473576007,0.2839453342107037,0.6030265746623076,0.2192411929175482,0.7936159392520531,0.16430780490657046,0.15284253332642506,-0.4195498019226268,0.40676199128317864,0.1943496533939551,54.420493992697246,20.448730080408865,inf,1.165141493541467,0.87,400,Rm23
"Registry m2: datablations (single_epoch, huber)",231,11.0,0.11200793593357164,,0.3359415800487788,0.3359415800487788,0.3359415800487788,0.0,0.3868226314778093,0.3868226314778093,0.3868226314778093,1.111613410924048e-16,0.17979557363916504,0.17979557363916504,0.17979557363916504,2.77903352731012e-17,-0.12623831201049204,-0.3057700139737187,-0.0033808894982645527,0.07465627366879495,0.10425771619680303,0.041078496803162154,0.15889196983564857,0.030910514421348137,-0.3757745974528137,-0.91018805689168,-0.010063920928673512,0.22222992955487925,0.2695233104601429,0.1061946573452197,0.41076182442744086,0.07990875379565626,-0.10625128699267083,-0.6105447650778164,0.11816270423705034,0.18467191716408404,-78.28390979671708,70.39248314792103,inf,0.8991986627557499,0.245,400,Rm24
"Registry m2: datadecide (CE_pooled, huber)",231,11.0,0.06046647089124834,,0.2844345096725089,0.2844345096725089,0.2844345096725089,5.55806705462024e-17,0.1309200500421904,0.1309200500421904,0.1309200500421904,2.77903352731012e-17,0.08965395797178462,0.08965395797178462,0.08965395797178462,1.38951676365506e-17,-0.12629308783822818,-0.312623950277619,0.047407530610584926,0.09166704616109736,0.08381186848462824,0.03201720321888049,0.1106107707100019,0.023067991798392615,-0.4440146450008441,-1.0991069636295778,0.16667292117671947,0.3222782153496093,0.6401759582097544,0.2445553848212142,0.8448726583464976,0.17619907562637432,0.19616131320891028,-0.41091478704897,0.4750320857407773,0.22500230059652873,42.40268394747636,17.509903891541143,inf,1.2167231630221946,0.885,400,Rm25
