label,n,k,mse,note,alpha_param,alpha_param_lo,alpha_param_hi,alpha_param_se,beta_data,beta_data_lo,beta_data_hi,beta_data_se,gamma,gamma_lo,gamma_hi,gamma_se,alpha_year,alpha_year_lo,alpha_year_hi,alpha_year_se,beta_year,beta_year_lo,beta_year_hi,beta_year_se,g_N,g_N_lo,g_N_hi,g_N_se,g_D,g_D_lo,g_D_hi,g_D_se,g_C,g_C_lo,g_C_hi,g_C_se,TC_months,TC_lo,TC_hi,ec_per_year,share_gC_pos,B,code
"Ho model 7 (L1 penalty, replication: scipy default tolerance)",231,10.0,0.04641577248623128,,0.06798237114873684,0.04144925845261256,0.14556536025831784,0.022899739607994934,0.03958677940168386,0.02027654020662751,0.0741627693709663,0.01600840001331064,0.025018354389690932,0.017029118127721034,0.029894118032117833,0.0030072061468707674,0.003938337308940553,-0.07007590672295312,0.03804015491722429,0.023763728777762096,0.0356203901429361,-0.006352546035975226,0.08381532141745635,0.022234952200753666,0.05793174380934681,-0.6180686004618245,0.6101064363435817,0.3172024662777408,0.8998052046997527,-0.1444781215971654,2.521018223303032,0.6709110482653838,0.9577369485090995,0.49142091050190345,2.0421889591779956,0.4359046011632031,8.684812859801989,4.0729659855116145,16.92595082741626,2.6057927525569227,1.0,400,A1
"Ho model 7, same objective run to convergence",231,10.0,0.0462913095828782,,0.137810830054211,0.04154861423841332,0.1875789694189314,0.041663956634599875,0.0252163128031665,0.017064417462052443,0.14799715484177897,0.03460350322230685,0.021315965779705407,0.015073856486291285,0.03453233449386149,0.004976839895115404,-0.05910647722410659,-0.07807113736746332,0.044548470206166986,0.03801760599121768,0.045290773503106174,-0.022007395519048904,0.07433218048174234,0.023648131823030293,-0.428895734833436,-0.8229191328854429,0.7957217938459673,0.4437978895506174,1.7960902474773732,-0.413816659935722,3.286320955380943,0.9701648486756687,1.367194512643937,0.3668397168792024,2.7300278846955184,0.6285047793344106,6.0838206193748565,3.04676967343395,22.674115653235884,3.924325591478908,0.99,400,A1c
"Model 7, unpenalized NLS",231,10.0,0.04530295381622625,,0.07755855925652905,0.043994289194784666,0.2552142713266516,0.05792494349212978,0.03132283540019782,0.018615221349463047,0.08681802764340996,0.031939892164082134,0.022311929353291574,0.015545405644883737,0.0313729925172065,0.0036755331612903846,0.027389616783993587,-0.13258503216738213,0.051116542779325994,0.050628701042444456,0.014490660349138951,-0.011834990049125593,0.09527292960968414,0.026324890085273292,0.3531475706427317,-0.838006089980781,0.8216751363089605,0.4373007272387062,0.46262288084709713,-0.30015183781302507,2.5364991412828433,0.7626299659488626,0.8157704514898289,0.3015257687306395,2.0193265342509688,0.3988959024449214,10.196209180571246,4.119079319583478,27.585589788015135,2.2609169283027364,0.9975,400,A2
"Hicks-neutral, L1 penalty (Ho model 12), converged",231,9.0,0.04654071756889344,,0.05869479895653339,0.0375516616761048,0.16116188721711552,0.035541915444924035,0.049689202681110434,0.018593618670128733,0.1872467775237245,0.04641748001009464,0.026908932292690528,0.016344379862966895,0.03667816964732999,0.005660833881623989,0.019299831159183985,0.01557359082533004,0.023429416316689166,0.0020755995468110713,0.019299831159183985,0.01557359082533004,0.023429416316689166,0.0020755995468110713,0.32881671804475443,0.11131064924299813,0.5551695681141781,0.12624578497751038,0.38841096491413213,0.10428416085400068,1.0612514572419984,0.2854361316543186,0.7172276829588866,0.4724835757782538,1.251771532186582,0.20083032773181872,11.597106977807686,6.6447957577290095,17.604349850719554,2.0487455580750793,1.0,400,A3
"Hicks-neutral, unpenalized NLS",231,9.0,0.045385109943457,,0.08294189338689752,0.04131765449682126,0.12497222804984343,0.025864826299382228,0.03004523186540177,0.018184449638949805,0.10089576687308999,0.03878896308222574,0.02205568477470452,0.015322821863068723,0.030601161323762262,0.0038255233393443533,0.019903936342232795,0.016066758203320663,0.02376672252613037,0.002114426794801554,0.019903936342232795,0.016066758203320663,0.02376672252613037,0.002114426794801554,0.2399744631990407,0.13602545506883984,0.498926650992908,0.08726026441078374,0.6624657260559516,0.17186313952255694,1.1294744615757992,0.2366285620999652,0.9024401892549923,0.5797534303504513,1.3233185045040785,0.19598461865906808,9.216972233457442,6.285536050775981,14.347075379427062,2.4656123370827685,1.0,400,A4
"Benchmark-specific E estimated, NLS",231,13.0,0.045101813275038004,,0.07160947623591156,0.049272799069825096,0.266023641050056,0.07051647960647688,0.04204284024122786,0.020035363431227023,0.19257014381181095,0.05060487321787603,0.026490139950205174,0.01729891094867836,0.044870190823696164,0.006783484720518776,0.024301844624890007,-0.16777336922435163,0.05090004832373898,0.06215374795665377,0.018954172226078005,-0.02296122954288967,0.10259598019831219,0.048816278987817104,0.33936632275914946,-0.8765240189253215,0.9254635914304516,0.5025576500741704,0.45082996575220075,-0.4471279398102968,3.736553605242157,1.1838010838437525,0.7901962885113503,0.31620145856750254,2.8651327725308926,0.8253571443937943,10.526202524171774,2.9030997259411158,26.30527450569514,2.2038289701106666,0.9925,400,A5
Whitfill first pass: Ho's year coefficients / experimental exponents,231,,,arithmetic; not a re-estimate,0.3478,,,,0.3658,,,,0.17828649103139016,,,,0.003938337308940553,,,,0.0356203901429361,,,,0.011323569030881405,,,,0.09737668163733215,,,,0.10870025066821355,-0.040610217479161805,0.17987974027252954,,76.52021145846031,46.24070589671402,inf,1.1148281312655743,0.9425,400,A6
"Experimental exponents (Besiroglu), E_b estimated",231,11.0,0.11260451578309867,,0.3478,0.3478,0.3478,0.0,0.3658,0.3658,0.3658,5.55806705462024e-17,0.17828649103139016,0.17828649103139016,0.17828649103139016,2.77903352731012e-17,-0.13650972738278283,-0.34694599232744355,-0.003703146065728715,0.0864857999228932,0.10122837331082302,0.041408189336293116,0.15057167135496358,0.028532482240350345,-0.3924949033432514,-0.9975445437821839,-0.010647343489731786,0.24866532467766878,0.276731474332485,0.11319898670391776,0.4116229397347282,0.07800022482326503,-0.11576342901076636,-0.6718340484259715,0.1147429314571767,0.21689511769679803,-71.85141488807976,72.49044504169412,inf,0.890685908821995,0.2275,400,A7
"Experimental exponents (Besiroglu), E_b, Hicks-neutral",231,10.0,0.12070016609959154,,0.3478,0.3478,0.3478,0.0,0.3658,0.3658,0.3658,5.55806705462024e-17,0.17828649103139016,0.17828649103139016,0.17828649103139016,2.77903352731012e-17,0.027645083884356363,0.014993211407443642,0.03676572266384392,0.00567975853383469,0.027645083884356363,0.014993211407443642,0.03676572266384392,0.00567975853383469,0.07948557758584349,0.04310871595009673,0.10570938086211593,0.016330530574567827,0.07557431351655648,0.04098745600722701,0.10050771641291394,0.015526950611904566,0.15505989110239998,0.08409617195732373,0.20621709727502985,0.0318574811864724,53.64228046069228,40.3349978087705,98.9077858495195,1.1677278955218455,1.0,400,A8
"Experimental exponents (Hoffmann), E_b estimated",231,11.0,0.09939106610233676,,0.3392,0.3392,0.3392,0.0,0.2849,0.2849,0.2849,5.55806705462024e-17,0.15484390322063774,0.15484390322063774,0.15484390322063774,2.77903352731012e-17,-0.14972978040307836,-0.36608510566253954,0.0009254536141809786,0.09323220537324735,0.09946269981736645,0.03979308901837038,0.13856231502199104,0.02524596023668811,-0.4414203431694527,-1.079260335090034,0.0027283420229392056,0.2748590960296207,0.34911442547338173,0.13967388212836215,0.48635421208140067,0.08861340904418431,-0.092305917696071,-0.7159060226392225,0.1531394039617927,0.24100627349780254,-90.11086585051513,54.31499634669188,inf,0.9118261631147858,0.3125,400,A9
