region,tech,inside,n,median_w,share_w_gt1,median_s,share_band_gt1,median_M
Chinchilla design (M <= 341 and C <= 1.3e22),chin_q,True,2,2.2684348037517155,1.0,0.5493166024553635,0.0,157.38130040504538
Chinchilla design (M <= 341 and C <= 1.3e22),chin_q,False,75,4.006064001046801,0.9733333333333334,0.7503784263709476,0.18666666666666668,554.8996212727055
Chinchilla M range only (M <= 341),chin_q,True,30,2.2798706162818076,0.9333333333333333,0.5613388471310976,0.0,151.0307008821693
Chinchilla M range only (M <= 341),chin_q,False,47,6.567457328636474,1.0,0.8477340696772188,0.2978723404255319,1818.1818181818185
"Farseer design (non-emb. M <= 2,570, N and C in support)",farseer_q,True,2,3.9494339741991,1.0,0.6593416950801627,0.5,882.0202959396344
"Farseer design (non-emb. M <= 2,570, N and C in support)",farseer_q,False,75,3.9059880629700987,1.0,0.7439828325436295,0.17333333333333334,549.3855429869253
"Farseer M range only (non-emb. M <= 2,570)",farseer_q,True,57,3.098377290916215,1.0,0.6772504100995744,0.03508771929824561,297.61491073722215
"Farseer M range only (non-emb. M <= 2,570)",farseer_q,False,20,10.799030955865465,1.0,0.9073988152380701,0.6,6130.242055513234
