rep,hx|edu|F,hz|edu|F,hx|edu|P,hz|edu|P,q3mean|edu,hx|web|F,hz|web|F,hx|web|P,hz|web|P,q3mean|web,mf_F|edu|est,mf_F|edu|pop,mf_F|edu|wcu|lo,mf_F|edu|wcu|hi,mf_F|edu|wcu|se,mf_F|edu|cr2cv|lo,mf_F|edu|cr2cv|hi,mf_F|edu|cr2cv|se,mf_P|edu|est,mf_P|edu|pop,mf_P|edu|wcu|lo,mf_P|edu|wcu|hi,mf_P|edu|wcu|se,mf_P|edu|cr2cv|lo,mf_P|edu|cr2cv|hi,mf_P|edu|cr2cv|se,mf_P6|edu|est,mf_P6|edu|pop,mf_P6|edu|wcu|lo,mf_P6|edu|wcu|hi,mf_P6|edu|wcu|se,mf_P6|edu|cr2cv|lo,mf_P6|edu|cr2cv|hi,mf_P6|edu|cr2cv|se,q3|edu|est,q3|edu|pop,q3|edu|wcu|lo,q3|edu|wcu|hi,q3|edu|wcu|se,q3|edu|cr2cv|lo,q3|edu|cr2cv|hi,q3|edu|cr2cv|se,mf_F|web|est,mf_F|web|pop,mf_F|web|wcu|lo,mf_F|web|wcu|hi,mf_F|web|wcu|se,mf_F|web|cr2cv|lo,mf_F|web|cr2cv|hi,mf_F|web|cr2cv|se,mf_P|web|est,mf_P|web|pop,mf_P|web|wcu|lo,mf_P|web|wcu|hi,mf_P|web|wcu|se,mf_P|web|cr2cv|lo,mf_P|web|cr2cv|hi,mf_P|web|cr2cv|se,mf_P6|web|est,mf_P6|web|pop,mf_P6|web|wcu|lo,mf_P6|web|wcu|hi,mf_P6|web|wcu|se,mf_P6|web|cr2cv|lo,mf_P6|web|cr2cv|hi,mf_P6|web|cr2cv|se,q3|web|est,q3|web|pop,q3|web|wcu|lo,q3|web|wcu|hi,q3|web|wcu|se,q3|web|cr2cv|lo,q3|web|cr2cv|hi,q3|web|cr2cv|se,diff_mf_F|est,diff_mf_F|pop,diff_mf_F|wcu|lo,diff_mf_F|wcu|hi,diff_mf_F|wcu|se,diff_mf_F|cr2cv|lo,diff_mf_F|cr2cv|hi,diff_mf_F|cr2cv|se,diff_mf_P|est,diff_mf_P|pop,diff_mf_P|wcu|lo,diff_mf_P|wcu|hi,diff_mf_P|wcu|se,diff_mf_P|cr2cv|lo,diff_mf_P|cr2cv|hi,diff_mf_P|cr2cv|se,diff_mf_P6|est,diff_mf_P6|pop,diff_mf_P6|wcu|lo,diff_mf_P6|wcu|hi,diff_mf_P6|wcu|se,diff_mf_P6|cr2cv|lo,diff_mf_P6|cr2cv|hi,diff_mf_P6|cr2cv|se
0,0.4,1.5,1.5,1.5,-0.9302671668870983,0.4,0.8,1.5,1.5,-1.112445681469179,0.6196399098791211,0.6234695528859726,0.5852108896112472,0.6498225134854284,0.018187972387985637,0.569400295459885,0.6626771431553021,0.025693268624462858,0.6883622822808496,0.6894968542224001,0.6737702414884912,0.6991766378532908,0.0067555028865791044,0.6446207152502232,0.7338118013543792,0.022582927621723297,0.6985877694138035,0.7002961881229495,0.6881519772842458,0.7058331356454368,0.004923122395027235,0.6737354656475387,0.7294239816844187,0.01356951511707148,-0.2784108101813624,-0.3798615915115603,-0.43833941421957723,0.0735146111632149,0.1719644035862151,-0.5444993197774131,0.09998832369999822,0.16220220463192378,0.5861755188181702,0.6057543572396203,0.5591551024995536,0.6170270360179703,0.015247444761263496,0.5566299110522531,0.6281979723386099,0.022692745219276864,0.6792342842119999,0.6835954860959899,0.6621354664007334,0.7018124760964661,0.011806405368951807,0.6411123991492158,0.7128773356772312,0.02184398918625337,0.6871877720541453,0.6914626869487084,0.6709778810598863,0.7074778977347813,0.01042127619935643,0.6521133874746459,0.7148934394889924,0.017825043588384326,-0.6170039093628866,-0.3930785777669035,-0.6381903503850548,-0.19720356817273793,0.11162254003313488,-0.7714089169565748,-0.32037450876187795,0.11134151033226336,0.03346439106095089,0.017715195646352266,-0.0240206540210193,0.07247649050216158,0.029110275762938082,-0.05296586500711911,0.0940268158086098,0.04093922110252116,0.009127998068849674,0.005901368126410289,-0.0153673243534347,0.0315000225959701,0.01258929991585545,-0.036648263272574304,0.06756586004737994,0.028164840449790077,0.011399997359658243,0.008833501174241087,-0.011430551964359617,0.032057427982618625,0.011176979790217218,-0.027229822918185785,0.056256315809836824,0.022831952275481168
2,1.5,1.5,1.0,1.5,-0.8295440470754173,0.4,1.5,0.4,1.5,-0.8952526723571651,0.6288713184845222,0.6290370179936832,0.6112696716458047,0.6473642389001724,0.009722279625056693,0.6085474234041162,0.6556862173080316,0.013199672311242075,0.706789674278865,0.7134296068136317,0.6847961681254655,0.7269470011709932,0.01175655163812892,0.6792191889972177,0.7401794430244317,0.01741071991466747,0.7163706543656181,0.7207733798864787,0.6958905088764425,0.7343233462798601,0.01130093808896968,0.6914518250924595,0.7497228092262209,0.015943001556179042,-0.2610650237073439,-0.32588939365045794,-0.3732850343769804,-0.007023370233329773,0.12142395080498153,-0.43264524901366685,0.15760584061539806,0.1785252867561116,0.6594409350227488,0.6786000810204896,0.6568586812760769,0.6793574701968924,0.006271268797473328,0.6309444365721614,0.6917836439382263,0.014227506621805783,0.72398479936435,0.7250470458387256,0.7130200426804024,0.7304040541761281,0.005113023187476013,0.694005778493839,0.7479243063222839,0.012653416178391946,0.7158504781199104,0.7210175193770427,0.7050036383802942,0.72527872582307,0.006199288387343965,0.6859639087215567,0.7433081983223708,0.01661574885284601,-0.33354816256427666,-0.4768449529889014,-0.5215755765668861,-0.35338416001489625,0.12443386192066012,-0.5913317071836464,-0.08437334476382852,0.11843432210096418,-0.03056961653822665,-0.049563063026806464,-0.05848211609722903,-0.01404660903649578,0.012172250119218467,-0.06220361848355843,0.00011530098927248211,0.01882294483492124,-0.01719512508548504,-0.011617439025093934,-0.03870588689828643,0.008814091986690545,0.013013132021041658,-0.04931995322584306,0.034447299418534805,0.02508227728689414,0.0005201762457076597,-0.0002441394905640104,-0.01855874114183932,0.023315797698116203,0.011965283174482096,-0.024487040555437888,0.054130825999502724,0.022188435826230708
1,0.4,1.5,1.25,1.25,-0.7512460474566045,0.4,1.5,0.4,1.5,-0.8101704952820612,0.6564220211805705,0.6834121481470579,0.6443757078404627,0.6914133499522949,0.013343040940040811,0.6422930206451765,0.7301117780784331,0.022965011443226397,0.7192750542683893,0.7181222047411586,0.7034291551802888,0.735206259522892,0.007955028456604904,0.6818651430433732,0.7801513397881624,0.027863668726554255,0.718765450520951,0.7202412443913713,0.708157298310238,0.7303646763400222,0.006425388859728572,0.7019114738500603,0.7703427588235744,0.02026340594456965,-0.16584268874506838,-0.2443104167940492,-0.2947487411151275,-0.047694757175866936,0.07543071570216155,-0.3647117942428332,0.21773334499526728,0.13869640333288571,0.6459360298746044,0.6599810586487023,0.6338792991223312,0.6682831752101762,0.01032230857746416,0.6298245387741217,0.6831350872329353,0.01545029829827335,0.7076028918084672,0.7204657083193146,0.6943477154096638,0.7316220167091539,0.011117281439640364,0.6881411601567085,0.7472605603580523,0.017018733654967737,0.7104809647530628,0.7212274175859654,0.6992347556974975,0.7262627564984001,0.007740669902364331,0.693655210988756,0.7361210378411291,0.012066487906692831,-0.15581723666423472,-0.1646415347301273,-0.20530891158693698,-0.025802451858331632,0.045511770717009785,-0.25473978268081465,0.05144739368563783,0.07948993512446062,0.010485991305966058,0.023431089498355595,9.666606629435415e-05,0.027204997324645208,0.008020059182994956,-0.00591507332408029,0.05374595640854671,0.01581369620743243,0.011672162459922086,-0.0023435035781559366,-0.01614242317184598,0.03191985474491078,0.012357805949251392,-0.02218628334391025,0.07012182973023612,0.024378109274333364,0.008284485767888206,-0.0009861731945941532,-0.012690173759797196,0.026319130508099635,0.010365059240132903,-0.015951326623236235,0.05775601070718175,0.0201583797699287
3,0.4,1.5,0.4,1.5,-0.6714693756452005,0.6,1.5,0.8,1.5,-1.0162944434683099,0.681900419591452,0.6905720179618651,0.6700754723294613,0.6976668704547527,0.007539914709223884,0.6697660009538349,0.7252811725786353,0.014774333389964533,0.733408286497168,0.7421780962283754,0.7173876258248637,0.7502246956928995,0.00849780064005559,0.7086573580267822,0.7643998195569899,0.014096612206278971,0.7121387080503847,0.7249749742474555,0.6986373031663193,0.731170960368018,0.008838922602801627,0.6897789730066183,0.743825058468708,0.01572285951487139,-0.2821170535813921,-0.27775466889642325,-0.4568375157528407,-0.003268896196342297,0.13194005264091133,-0.4863990817182187,0.008801083926238351,0.11956517039653326,0.6830226407464957,0.6794286556687382,0.6674081567334355,0.6998093647820349,0.008961010591758533,0.6595393173782335,0.7207604591762705,0.015849825258581984,0.7333574142084067,0.7312044816758321,0.7189811200113461,0.7480556806902455,0.00879011422903626,0.7082480911521182,0.7624425853812206,0.014947593509997912,0.7191366568271083,0.719706257823778,0.7075741078142104,0.7325827086644828,0.007647645595773007,0.7061309837486405,0.739446661310094,0.009753334618925505,-0.3417663388234507,-0.3890881108250326,-0.5235522644174602,-0.046090087689506454,0.1424693557204442,-0.60760220439198,0.09723514526185545,0.18404969765503512,-0.001122221155043679,0.011143362293126846,-0.01592248978157691,0.02139853810203065,0.011382095398506303,-0.02437815634967519,0.044867632711401366,0.02042224936615598,5.0872288761327766e-05,0.01097361455254331,-0.019326660628301507,0.0218807758249232,0.012605440553291061,-0.03190608962522427,0.039500023093405404,0.020667706144571064,-0.00699794877672355,0.005268716423677544,-0.020625550933908963,0.013047778701551313,0.011066089697689754,-0.030226845688317502,0.026361040999928087,0.018514653946165
4,0.6,1.5,0.6,1.5,-0.8797321768892191,0.6,1.5,1.5,1.5,-1.0046016979581087,0.6612930607296266,0.6519217790226475,0.6463316519164438,0.676414911714822,0.008882587274868703,0.6389091207395159,0.6929598773382728,0.01651981621687637,0.7119557747998371,0.7061543048378629,0.6957588910742728,0.7283809606725605,0.009406766256841207,0.6891865115960777,0.7353363113992374,0.011049406656406937,0.7167277880791336,0.7118085511053622,0.7030484831684842,0.7310536994236941,0.00807757675051367,0.6980718848905468,0.7428874115203364,0.0125775099110313,-0.22527209579170368,-0.3552542263859142,-0.35071154977217156,0.10338807285726995,0.1367137554428956,-0.40758457114767466,0.19945084021798834,0.14229263593833857,0.6537376100233717,0.6546907201116029,0.637847378854257,0.6695646331801205,0.010397147729524861,0.6306976732467624,0.6815810306373059,0.016262663704059592,0.7141939281872847,0.713872890971082,0.7068763590150973,0.7207233260206997,0.004219814779885037,0.7035494073015074,0.7324578268870887,0.008074670723153855,0.7162796155792208,0.716359823107015,0.7086578399378035,0.7226532790250291,0.0044280145930964175,0.6700741965733236,0.7290986232877051,0.014908910728798129,-0.42005633052962277,-0.4514209839386147,-0.48279994650549574,-0.20926252759183167,0.08844068459161404,-0.5798564120617924,-0.3030982665100142,0.07990458748558997,0.0075554507062548515,-0.0027689410889554233,-0.0180722740038429,0.03314383179743101,0.017908274080707266,-0.030728301026748513,0.0553472629779352,0.027066076954064586,-0.0022381533874475945,-0.007718586133219074,-0.01891848870519488,0.01755862214551318,0.011841450377647401,-0.03432456354905725,0.02518727492287584,0.015815720299417944,0.0004481724999128023,-0.004551272001652729,-0.010055568901049972,0.014751548499637824,0.007976180470544957,-0.021130076287243605,0.03813784637094681,0.015164323742358697
5,0.6,1.25,1.5,1.0,-0.749964130915435,0.6,1.5,1.5,1.5,-0.718654144653232,0.6637531035964173,0.6549388084296865,0.6390044297520905,0.6843725188363062,0.011563033376119806,0.6117666374218286,0.7062990348684844,0.02263804740097001,0.7027255977371475,0.7051274560305937,0.688377803242449,0.7126863345201898,0.007027931658706706,0.6874699192502,0.7413141065487384,0.01530487431122621,0.7123764707273206,0.7158227802571533,0.696813363783388,0.7231886320660307,0.007861020374624751,0.6944793533230025,0.7431936119451652,0.01339413014785985,-0.2386910002155096,-0.3318650119805335,-0.36645002994821363,-0.24453529409230007,0.03433609595499718,-0.45832288211397326,-0.01566263597805978,0.13972515692116794,0.6446489305545289,0.6418979931757934,0.6247803049514911,0.6542351236388517,0.007909358274138837,0.6119565973243913,0.6641035401419761,0.016278444903539236,0.7068437186548961,0.7093832873870087,0.700863305316385,0.7133892239928381,0.003228653638575076,0.6809667137605119,0.720900168656837,0.010520965010839175,0.7101024264638931,0.7128767394052201,0.7040502905341984,0.7152480903666613,0.0030214587633026757,0.6910407563098574,0.719214597499858,0.006871743801498014,-0.215411779738754,-0.3100893920075764,-0.31318890641509556,-0.09977272878940055,0.06348229778868206,-0.3839455262712761,0.006449863849040088,0.23288704445228023,0.019104173041888384,0.013040815253893112,-0.00741182655201935,0.04734292578366115,0.01637066025062631,-0.041471674689431456,0.06956399499065669,0.02922760476902765,-0.004118120917748658,-0.004255831356415052,-0.021227965600309484,0.010284468670900535,0.008966917767635951,-0.025707372494624063,0.04672920977460169,0.018868285187088146,0.002274044263427477,0.0029460408519331738,-0.018350468813636042,0.016938935178547943,0.010071018657754305,-0.01761313963319029,0.03658498279078314,0.01567448360570167
7,1.25,1.25,1.5,0.8,-0.8286214382668959,0.6,1.5,1.0,1.5,-0.6618864121042967,0.6329886257305264,0.6338076534069785,0.6142398904890382,0.6543744674840722,0.011373398409725241,0.6086714890961876,0.664503546167824,0.02121469732931182,0.7130867740036231,0.7205932949896069,0.6918541484869842,0.7332265823710638,0.013059698405106021,0.6759581197329804,0.7473428451990158,0.021807628902685883,0.7150540729680764,0.7221837320592807,0.6952952653227696,0.7369009013468778,0.013483075595188791,0.6791943474462873,0.7516282666000778,0.021191646404248525,-0.37047917629842575,-0.297574946416642,-0.5615999583091336,0.008030583059535246,0.1427960524178921,-0.7515930140272578,-0.1490846601554427,0.196931437723802,0.6662906020709869,0.6512150207014569,0.642633132127493,0.6922023583496109,0.013856815927730099,0.6132135560227057,0.7250278403603376,0.032057328524488456,0.7006139324820757,0.6950348923013066,0.6768793145401323,0.7216707118526358,0.012118007360660977,0.6595613252507857,0.7366478439168479,0.02128173035104465,0.7043705909798543,0.7021696302558036,0.6805480166009497,0.7240086251034663,0.012036887848724337,0.6697757606819146,0.7448659964370993,0.018923695094202754,-0.2249845879285958,-0.2809214004764297,-0.3089375996099135,-0.04338997111608009,0.08310986168300813,-0.3817047397971408,0.18013167836813618,0.16612454557844802,-0.033301976340460504,-0.017407367294478338,-0.07772440444505588,0.011741335356579306,0.023983330597244126,-0.11291802036739201,0.06165177307267583,0.04707510399476562,0.012472841521547373,0.02555840268830034,-0.025359904714502723,0.04602241988923425,0.020593910688936953,-0.052637674093718445,0.08585463125399048,0.036486339701172266,0.01068348198822211,0.02001410180347707,-0.026291358841443173,0.04154680346095874,0.019889173913455398,-0.05160409759705531,0.06649196191922033,0.034547168083246385
6,1.25,1.5,1.5,1.5,-1.148974596175386,0.6,1.25,0.8,1.25,-1.0741777525268534,0.6014860494922172,0.5975655293776708,0.5758659451335564,0.6259425610076772,0.013978032997557897,0.5445702592034991,0.6479006494177816,0.033650304271777114,0.6808362668342673,0.6835888933345231,0.6500374377804296,0.7031560198723436,0.014563773172848116,0.6462459251838117,0.7439410317999369,0.027535619528764148,0.6912122319897022,0.6940685955467952,0.6660677344477143,0.7089061294933895,0.012134760933229781,0.6531107598146341,0.7517345966734802,0.026316595721046058,-0.34982307754338066,-0.3224812980076189,-0.46796104619276363,-0.14076973323819275,0.0864783470315628,-0.4891292853363486,-0.09187358781067445,0.10406567502793418,0.6381471253731195,0.6387027579263288,0.6286878128204078,0.6468623615479239,0.005243391139361829,0.6271708074437612,0.6560691630110674,0.008607398689603881,0.7037870372309087,0.7101558684575691,0.6946103701342595,0.7176141110048337,0.0066234474481907555,0.6859943806330314,0.7154564846187997,0.008718734217850639,0.7149097543158642,0.7194259664967299,0.7059072998679209,0.7240599232126208,0.005388967377164487,0.6994989060638689,0.7255801844497035,0.007545874144035337,-0.6722842369816872,-0.407374732075327,-0.6913733343915833,-0.32126129947874055,0.1367470444112283,-0.8122955576131736,-0.23135417470180847,0.1262719942553045,-0.03666107588090228,-0.04113722854865798,-0.06265909564294851,-0.011064841669570294,0.01625268224059866,-0.09363382399133938,0.009430592847891509,0.03103738835791275,-0.022950770396641396,-0.026566975123045955,-0.05523713602638207,0.004980190021875816,0.017708871500291126,-0.056187578731012114,0.040902761232513546,0.026726597023784646,-0.023697522326162068,-0.02535737094993462,-0.05148878346412186,0.00032839129355788366,0.015666087781031412,-0.06286996720516566,0.035046225060016256,0.027952182196085744
9,0.6,1.5,1.5,1.5,-0.977346112917579,0.6,1.5,0.8,1.5,-0.8585555249072797,0.6571196156063522,0.6558499192146268,0.6338775680489185,0.6835685244518578,0.01497523762359909,0.6266740502183812,0.697372359115104,0.022611512834236274,0.7176161358636929,0.7166871664044747,0.7092390202827764,0.7295376164369538,0.005612845605524224,0.6928261753892527,0.7542221331802834,0.014718487573330885,0.7221280574063443,0.7216856452856604,0.7160405860173716,0.7317573192332751,0.004493178878719335,0.7077911889173613,0.7437863763751444,0.009893263916156289,-0.3485323923605912,-0.33751494077348654,-0.40803738141554224,-0.24991356715567264,0.045059075940858485,-0.45701591199464386,-0.10398568875909653,0.10484681825506556,0.6581836627896517,0.6555357469488747,0.6386041485230904,0.674199653199104,0.010050456141100072,0.626647469370251,0.6864448941689089,0.01662979666153769,0.7099229156239975,0.7136042516271237,0.6982222633160639,0.7201339499369472,0.006672619457472839,0.6917291522107915,0.7241814194456967,0.009917088678258289,0.7160847873416942,0.7184900519408899,0.7102206260209636,0.7235129037570752,0.0038032251775907415,0.7055338315802303,0.7303873283043216,0.006766333312053667,-0.27799246988111953,-0.2711562890676787,-0.3716254876135816,-0.13402506874268372,0.07097999474929771,-0.3784522487672407,-0.1609893576480234,0.07101936348456774,-0.0010640471832994436,0.00031417226575203294,-0.03857982772593455,0.042724544283670805,0.023937730507469366,-0.055866984922876645,0.07013064457243216,0.03627858145650914,0.007693220239695431,0.003082914777351009,-0.008453128591780844,0.02744102986623251,0.011046759955873446,-0.031138336973707673,0.05744735514689291,0.022589409818929516,0.006043270064650108,0.0031955933447704865,-0.005024436554794644,0.01804253888554641,0.0061284538803893784,-0.020732893730197984,0.03308615521797416,0.013680274486670172
11,0.4,1.5,0.5,1.5,-1.0853187771379185,0.4,1.5,0.5,1.5,-0.8270447933724073,0.6382143366301117,0.6315274859747951,0.5947560848143084,0.6979065118645048,0.02989318667187381,0.5788274259380768,0.735001833915049,0.04427663662599686,0.6768881659371502,0.6792121987674048,0.6246383624147271,0.7257096425304111,0.031605377253682954,0.6178606925248326,0.7613323834641241,0.040330668130297245,0.6944182126965932,0.6960599386866169,0.6672576710884436,0.7270739947602771,0.01899606164833081,0.6629775073019403,0.7487564440166197,0.02592473778622672,-0.4940487743680147,-0.35865208987782665,-0.479570546448259,-0.18620650701629848,0.12720472732421179,-0.4856933464626373,-0.11574612719584765,0.1035267665975371,0.6675058734026087,0.669811458411171,0.6523113834881614,0.6829053519327378,0.00988316513532363,0.6418297564944981,0.7024079882632285,0.017998150245518322,0.7326831773884623,0.7339349834651491,0.7168794731871685,0.7534784815170078,0.011534003291650557,0.7003596799459851,0.8508447326990759,0.04116785672266751,0.7058326545330331,0.7084567831526473,0.6911560067419134,0.7294806996914059,0.011894208444095526,0.6839598550027066,0.7685360899744202,0.023399504081111782,-0.2518045748270363,-0.3270355917143325,-0.3140587457300093,-0.1528796242714036,0.0511502330548718,-0.4263824328975052,-0.05247502131491949,0.10263730262182429,-0.029291536772496962,-0.038283972436375824,-0.08574781343078093,0.03833056325216212,0.037128008447983654,-0.11061902049237315,0.07608890130465357,0.05334434608097394,-0.05579501145131216,-0.054722784697744276,-0.12592803488322774,-0.006379289152118606,0.03746379292020702,-0.23182403380024108,0.011295368819561655,0.06633742564951364,-0.011414441836439915,-0.012396844466030399,-0.058345456006989344,0.022761881894857325,0.026269641087588492,-0.1048413568685098,0.034432953638110164,0.03870226083421031
