member,N_chosen,D_common,w,pi,T_true,T_hat,T_hat_over_T
1,66012457.67353186,305141616137.99365,6.657498034803864,0.02513128119166675,6000000000000.0,5179014280912.723,0.8631690468187871
2,286983219.33544177,305141616137.99365,3.993323039707072,0.18214692069972932,3000000000000.0,2740162289877.9233,0.9133874299593078
3,854553194.6660858,305141616137.99365,2.7322351609081332,0.7927217981086039,1500000000000.0,1585731109591.6958,1.0571540730611306
