param,variant,bias,obs_se,bench_se,bias_se,p,reference,T,value,G,loo_min,loo_max,loo_argmin,loo_argmax,value2,value3,n,k_all,k_nested,singleton_families
theta_N,"CR1, k counts 29 family dummies (Table 8)",0.20285276376196482,0.08150484214613203,0.028944034958043447,0.08649159758565188,0.019009405348191753,normal,,,,,,,,,,,,,
theta_N,"CR1, singleton families dropped (n=42, k=17)",0.20285276376196482,0.07089817531474522,0.028944034958043447,0.07657877266327001,0.008074407355090085,normal,,,,,,,,,,,,,
theta_N,"CR1, nested fixed effects not counted",0.20285276376196482,0.05545702078447569,0.028944034958043447,0.06255588152957489,0.004517023134476272,t(G-1),,,,,,,,,,,,,
theta_N,CV3 jackknife,0.20285276376196482,0.05159309852080297,0.028944034958043447,0.05915745916306516,0.0029926900181388733,t(G-1),,,,,,,,,,,,,
theta_N,"WCR, benchmark fixed (Table 8 protocol)",0.20285276376196482,,,,0.0462046204620462,"bootstrap-t, B=9999, Webb",2.488843097177774,,,,,,,,,,,,
theta_N,"WCR, benchmark fixed, nested k",0.20285276376196482,,,,0.043504350435043505,"bootstrap-t, B=9999, Webb",3.6578373827602046,,,,,,,,,,,,
theta_N,"WCR, benchmark uncertainty included",0.20285276376196482,,,,0.0484048404840484,"bootstrap-t, B=9999, Webb",3.242744867499965,,,,,,,,,,,,
theta_N,"WCU, benchmark uncertainty included",0.20285276376196482,,,,0.00010001000100010001,"bootstrap-t, B=9999, Webb",3.242744867499965,,,,,,,,,,,,
theta_N,"WCR subcluster (weights by family), benchmark included",0.20285276376196482,,,,0.0314031403140314,"bootstrap-t, B=9999, Webb",3.242744867499965,,,,,,,,,,,,
theta_N,"WCR subcluster (weights by model), benchmark included",0.20285276376196482,,,,0.010401040104010401,"bootstrap-t, B=9999, Webb",3.242744867499965,,,,,,,,,,,,
theta_N,"WCR studentized by CV3, benchmark included",0.20285276376196482,,,,0.0482048204820482,"bootstrap-t, B=9999, Webb",3.429031040922367,,,,,,,,,,,,
theta_N,Effective number of clusters G* (rho=0),0.20285276376196482,,,,,,,4.2515729429440645,19.0,,,,,,,,,,
theta_N,Leave-one-developer-out bias: min / max,0.20285276376196482,,,,,,,,,0.15746233099686813,0.22376813531010187,Stability AI,Microsoft,,,,,,
theta_N,dof factor (n-1)/(n-k): all k / nested / singletons dropped,0.20285276376196482,,,,,,,2.24,,,,,,1.037037037037037,1.64,57.0,32.0,3.0,15.0
theta_D,"CR1, k counts 29 family dummies (Table 8)",-0.2618687116597487,0.16141991958057594,0.020037359219348544,0.16265880302610375,0.10741391076844196,normal,,,,,,,,,,,,,
theta_D,"CR1, singleton families dropped (n=42, k=17)",-0.2618687116597487,0.14041347062531412,0.020037359219348544,0.14183595629293427,0.06485174203367271,normal,,,,,,,,,,,,,
theta_D,"CR1, nested fixed effects not counted",-0.2618687116597487,0.10983234369264062,0.020037359219348544,0.11164514985212545,0.030657573715671783,t(G-1),,,,,,,,,,,,,
theta_D,CV3 jackknife,-0.2618687116597487,0.10409168531595288,0.020037359219348544,0.106002710891753,0.023721245639254075,t(G-1),,,,,,,,,,,,,
theta_D,"WCR, benchmark fixed (Table 8 protocol)",-0.2618687116597487,,,,0.023502350235023502,"bootstrap-t, B=9999, Webb",-1.6222825060263504,,,,,,,,,,,,
theta_D,"WCR, benchmark fixed, nested k",-0.2618687116597487,,,,0.024502450245024503,"bootstrap-t, B=9999, Webb",-2.384258615044881,,,,,,,,,,,,
theta_D,"WCR, benchmark uncertainty included",-0.2618687116597487,,,,0.027702770277027704,"bootstrap-t, B=9999, Webb",-2.3455448983372325,,,,,,,,,,,,
theta_D,"WCU, benchmark uncertainty included",-0.2618687116597487,,,,0.010401040104010401,"bootstrap-t, B=9999, Webb",-2.3455448983372325,,,,,,,,,,,,
theta_D,"WCR subcluster (weights by family), benchmark included",-0.2618687116597487,,,,0.023602360236023603,"bootstrap-t, B=9999, Webb",-2.3455448983372325,,,,,,,,,,,,
theta_D,"WCR subcluster (weights by model), benchmark included",-0.2618687116597487,,,,0.030103010301030103,"bootstrap-t, B=9999, Webb",-2.3455448983372325,,,,,,,,,,,,
theta_D,"WCR studentized by CV3, benchmark included",-0.2618687116597487,,,,0.0112011201120112,"bootstrap-t, B=9999, Webb",-2.470396365217273,,,,,,,,,,,,
theta_D,Effective number of clusters G* (rho=0),-0.2618687116597487,,,,,,,4.108629104643811,19.0,,,,,,,,,,
theta_D,Leave-one-developer-out bias: min / max,-0.2618687116597487,,,,,,,,,-0.3388695947535271,-0.19289449757112442,Microsoft,Stability AI,,,,,,
theta_D,dof factor (n-1)/(n-k): all k / nested / singletons dropped,-0.2618687116597487,,,,,,,2.24,,,,,,1.037037037037037,1.64,57.0,32.0,3.0,15.0
