tech,r,n,n_finite,penalty_lo,penalty_hi,shadow_rel_lo,shadow_rel_hi,sigma_lo,sigma_hi
k1,4,400,400,0.07157426034416811,0.07287056271228629,0.42259512442043157,0.4406021792681613,0.7220699141400698,0.7479244575143351
k1,16,400,400,0.5695984645751274,0.6042096580394241,6.646331284364114,7.637412075307474,0.7220699141400698,0.7479244575143351
kq,4,200,200,0.07290411671761923,0.07501143659188649,0.4412112484316548,0.47198366928587815,0.6696418738437431,0.7217574053351388
kq,16,200,200,0.6059946209859528,0.6748704101173062,7.7139562994548285,10.018251205468145,0.6696418738437431,0.7217574053351388
