w_label,w,s,m_oom_inference_per_oom_training
1.25,1.25,0.2,4.0
1.5,1.5,0.3333333333333333,2.0
2,2.0,0.5,1.0
3,3.0,0.6666666666666666,0.5
4,4.0,0.75,0.3333333333333333
5,5.0,0.8,0.25
aggregate 2024 (1 + m),2.151912277235458,0.5352970422731679,0.8681216614862017
aggregate 2025 (1 + m),5.52777152241207,0.8190952726708131,0.22085920083424887
aggregate All 2019-2025 (1 + m),2.781510745139944,0.64048314328921,0.5613213407373788
