source,stat,a,sigma_star,alpha_plus_beta,gamma,a_rel,sigma_star_rel,alpha_plus_beta_rel,gamma_rel,a_in_se,sigma_star_in_se,median_bias_a,median_bias_sigma_star,median_bias_a_in_se,median_bias_sigma_star_in_se
"E profile, frontier, E in [0.6, 1.7]",range,0.3078507889480443,0.09541041103391912,0.31500908849542064,0.1058719396492188,0.25308570623129767,0.06117868833494526,0.2741592591361246,0.41184289957355935,2.8494161304798165,6.966953663605309,,,,
"policies incl. frontier, E = 1.4",range,0.11662124985922007,0.014838631626655774,0.04792466862909017,0.011417038322148548,0.09871295844122648,0.00942783972368883,0.04423894960583048,0.04364790287483864,1.0794270550388652,1.0835301709104541,,,,
"N counting convention, frontier, E free",range,0.15785144724716382,0.0606059893029155,0.2123156376603359,0.04840156206511678,0.16310420507621406,0.04007326978872361,0.16354793137360854,0.1533716573967494,1.4610469622072728,4.425503617841685,,,,
"N counting convention, frontier, E = 1.4",range,0.0420091961656035,0.013495792592078448,0.04404494609023235,0.01331606894932022,0.038020876059184826,0.008619580132871533,0.03968472895081372,0.04859487600978438,0.38883019137873126,0.9854748619541309,,,,
"random configurations, best of 1, E = 1.4 (MC)",mc_sd,0.2658921063523734,0.09579021635275227,0.5408119063375705,0.01771838153975501,0.49298334392891285,0.12969402248828166,0.7639919574822248,0.1359847531686567,2.461053484373475,6.994687388141521,-0.034100556827885264,-0.051018415249386107,-0.31562912999426695,-3.7254103737870374
"random configurations, best of 4, E = 1.4 (MC)",mc_sd,0.1388788894980529,0.025101508719156358,0.08881071627667433,0.007856689082823654,0.2503105658218498,0.03193877064544942,0.16302451025633835,0.06039795163148762,1.2854400967140671,1.8329346476746176,-0.018627362641793432,-0.0036786720786233795,-0.17241179651087757,-0.2686199298130721
"random configurations, best of 16, E = 1.4 (MC)",mc_sd,0.040525417211865325,0.005363592831687618,0.017260045145182118,0.002222945135092265,0.07257128037086986,0.006779971876472754,0.032680465648221746,0.017054841915541144,0.3750965780938825,0.39165435222293143,-0.015031436582756186,0.001489045732919858,-0.13912849796340265,0.10873145301254161
