key,label,n,clusters,developers,slope_lnw,se,slope_lo,slope_hi,note,last_run,g_w_without_last,g_w,g_w_lo,g_w_hi,g_DDstar_Mbased,g_DDstar_Mbased_lo,g_DDstar_Mbased_hi,g_DDstar_value_s60,g_DDstar_value_s60_lo,g_DDstar_value_s60_hi,g_DDstar_value_s70,g_DDstar_value_s70_lo,g_DDstar_value_s70_hi,g_DDstar_value_s74,g_DDstar_value_s74_lo,g_DDstar_value_s74_hi,g_M_over_Mstar
units_ols,"Decision units, OLS (primary)",49,18.0,18.0,0.6192509697838164,0.21275351839357928,-0.039523620004289994,1.2653358982645648,,,,1.8575361699154302,0.9612472490583075,3.544283054712018,2.0634243659514766,0.9548198138764487,4.393485049678949,1.5911200900017186,0.9707923211251498,2.5831302112392516,2.059492235398512,0.9549360634544116,4.376394512091909,2.4138953360980966,0.9453073639215736,6.053704003938483,4.257720114002254
units_fe,"Decision units, developer fixed effects",49,18.0,18.0,0.46455582620329944,0.3575408867018847,-0.7565935623637348,1.7214674942635435,9 developers with units at more than one date identify the slope,,,1.5913072149217005,0.46926221996958506,5.592729743955601,1.7218731657632476,0.4127046845626071,7.490842719873124,1.4168227570595349,0.5669721062602012,3.636787076950617,1.7194110118964139,0.4136676152142247,7.451227197387821,1.9369192119832355,0.3407211634308996,11.5858052669184,2.9648471989755483
units_big,Decision units above 1e24 FLOP,11,6.0,6.0,0.5639493483114154,0.21331664273310488,-0.24690849926367497,1.4226567909490164,"11 units, 6 developers; few clusters: indicative",,,1.757600186697822,0.7812121717501129,4.148126518342471,1.9341694600359938,0.7491466972309861,5.281173903463649,1.5264763059131192,0.8309535564410778,2.9066249387403036,1.9308125146349004,0.7497166710134784,5.258081656319802,2.231208358169176,0.7037234776504002,7.5727028301521395,3.741011500135928
units_wls,"Decision units, compute-weighted",49,18.0,18.0,0.7922364883485148,0.26918471180189973,-0.9620171182635345,2.571289075111833,,,,2.208329811363223,0.382121324169148,13.082678130539016,2.5261999921777187,0.3245497104599003,20.24195605676513,1.8115400978303298,0.4860164350405056,6.878955381506094,2.520042844270045,0.3255128616355786,20.082268354343725,3.0876598200343017,0.25435499729089994,38.82801978292828,6.3816864004787055
flagships,Flagship runs above 1e25 FLOP (descriptive),4,,4.0,0.5296535203854978,,,,runs: Aramco Metabrain AI 2024-03-04 w 1.13; Nemotron-4 340B 2024-06-14 w 1.10; Llama-3.1-405B 2024-07-23 w 1.29; Pangu Ultra 2025-04-10 w 1.92; without Pangu Ultra: 1.31 a year,Pangu Ultra,1.3125984520675533,1.6983437651722362,,,1.8581113628516563,,,1.4877131470237552,,,1.855082384340138,,,2.1249275381206756,,,3.45257783675844
units_fe_lnC,"Decision units, developer fixed effects and log compute",49,18.0,18.0,0.9922344435179116,0.3450846062184367,0.327484280692683,1.6511187988440712,,,,2.697254607091964,1.3874732410082817,5.212808650223842,3.1920494995914255,1.466786171578433,6.899101142309387,2.1047060899065784,1.278405004293349,3.449878797038816,3.1823084171073535,1.4653073184292644,6.864102295863205,4.104261970718942,1.5936632905644568,10.482100203299572,10.18918000784187
models_ols,"Models, OLS",77,18.0,18.0,0.6904101631764318,0.20241052588610278,-0.046774639757062975,1.4657241417980535,,,,1.9945334496672311,0.9543024351876277,4.330678130159359,2.242531056137998,0.9467554166430884,5.554043962560582,1.678344049324322,0.9655272248728987,3.0020431484681724,2.237767067243191,0.946891832968535,5.529025054214912,2.671143801286092,0.9356031191539499,8.051337299457048,5.028945537743403
models_wls,"Models, compute-weighted",77,18.0,18.0,0.6719745676855348,0.2360988780692062,0.011990595744320709,1.3489598579949105,,,,1.9580999067129665,1.0120627711242611,3.8534153463131546,2.1946886308829976,1.014124787783856,4.844972855154231,1.6552977893154988,1.009033504841968,2.75032721946488,2.190150644633321,1.0140873326848052,4.824883073346814,2.6019768945444057,1.0172099538917097,6.8187327722483,4.816658186527086
units56_ols,"Family-label units (version 3), OLS",56,18.0,18.0,0.6466223959584598,0.19267706701094348,0.03116436519564847,1.2479034887778853,,,,1.9090818047218505,1.0316550581372046,3.4830330795804603,2.130559364727249,1.0371270309850187,4.304802525094127,1.624121082206078,1.023648569532309,2.549577391426438,2.126320019749572,1.0370274775603572,4.288287219025665,2.509775757806087,1.0453474194122099,5.905373251833535,4.53928320662698
agg_units,"Aggregate wedge, decision units",49,,,0.7034176442064279,,,,w_agg = 1.32 / 2.17 / 5.38 (2023/2024/2025),,,2.0206467717633974,,,2.276913105806374,,,1.6947974465900653,,,2.2719850443409633,,,2.721048861311055,,,5.184333291392827
agg_models,"Aggregate wedge, models",77,,,0.7256157800684274,,,,w_agg = 1.37 / 2.41 / 5.85 (2023/2024/2025),,,2.0660029117624976,,,2.3368101736877906,,,1.7232496420253447,,,2.3315930430380414,,,2.808377941438289,,,5.460681787850762
median_units,"Median wedge, decision units",49,,,0.42404969135409337,,,,median w = 1.95 / 4.42 / 4.56,,,1.5281375271203899,,,1.6421901718270135,,,1.3744274831451282,,,1.6400465735075789,,,1.8284257121078058,,,2.6967885604452366
median_models,"Median wedge, models",77,,,0.6089360573712284,,,,median w = 2.24 / 5.58 / 7.57,,,1.8384743266519898,,,2.0386770227229443,,,1.5788583822961124,,,2.0348567031372085,,,2.378720768306552,,,4.1562040029784875
