path,errors,reps,B,coverage_boot_q,mc_se_boot,coverage_max_rule,mc_se_max,median_q_boot,q_boot_fitted,q_normal,q_used,n,df
Chinchilla,normal,1000,999,0.919,0.008627803892068941,0.961,0.006122009474020767,2.575169790478097,2.7254630754582188,2.725557476460201,2.725557476460201,9,7
Chinchilla,t5,1000,999,0.929,0.008121514637061239,0.964,0.005891010100144119,2.574281445589799,2.7254630754582188,2.725557476460201,2.725557476460201,9,7
Llama 3,normal,1000,999,0.911,0.009004387819280108,0.964,0.005891010100144119,2.6514069710907915,2.8706831805146376,2.7637103448088047,2.8706831805146376,8,6
Llama 3,t5,1000,999,0.916,0.008771772910877251,0.967,0.005648982209212561,2.6256340682120034,2.8706831805146376,2.7637103448088047,2.8706831805146376,8,6
Marin,normal,1000,999,0.949,0.006956938982052382,0.963,0.005969170796685251,2.714832269704053,2.6979822654327887,2.767447380916946,2.767447380916946,19,15
Marin,t5,1000,999,0.948,0.007021111023192843,0.961,0.006122009474020767,2.727563245236352,2.6979822654327887,2.767447380916946,2.767447380916946,19,15
