lo,hi,n
8.0,8.1,0
8.1,8.2,1
8.2,8.299999999999999,0
8.299999999999999,8.399999999999999,0
8.399999999999999,8.499999999999998,2
8.499999999999998,8.599999999999998,3
8.599999999999998,8.699999999999998,3
8.699999999999998,8.799999999999997,3
8.799999999999997,8.899999999999997,0
8.899999999999997,8.999999999999996,1
8.999999999999996,9.099999999999996,10
9.099999999999996,9.199999999999996,7
9.199999999999996,9.299999999999995,7
9.299999999999995,9.399999999999995,2
9.399999999999995,9.499999999999995,19
9.499999999999995,9.599999999999994,9
9.599999999999994,9.699999999999994,1
9.699999999999994,9.799999999999994,3
9.799999999999994,9.899999999999993,44
9.899999999999993,9.999999999999993,18
9.999999999999993,10.099999999999993,6
10.099999999999993,10.199999999999992,24
10.199999999999992,10.299999999999992,4
10.299999999999992,10.399999999999991,4
10.399999999999991,10.499999999999991,6
10.499999999999991,10.59999999999999,16
10.59999999999999,10.69999999999999,4
10.69999999999999,10.79999999999999,1
10.79999999999999,10.89999999999999,13
10.89999999999999,10.99999999999999,1
10.99999999999999,11.099999999999989,6
11.099999999999989,11.199999999999989,2
11.199999999999989,11.299999999999988,1
11.299999999999988,11.399999999999988,3
11.399999999999988,11.499999999999988,1
11.499999999999988,11.599999999999987,3
11.599999999999987,11.699999999999987,4
11.699999999999987,11.799999999999986,1
11.799999999999986,11.899999999999986,1
11.899999999999986,11.999999999999986,0
11.999999999999986,12.099999999999985,3
12.099999999999985,12.199999999999985,0
12.199999999999985,12.299999999999985,1
12.299999999999985,12.399999999999984,0
12.399999999999984,12.499999999999984,0
