design,n_budgets,df,C0,Mstar,Mstar_lo,Mstar_hi,e,e_lo,e_hi,t_q,variant
Chinchilla,9,7,3.0000000000000094e+21,20.65915521525489,13.790105653556932,30.949776958228533,-0.0033086562576918888,-0.11035101337752361,0.10373370086213983,2.364624251592784,S2(b)
Llama 3,8,6,9.999999999999983e+20,15.062172299773199,11.37708416875742,19.94087685586958,0.008268003741692398,-0.0836132696965967,0.1001492771799815,2.446911851144979,S2(b)
"Marin, DCLM",7,5,2.9999999999999954e+20,13.91184878326966,10.640609993167319,18.188763303310576,0.16218667065168946,0.06027512727635351,0.2640982140270254,2.5705818356363146,S2(b)
"Marin, Nemotron-CC",7,5,2.9999999999999954e+20,13.846013585669661,10.438238578080215,18.366325963954758,0.1451683488987311,0.03776004076598309,0.2525766570314791,2.5705818356363146,S2(b)
"Marin, Comma",5,3,2.9999999999999954e+20,25.88043094477468,16.072132118005705,41.67441512858606,0.29398141890058493,0.12897745342103645,0.4589853843801334,3.1824463052837078,S2(b)
