design,variant,spec,M_bin,delta
"Marin, Comma",n_eff >= 6,kappa_M100,">=1,024",-1.38027
"Marin, Comma",n_eff >= 6,kappa_M100,M>=256,-0.986158
"Marin, Comma",n_eff >= 6,convexity b2,,0.0358152
"Marin, Comma",n_eff >= 6,"convexity b2, M < 1,024",,0.0282266
"Marin, DCLM",h x 0.75,kappa_full,"256-1,024",-0.526381
"Marin, DCLM",h x 0.75,kappa_full,">=1,024",
"Marin, DCLM",h x 0.75,kappa_full,M>=256,-0.526381
"Marin, DCLM",h x 0.75,chin_M100,"256-1,024",-0.996635
"Marin, DCLM",h x 0.75,chin_M100,">=1,024",
"Marin, DCLM",h x 0.75,chin_M100,M>=256,-0.996635
"Marin, DCLM",h x 0.75,chin_full,"256-1,024",-0.640556
"Marin, DCLM",h x 0.75,chin_full,">=1,024",
"Marin, DCLM",h x 0.75,chin_full,M>=256,-0.640556
"Marin, DCLM",h x 0.75,kappa_M100,"256-1,024",-0.766225
"Marin, DCLM",h x 0.75,kappa_M100,">=1,024",
"Marin, DCLM",h x 0.75,kappa_M100,M>=256,-0.766225
"Marin, DCLM",h x 0.75,convexity b2,,0.0273512
"Marin, DCLM",h x 0.75,"convexity b2, M < 1,024",,0.0273512
"Marin, DCLM",h x 1.5,kappa_full,"256-1,024",-0.472659
"Marin, DCLM",h x 1.5,kappa_full,">=1,024",-1.85424
"Marin, DCLM",h x 1.5,kappa_full,M>=256,-0.779677
"Marin, DCLM",h x 1.5,chin_M100,"256-1,024",-0.966759
"Marin, DCLM",h x 1.5,chin_M100,">=1,024",-2.46148
"Marin, DCLM",h x 1.5,chin_M100,M>=256,-1.29892
"Marin, DCLM",h x 1.5,chin_full,"256-1,024",-0.586127
"Marin, DCLM",h x 1.5,chin_full,">=1,024",-1.99543
"Marin, DCLM",h x 1.5,chin_full,M>=256,-0.899305
"Marin, DCLM",h x 1.5,kappa_M100,"256-1,024",-0.720126
"Marin, DCLM",h x 1.5,kappa_M100,">=1,024",-2.16543
"Marin, DCLM",h x 1.5,kappa_M100,M>=256,-1.0413
"Marin, DCLM",h x 1.5,convexity b2,,0.0280304
"Marin, DCLM",h x 1.5,"convexity b2, M < 1,024",,0.0169405
"Marin, DCLM",h_x x 0.75,kappa_full,"256-1,024",-0.50601
"Marin, DCLM",h_x x 0.75,kappa_full,">=1,024",
"Marin, DCLM",h_x x 0.75,kappa_full,M>=256,-0.50601
"Marin, DCLM",h_x x 0.75,chin_M100,"256-1,024",-0.988658
"Marin, DCLM",h_x x 0.75,chin_M100,">=1,024",
"Marin, DCLM",h_x x 0.75,chin_M100,M>=256,-0.988658
"Marin, DCLM",h_x x 0.75,chin_full,"256-1,024",-0.618374
"Marin, DCLM",h_x x 0.75,chin_full,">=1,024",
"Marin, DCLM",h_x x 0.75,chin_full,M>=256,-0.618374
"Marin, DCLM",h_x x 0.75,kappa_M100,"256-1,024",-0.748536
"Marin, DCLM",h_x x 0.75,kappa_M100,">=1,024",
"Marin, DCLM",h_x x 0.75,kappa_M100,M>=256,-0.748536
"Marin, DCLM",h_x x 0.75,convexity b2,,0.0274076
"Marin, DCLM",h_x x 0.75,"convexity b2, M < 1,024",,0.0274076
"Marin, DCLM",h_c x 1.5,kappa_full,"256-1,024",-0.483969
"Marin, DCLM",h_c x 1.5,kappa_full,">=1,024",-1.14879
"Marin, DCLM",h_c x 1.5,kappa_full,M>=256,-0.567072
"Marin, DCLM",h_c x 1.5,chin_M100,"256-1,024",-0.97807
"Marin, DCLM",h_c x 1.5,chin_M100,">=1,024",-1.72983
"Marin, DCLM",h_c x 1.5,chin_M100,M>=256,-1.07204
"Marin, DCLM",h_c x 1.5,chin_full,"256-1,024",-0.597438
"Marin, DCLM",h_c x 1.5,chin_full,">=1,024",-1.29176
"Marin, DCLM",h_c x 1.5,chin_full,M>=256,-0.684227
"Marin, DCLM",h_c x 1.5,kappa_M100,"256-1,024",-0.731436
"Marin, DCLM",h_c x 1.5,kappa_M100,">=1,024",-1.45249
"Marin, DCLM",h_c x 1.5,kappa_M100,M>=256,-0.821568
"Marin, DCLM",h_c x 1.5,convexity b2,,0.0273069
"Marin, DCLM",h_c x 1.5,"convexity b2, M < 1,024",,0.0246436
"Marin, DCLM",n_eff >= 10,kappa_full,"256-1,024",-0.455038
"Marin, DCLM",n_eff >= 10,kappa_full,">=1,024",
"Marin, DCLM",n_eff >= 10,kappa_full,M>=256,-0.455038
"Marin, DCLM",n_eff >= 10,chin_M100,"256-1,024",-0.937686
"Marin, DCLM",n_eff >= 10,chin_M100,">=1,024",
"Marin, DCLM",n_eff >= 10,chin_M100,M>=256,-0.937686
"Marin, DCLM",n_eff >= 10,chin_full,"256-1,024",-0.567402
"Marin, DCLM",n_eff >= 10,chin_full,">=1,024",
"Marin, DCLM",n_eff >= 10,chin_full,M>=256,-0.567402
"Marin, DCLM",n_eff >= 10,kappa_M100,"256-1,024",-0.697564
"Marin, DCLM",n_eff >= 10,kappa_M100,">=1,024",
"Marin, DCLM",n_eff >= 10,kappa_M100,M>=256,-0.697564
"Marin, DCLM",n_eff >= 10,convexity b2,,0.0245924
"Marin, DCLM",n_eff >= 10,"convexity b2, M < 1,024",,0.0245924
"Marin, DCLM",n_eff >= 6,kappa_full,"256-1,024",-0.454461
"Marin, DCLM",n_eff >= 6,kappa_full,">=1,024",-0.927822
"Marin, DCLM",n_eff >= 6,kappa_full,M>=256,-0.559652
"Marin, DCLM",n_eff >= 6,chin_M100,"256-1,024",-0.948561
"Marin, DCLM",n_eff >= 6,chin_M100,">=1,024",-1.53506
"Marin, DCLM",n_eff >= 6,chin_M100,M>=256,-1.07889
"Marin, DCLM",n_eff >= 6,chin_full,"256-1,024",-0.567929
"Marin, DCLM",n_eff >= 6,chin_full,">=1,024",-1.06901
"Marin, DCLM",n_eff >= 6,chin_full,M>=256,-0.67928
"Marin, DCLM",n_eff >= 6,kappa_M100,"256-1,024",-0.701928
"Marin, DCLM",n_eff >= 6,kappa_M100,">=1,024",-1.23901
"Marin, DCLM",n_eff >= 6,kappa_M100,M>=256,-0.821279
"Marin, DCLM",n_eff >= 6,convexity b2,,0.0273961
"Marin, DCLM",n_eff >= 6,"convexity b2, M < 1,024",,0.02463
"Marin, DCLM",own-corpus CV bandwidth,kappa_full,"256-1,024",-0.501666
"Marin, DCLM",own-corpus CV bandwidth,kappa_full,">=1,024",-1.14766
"Marin, DCLM",own-corpus CV bandwidth,kappa_full,M>=256,-0.582416
"Marin, DCLM",own-corpus CV bandwidth,chin_M100,"256-1,024",-0.995767
"Marin, DCLM",own-corpus CV bandwidth,chin_M100,">=1,024",-1.7287
