key,label,a,Dstar_now_T,data_multiple_obs,gD_epoch,gD5_epoch,year_unique_obs_epoch,year_unique_opt_epoch,year_effective_obs_epoch,year_effective_opt_epoch,gD_hat,gD5_hat,year_unique_obs_hat,year_unique_opt_hat,year_effective_obs_hat,year_effective_opt_hat
chin_q,"Chinchilla, $\kappa$ free (reference)",0.5036073373884584,56.703415850243225,1.2508928117367921,2.0388082145399964,35.227504062358484,2027.4464850231802,2027.7838356716345,2029.1993393714079,2029.536689953761,2.236724699877271,55.98383796789222,2027.358494044512,2027.6545148086332,2028.896600746945,2029.1926215110661
chin,"Chinchilla, $\kappa=1$",0.5138995166400605,47.80468201993195,1.4268791803556824,2.008916016661028,32.71966937565737,2027.5230672067246,2028.0709816090307,2029.3158255316998,2029.8637398365968,2.1997011701016564,51.5013281589657,2027.4255607069788,2027.906256576772,2028.9983821994442,2029.4790780692372
meta_a2,Llama 3 (Meta's law),0.46322087290540415,90.10524606472485,0.9180339326869748,2.1604648757448546,47.06911690663369,2027.1756841147353,2027.0571574566989,2028.7877384481262,2028.6692117900886,2.388124584139592,77.67565015272622,2027.1211346008172,2027.017058866291,2028.5366451840239,2028.4325694494978
deepseek,DeepSeek LLM (published),0.5243,39.524056558379236,1.6590711672725158,1.9791544512629196,30.366758611085764,2027.604011071882,2028.4026768631395,2029.438982358507,2030.23764802219,2.162910548738277,47.33613487406068,2027.496419126287,2028.1969624893252,2029.1059496979103,2029.8064930609485
farseer,"Farseer, $\kappa=1$",0.5262862914401026,43.4498134655665,1.4978526447879674,1.9735209122067672,29.93702662263685,2027.6198972688042,2028.260172884185,2029.463157518254,2030.103433028657,2.1559545488289,46.579841322031925,2027.5103225585333,2028.0719129604072,2029.1270596052984,2029.6886500071723
farseer_eq3,"Farseer, own form (local)",0.35727181514266704,419.2236088595795,0.29630560202938583,2.5152426299913313,100.66985096209507,2026.6439659003352,2025.4196913113449,2027.9638669092042,2026.5904067186113,2.8358129394552383,183.3951722791637,2026.6439659003354,2025.4196913113449,2027.8146813076016,2026.5904067186113
gadre_rw,"Gadre et al., RefinedWeb",0.5655649742397674,9.298631659480767,6.055698806582687,1.8653542523750286,22.584298621391795,2027.959282823935,2031.0933052705186,2029.9833476045037,2033.1173700785666,2.022904464699439,33.87480973529085,2027.8070667840443,2030.5535643774026,2029.5808542852922,2032.3273518786502
olmo,OLMo ladder (AI2),0.3701326547720303,518.9945692262901,0.22776198049751292,2.469246096898197,91.79560315906362,2026.6931525743378,2025.1721472018219,2028.0485400724365,2026.3679657015812,2.777279624923627,165.23347638444653,2026.6931525743378,2025.1721472018219,2027.8889710740973,2026.3679657015812
marin_dclm,"Marin, DCLM",0.42357907148571594,120.45006898014077,0.7991601167425156,2.2869355978961488,62.5561011684469,2026.9482535743805,2026.6685029827313,2028.442494394407,2028.1544837949787,2.546695108886784,107.12350426445614,2026.9215417615071,2026.6685029827313,2028.2343436967417,2027.9813049179659
