design,truth,R,R_target,B,noise_sd,mean_sigma_fe,bias_fe,sd_sigma_fe,mean_boot_se_fe,coverage_fe,mean_sigma_re,bias_re,sd_sigma_re,mean_se_re,coverage_re
Chinchilla,0.6669319139916496,100,100,149,0.01912941067791977,0.6631747379687184,-0.003757176022931241,0.027401140673380654,0.020708205132721088,0.85,0.6623645501064229,-0.004567363885226716,0.025476976028886152,0.024094227155483715,0.92
Llama 3,0.6926617450637105,100,100,149,0.001997333681657291,0.692446257138322,-0.00021548792538850225,0.013982133002017928,0.012044084393579015,0.91,0.6919687501868688,-0.0006929948768417127,0.013826527183572098,0.014165290505604689,0.98
"Marin, DCLM",0.6633442068097245,100,100,149,0.014995597526958351,0.6643975220307107,0.001053315220986173,0.030514461837767647,0.022159255854572034,0.82,0.6687536003064156,0.005409393496691117,0.021357566980022974,0.024741926196680416,0.93
