truth,noise_sd,rho_trunk,statistic,corpus,conv,n_rep,mean,mc_se_of_mean,sd
chin,0.005,0.0,slope,web,T,150,0.12494412521143289,0.004182642178028148,0.051226695564061196
chin,0.005,0.5,slope,web,T,500,0.11525154503719584,0.0016340286540788135,0.03653799147702716
chin,0.005,0.9,slope,web,T,150,0.11786224333898553,0.002438515658585217,0.029865595466603275
chin,0.0075,0.0,slope,web,T,150,0.12102494525111827,0.006418520582360012,0.0786105016516678
chin,0.0075,0.5,slope,web,T,500,0.11948555056323874,0.0026120709061351584,0.05840768108167687
chin,0.0075,0.9,slope,web,T,150,0.116240722827177,0.003318078937379047,0.040638001614274416
chin,0.01,0.0,slope,web,T,150,0.11910310086324266,0.008974897566962759,0.10991959766402488
chin,0.01,0.5,slope,web,T,500,0.12403033232076455,0.003360983268116042,0.07515387058746872
chin,0.01,0.9,slope,web,T,150,0.11580921988435457,0.0048288325930283624,0.05914087953120035
chin,0.015,0.0,slope,web,T,150,0.1557534151149415,0.010767746611464618,0.13187742438835454
chin,0.015,0.5,slope,web,T,500,0.12266377860988706,0.005381165064019867,0.12032650881295431
chin,0.015,0.9,slope,web,T,150,0.10992025915965653,0.0063676385473542185,0.07798732653747467
kappa36,0.0,0.5,slope,web,T,1,-0.0237640963860138,,
kappa36,0.005,0.5,slope,web,T,150,-0.02515417336210886,0.00877107505805468,0.10742329193943154
kappa60,0.0,0.5,slope,web,T,1,0.0503518355726082,,
kappa60,0.005,0.5,slope,web,T,150,0.03675242744351153,0.0059876327320304255,0.07333322480330673
chin,0.0,0.5,slope_main,edu,P,1,-0.0027893981027302,,
chin,0.002,0.0,slope_main,edu,P,150,-0.012577602048526012,0.003676590313374531,0.045028851305134523
chin,0.002,0.5,slope_main,edu,P,500,-0.013415839522162146,0.0014260476191249951,0.03188739415515218
chin,0.002,0.9,slope_main,edu,P,150,-0.015070480561880864,0.001273391474356463,0.015595796774918522
chin,0.005,0.0,slope_main,edu,P,150,-0.03523343889258589,0.007723176873790959,0.09458921267025602
chin,0.005,0.5,slope_main,edu,P,500,-0.03290020301549766,0.003003150012020193,0.06715247573506462
chin,0.005,0.9,slope_main,edu,P,150,-0.025945554056175334,0.003125490746096594,0.03827928761863675
chin,0.0075,0.0,slope_main,edu,P,150,-0.018982567231023487,0.010022189997227936,0.12274625799216998
chin,0.0075,0.5,slope_main,edu,P,500,-0.03632909661657749,0.004064716059030726,0.09088981417227752
chin,0.0075,0.9,slope_main,edu,P,150,-0.025040619891526464,0.004012739716805059,0.04914582388386334
chin,0.01,0.0,slope_main,edu,P,150,-0.07791775642892261,0.015641207573094406,0.19156488757518658
chin,0.01,0.5,slope_main,edu,P,500,-0.05059153274067535,0.006197600331313656,0.13858255638192554
chin,0.01,0.9,slope_main,edu,P,150,-0.03423882753012184,0.006100047629781684,0.07471002049819536
chin,0.015,0.0,slope_main,edu,P,150,-0.09498985173465173,0.015836104010318878,0.1939518716946182
chin,0.015,0.5,slope_main,edu,P,500,-0.07274012927571726,0.00814935938621137,0.1822252156064459
chin,0.015,0.9,slope_main,edu,P,150,-0.02675181644176474,0.008911725684660313,0.10914590327536416
kappa36,0.0,0.5,slope_main,edu,P,1,-0.2099621785465948,,
kappa36,0.005,0.5,slope_main,edu,P,150,-0.3211660025518114,0.01701107657387213,0.20834228790699494
kappa60,0.0,0.5,slope_main,edu,P,1,-0.133259740021907,,
kappa60,0.005,0.5,slope_main,edu,P,150,-0.2286295169104963,0.012727268993700972,0.15587657426856455
chin,0.0,0.5,slope_main,web,P,1,-0.0022239446428042,,
chin,0.002,0.0,slope_main,web,P,150,-0.009853067484115031,0.002395947397815733,0.02934424287598842
chin,0.002,0.5,slope_main,web,P,500,-0.011653308681906853,0.0012165753090297487,0.02720345090738332
chin,0.002,0.9,slope_main,web,P,150,-0.009477242596447702,0.0012802373456379389,0.015679641232340467
chin,0.005,0.0,slope_main,web,P,150,-0.0445664780129634,0.006001705408187395,0.07350557918280676
chin,0.005,0.5,slope_main,web,P,500,-0.026344165663470476,0.002692298070198388,0.06020161500655097
chin,0.005,0.9,slope_main,web,P,150,-0.01892132583266814,0.002995851299227306,0.03669153514180472
chin,0.0075,0.0,slope_main,web,P,150,-0.03866871448738254,0.0082947502430917,0.10158952819700696
chin,0.0075,0.5,slope_main,web,P,500,-0.02975458611825172,0.0035563442070658422,0.07952227398386812
chin,0.0075,0.9,slope_main,web,P,150,-0.02781208189342755,0.004241247925978345,0.05194446645642192
chin,0.01,0.0,slope_main,web,P,150,-0.0434170801160541,0.01038848750784863,0.127232467967532
chin,0.01,0.5,slope_main,web,P,500,-0.040548256819748295,0.005403928857732976,0.12083552271463725
chin,0.01,0.9,slope_main,web,P,150,-0.01851069217051149,0.005531792676799207,0.06775034710511378
chin,0.015,0.0,slope_main,web,P,150,-0.03951323960771415,0.014046527275828785,0.17203412241933372
chin,0.015,0.5,slope_main,web,P,500,-0.04886613150210695,0.00857070852464276,0.19164686876438145
chin,0.015,0.9,slope_main,web,P,150,-0.021152796366083186,0.00761405570350461,0.09325275673357149
kappa36,0.0,0.5,slope_main,web,P,1,-0.2118971412960597,,
kappa36,0.005,0.5,slope_main,web,P,150,-0.3252522451549807,0.013625639248966856,0.166879317896041
kappa60,0.0,0.5,slope_main,web,P,1,-0.135038928266223,,
kappa60,0.005,0.5,slope_main,web,P,150,-0.20434816008272083,0.00820529484200313,0.10049392775999193
chin,0.0,0.5,slope_main,edu,T,1,-0.0827611975514532,,
chin,0.002,0.0,slope_main,edu,T,150,-0.08248747294540724,0.007677036960115896,0.09402411644385618
chin,0.002,0.5,slope_main,edu,T,500,-0.09359698196560942,0.00309945721905919,0.06930597035168806
chin,0.002,0.9,slope_main,edu,T,150,-0.10055877429198608,0.0026399821909289787,0.032333046489053975
chin,0.005,0.0,slope_main,edu,T,150,-0.1303678335625979,0.022992850082380088,0.2816037521707069
chin,0.005,0.5,slope_main,edu,T,500,-0.12432396027825345,0.006322754688957809,0.141381092895652
chin,0.005,0.9,slope_main,edu,T,150,-0.11644777849604916,0.005075380512755147,0.0621604625335768
chin,0.0075,0.0,slope_main,edu,T,150,-0.11108260370732272,0.02861985764551137,0.35052023871297405
chin,0.0075,0.5,slope_main,edu,T,500,-0.11899408396902192,0.008847976209777989,0.19784676268364523
