corpus,conv,cell_lowM,cell_highM,iota_lowM,iota_highM,iota_n_minus_iota_d,C_mid,E,alpha_plus_beta,R_star,a_obs_minus_a
edu,P,"(640,25M)","(128,800M)",0.013233235899777485,0.00019158579505351714,0.0031453571990258866,3734101077769943.0,1.0076896152978456,0.7781672576170672,0.36325664918878253,-0.011212700703554061
edu,P,"(640,50M)","(128,800M)",0.00649037493651089,0.00019158579505351714,0.0016576877347774454,5280816387454250.0,1.0076896152978456,0.7781672576170672,0.3414074362178281,-0.006287580776663074
edu,T,"(640,25M)","(128,800M)",0.013233235899777485,0.00019158579505351714,0.003675847133310918,7517400766682609.0,1.0793039144712626,1.0557866262928792,0.2687817513232722,-0.01398058223846863
edu,T,"(640,50M)","(128,800M)",0.00649037493651089,0.00019158579505351714,0.0019675373122695003,1.0631210118036458e+16,1.0793039144712626,1.0557866262928792,0.2453315522948858,-0.00819855219684154
