valset,n_cells,bpb_edu_models,bpb_web_models,mean_dlnL_edu_minus_web,min_dlnL,max_dlnL
edu,15,1.5326185574861038,1.5951651820539112,-0.039993124811938494,-0.06535956557856776,-0.02798293997313983
web,15,1.731190090398035,1.6706693291526606,0.03580229082484863,0.007396268523827798,0.04417548251018255
