design,F,p,k,dof,order_chosen
Chinchilla,0.5579100561203073,0.8264710803761003,9,68,2
Llama 3,0.6371155345118217,0.7439075277299113,8,70,2
"Marin, Comma",0.4192900813869478,0.7919449846990654,4,13,2
"Marin, DCLM",0.36860350770287564,0.8270339509320745,4,14,2
"Marin, Nemotron-CC",0.3411318004027133,0.8457164142419914,4,14,2
"Porian, RefinedWeb",2.0169485779159784,0.12032517819291134,7,15,2
"Porian, OpenWebText2",2.7625490385020064,0.054958444689080226,6,14,2
