sigma_star,S,obj,kappa,a,lnE,LR,dobj,sample,objective
0.73,0.7397260273972601,0.0003038867494219692,0.901258685437502,0.4685410824426349,0.5579985086059387,1.2791433653168354,9.334478265473234e-06,on-path band |dlnN|<=0.15,gauss
0.74,0.7027027027027026,0.0003041898954373055,0.9492578880736026,0.4660122686232593,0.5577671770037612,1.3200230398234638,9.637624280809504e-06,on-path band |dlnN|<=0.15,gauss
0.75,0.6666666666666665,0.00030448610414435067,1.0012040560778006,0.4632878374164089,0.5575133426953107,1.3599278757489894,9.933832987854693e-06,on-path band |dlnN|<=0.15,gauss
0.76,0.6315789473684212,0.00030477549645896483,1.0576250339436213,0.46031124546750324,0.5572318627866397,1.3988769438660071,1.0223225302468861e-05,on-path band |dlnN|<=0.15,gauss
0.77,0.5974025974025974,0.00030505818373005556,1.1191345887096185,0.4570655804396765,0.556920205792249,1.4368878944625054,1.0505912573559588e-05,on-path band |dlnN|<=0.15,gauss
0.78,0.5641025641025639,0.0003053342517088618,1.1864764242806343,0.4534701360159126,0.556564620354581,1.4739748150915113,1.078198055236583e-05,on-path band |dlnN|<=0.15,gauss
0.79,0.5316455696202529,0.00030560378295439803,1.2605525927177543,0.44955885908622506,0.5561822516154796,1.5101512557678136,1.1051511797902059e-05,on-path band |dlnN|<=0.15,gauss
0.8,0.5,0.000305866826719697,1.342422355929779,0.4452717385581423,0.5557539880681015,1.545426197431076,1.1314555563201028e-05,on-path band |dlnN|<=0.15,gauss
0.81,0.46913580246913567,0.00030612340323666774,1.4334597688055286,0.4405158330143665,0.5552750492806143,1.5798046475997822,1.1571132080171766e-05,on-path band |dlnN|<=0.15,gauss
0.82,0.4390243902439024,0.0003063734607349931,1.5354667763572833,0.4349744901097865,0.554689496289561,1.613281906354926,1.1821189578497128e-05,on-path band |dlnN|<=0.15,gauss
0.83,0.4096385542168677,0.0003066170571152461,1.6503341231492084,0.42918861088614035,0.5541166602737075,1.6458678985530892,1.206478595875012e-05,on-path band |dlnN|<=0.15,gauss
0.84,0.38095238095238093,0.0003068539839757956,1.781182490772333,0.4223126009402399,0.553395272044351,1.6775368808353468,1.2301712819299615e-05,on-path band |dlnN|<=0.15,gauss
0.85,0.3529411764705883,0.00030708413756696856,1.931356025664965,0.4145720872498262,0.552541910257233,1.7082771048058853,1.2531866410472588e-05,on-path band |dlnN|<=0.15,gauss
0.86,0.32558139534883734,0.00030730725334576753,2.1063672852541173,0.40560747553418064,0.551596645314889,1.7380553454133714,1.2754982189271558e-05,on-path band |dlnN|<=0.15,gauss
0.87,0.29885057471264354,0.00030752304557322226,2.3129484788793664,0.3949680650482503,0.5503645575927721,1.7668355851136412,1.2970774416726282e-05,on-path band |dlnN|<=0.15,gauss
0.88,0.27272727272727293,0.0003077313686985895,2.5589705514599177,0.3841434056427171,0.5493629057155924,1.7946005170453516,1.3179097542093533e-05,on-path band |dlnN|<=0.15,gauss
0.89,0.24719101123595522,0.00030793067457495,2.8672985793983226,0.3678698094525781,0.5472909804352424,1.8211460587285249,1.3378403418454004e-05,on-path band |dlnN|<=0.15,gauss
0.9,0.22222222222222232,0.000308122197909202,3.2420500342640777,0.35413271548240455,0.5462031218725315,1.8466388607526574,1.3569926752706048e-05,on-path band |dlnN|<=0.15,gauss
0.91,0.19780219780219754,0.00030830115812711137,3.7600896214674684,0.3297023873921858,0.5430905180713548,1.8704451265879025,1.3748886970615395e-05,on-path band |dlnN|<=0.15,gauss
0.92,0.17391304347826075,0.0003084744238843319,4.406238884574694,0.3117562608740745,0.5419924876726907,1.8934807215112577,1.3922152727835946e-05,on-path band |dlnN|<=0.15,gauss
0.93,0.15053763440860202,0.0003086359616749756,5.359082223718823,0.28468754666560747,0.5396116872188946,1.9149454374604498,1.4083690518479602e-05,on-path band |dlnN|<=0.15,gauss
0.94,0.12765957446808507,0.00030882254716995024,6.617776635250724,0.2654265452561233,0.5397993206744067,1.9397244482513907,1.4270276013454263e-05,on-path band |dlnN|<=0.15,gauss
0.95,0.10526315789473673,0.0003089893628010291,8.89079972475073,0.22832795138993667,0.5378067954984652,1.961865300281147,1.4437091644533119e-05,on-path band |dlnN|<=0.15,gauss
0.5,2.0,9.941303467616224e-05,0.3284721016834751,0.47715439290527073,0.5559468256473754,,0.0,on-path band |dlnN|<=0.15,huber
0.51,1.9215686274509802,9.945953527522613e-05,0.341710566453469,0.4751653509988356,0.555446640853581,,4.650059906388963e-08,on-path band |dlnN|<=0.15,huber
