rep,slope|edu|P,mean|edu|P,slope_main|edu|P,mean_main|edu|P,slope|edu|T,mean|edu|T,slope_main|edu|T,mean_main|edu|T,slope|web|P,mean|web|P,slope_main|web|P,mean_main|web|P,slope|web|T,mean|web|T,slope_main|web|T,mean_main|web|T
1,-0.42975909669686796,-0.7347418503096513,-0.20277483884921468,-0.6160867147706055,-0.07629557264367576,-0.4772845100349568,-0.4539307015948635,-0.7902989695958519,-0.24983203766758466,-0.5405434704073779,-0.21763548979167346,-0.5510969747235036,0.017226570579440742,-0.31456495951527874,-0.4363572417600578,-0.6669029562377116
0,-0.5468757698213063,-0.7450618977238121,-0.5853500767840781,-0.6798875152129003,-0.05099211321906255,-0.442017627461112,-1.130375695444035,-0.9172422203667715,-0.2059259868213937,-0.5685924790384884,-0.2636312250633396,-0.5680883657168174,0.049584949712790004,-0.22233029753957184,-0.2950207547951292,-0.5194968372494918
3,-0.3048729054731169,-0.6168579327712335,-0.30119136798569124,-0.7122110647369578,0.05468593326228207,-0.3022610378461474,-0.5917405514081593,-0.8430817335523098,-0.1400468341125784,-0.4798822358193738,-0.38862023163939957,-0.5887864129224135,0.11523012995668303,-0.28112521766382836,-0.7188067879799264,-0.7486201278671678
2,-0.30975154919733977,-0.6036351581519511,-0.05167563573638688,-0.4241552195094813,-0.03303834567363501,-0.36316109191740703,-0.14584432679116552,-0.4524198057536295,-0.041750376794267574,-0.40615772871688843,-0.2761097808116802,-0.537781940287464,0.08831544481296824,-0.2677100934802828,-0.3745003194948675,-0.6478801488435432
5,-0.1479857469959755,-0.5269664172802855,-0.3702722442699427,-0.6997660391771412,0.11524454307499886,-0.21693486790613023,-0.7740159836286222,-0.7786426005866754,-0.21954056401031033,-0.5648409912028156,-0.22656395311941152,-0.5458278951490302,0.012264970752794379,-0.3362767951325458,-0.3877479600744615,-0.6023133158888873
4,-0.3215852218419876,-0.6690303959760167,-0.3952208605834603,-0.6610059624563958,0.0036523670135639144,-0.33759996943702947,-0.527100833231484,-0.7464826143222741,-0.17817404538763773,-0.5959589643537304,-0.10365106836691429,-0.6256239031992207,0.09380317769798903,-0.27525914045938676,-0.13848929870393348,-0.580790183404746
6,-0.15556436083462052,-0.4063041767708613,-0.12285810710762138,-0.37790918157814873,0.16644969876758642,-0.10014153333651539,-0.42422980113659875,-0.35522178268807486,-0.11222619184449242,-0.5123511226463332,-0.04382748658101427,-0.4741493830929201,0.04933676904974603,-0.35753574986669007,-0.03375114250477061,-0.5090366322054473
7,-0.1413460426479529,-0.4128392962465542,-0.13564271876217426,-0.40444369511672673,0.1191601008208794,-0.10004556474957742,-0.3109121999982002,-0.37677348899441626,-0.11430734047723887,-0.43365436970916077,-0.04156040307144479,-0.3680606807258322,0.03885127496817145,-0.22843282740595386,-0.15612193452006057,-0.41571524117557357
8,-0.21257065846815446,-0.5604894671297749,-0.07188562276502883,-0.4700033230315716,0.07453279422024096,-0.2436558683350439,-0.1592124920687746,-0.47345577512003884,-0.270017511545528,-0.5200400656573555,-0.3019614704202717,-0.5374593826132902,0.021480766411947985,-0.2274836605951116,-0.5578558898807027,-0.5831479513045502
10,-0.22082426331322902,-0.4524302176533218,-0.3079794869326646,-0.5251622150292389,0.05402617431661971,-0.20343863140539473,-0.4491291693029265,-0.5491728529402545,-0.2633735151063241,-0.6560404186862375,-0.030322256654476593,-0.418987842655083,-0.020234108531157785,-0.39488070392176233,-0.046320293516253476,-0.3948521209468812
9,-0.306346103914439,-0.562051200218459,-0.16356095754920177,-0.4704773208870613,0.047285863085189866,-0.19175063451613306,-0.2641206254385318,-0.3871805190105333,-0.1138960401283559,-0.4520316957872014,-0.1750025791943318,-0.6193020042176459,0.08895281050990177,-0.37723179762804776,-0.31512878458589216,-0.7814397832466208
11,-0.4152186302560408,-0.6904890390820064,-0.20886242893373413,-0.5713462282414196,0.003831334866158059,-0.351144388866697,-0.39938554776794477,-0.6955519131099512,-0.3157360579981069,-0.7300530138865019,-0.24546482216560403,-0.6623289627060928,-0.04617316270203747,-0.46477525394925046,-0.4660060394326184,-0.7402749526286644
12,0.017894493985429867,-0.49320171947016034,-0.08830211162615914,-0.5530041626119586,0.13496150633390597,-0.30738186881127,-0.009268572013913954,-0.5016494483053174,-0.15418482034120368,-0.46570310885605726,-0.10871382842339286,-0.4079717313092685,0.056950081064697095,-0.24421136206841904,-0.26169761501463484,-0.4885545544673405
14,-0.38103164298244935,-0.6508362844502297,-0.35289027068211376,-0.5940579980940048,0.13828425418404033,-0.29815098095877135,-0.528191792066517,-0.6568134091354522,-0.2636137143249128,-0.5299791741141231,-0.11485144137663904,-0.426722452764615,-0.024596964898737028,-0.2841575997478276,-0.23819098854343046,-0.4333091273068628
13,-0.12626018621491308,-0.5243691847216793,0.08114444402999194,-0.4195972490991551,0.061231083623639423,-0.29639242481404704,0.10480290460073118,-0.3610562386715272,-0.2801053675234153,-0.56669727458234,-0.11298280921142005,-0.39760929480637075,-0.022389560982988863,-0.33477912170921464,-0.22115336357025203,-0.43726361314923706
15,-0.23584247306778724,-0.5562978434696182,-0.05627313324843945,-0.4645191166458929,0.022683423840962672,-0.22625575765126596,-0.09393099481798003,-0.4063268608060368,-0.32784958106471146,-0.5772819235876817,-0.24151538034963424,-0.4662115136525285,-0.05359921392099477,-0.3631067962253706,-0.4487670039444945,-0.5736287799957739
16,-0.17056497671461332,-0.4537660406206785,-0.3792723137258065,-0.46561527481748116,0.04203606590636631,-0.1042671471550514,-1.181772019197243,-0.5136293125491304,-0.32119286732645136,-0.72548262440981,-0.2729902061263895,-0.6509517378492643,0.03584996035295363,-0.3313405239356077,-0.32076685897333274,-0.5573770653176656
19,-0.35623045558364613,-0.6826881593467554,-0.3266388798709535,-0.5213506572247405,-0.006054597056643686,-0.40053740054843096,-0.6012397632022892,-0.5870576993541455,-0.19745352519176734,-0.5024560622403605,-0.15036945368511542,-0.4645599588004616,0.044098962774547355,-0.2671754432726178,-0.2680284877217474,-0.5116992680356002
17,-0.11367613596186439,-0.43087831025603823,-0.29585995344818017,-0.5549373784860534,0.008122732304979561,-0.3486268969769235,-0.7528015534206204,-0.7827147597723444,-0.1660671245283433,-0.5143481037504587,-0.28644121253361354,-0.5846163804766269,0.08428411360106271,-0.20972499680170822,-0.49246282332318636,-0.5646507802320103
18,-0.29408415405911675,-0.6889314367638726,-0.21945989166970695,-0.5649660021706923,0.018618578747195743,-0.44367223390885274,-0.24443135545186784,-0.592659476404014,-0.1931688315298097,-0.5741162254099915,-0.28584883368594777,-0.6278720217754589,0.08239266574717637,-0.28533663676128057,-0.2743977635682139,-0.5949065266103993
