period,n,C_total,s_ref,m_ref,s_ref_lo,s_ref_hi,s_ref_pairs_lo,s_ref_pairs_hi,B_wild,B_pairs,s_k1,s_k1_lo,s_k1_hi,median_model_s_ref,top_model,top_share_C,loo_min,loo_max,loo_most_influential,s_without_most_influential
2019-2022,8,6.820352696558001e+23,0.039320427396036826,0.040929804814582575,0.031846301752491174,0.04880707599033985,0.03144836318880148,0.06043492795070969,399,200,0.03051468516194535,0.023743188592566494,0.052130994571545256,0.21816791591330353,OPT-175B,0.4618621851608538,0.02540423854509051,0.07068225441280557,OPT-175B,0.07068225441280557
2023,53,1.256059155902383e+25,0.3477812049731015,0.533227818064885,0.2516039223667898,0.4573561515784242,0.2644473618490174,0.5221646135511593,399,200,0.32951165293818147,0.20152888384584197,0.5230565285494108,0.5084827527461231,falcon-180B,0.3001430187268179,0.3337123369448242,0.43243402104310047,falcon-180B,0.43243402104310047
2024,56,9.79044113249029e+25,0.5352970422731679,1.1519122772354577,0.41191508667758353,0.6409354522741227,0.4264423938266824,0.7061604385312894,399,200,0.501222914521747,0.3388822371513046,0.6746036770665014,0.8121664447968584,Llama-3.1-405B,0.3880098626568978,0.5197816283658365,0.6290024789261536,Llama-3.1-405B,0.6290024789261536
2025,24,2.858678884723968e+25,0.819095272670813,4.527771522412066,0.7605205562152382,0.8632721764097181,0.7640569094141763,0.8979510201993143,399,200,0.77252292628703,0.6933458547268178,0.8546711849685209,0.8494652618095685,Apertus-70B-2509,0.22227007857210015,0.8095595439831006,0.8423556467962684,Apertus-70B-2509,0.8423556467962684
All 2019-2025,141,1.3973382700082218e+26,0.64048314328921,1.781510745139944,0.5426810696792322,0.7210434005453914,0.5516519355730979,0.7800057650595161,399,200,0.5906972486165304,0.460815904470253,0.731835385325337,0.6886179652946939,Llama-3.1-405B,0.2718588476894466,0.6254133482149966,0.7002981893558163,Llama-3.1-405B,0.7002981893558163
